tag,label,purifier,n,net_gain,net_gain_sd,floor,wins_over_floor
dct_aj50_eps0.22,DCT-Shield q0.50 eps0.22（eps<1）,jpeg50,10,0.02627,0.02885,0.16773,9
dct_aj50_eps0.22,DCT-Shield q0.50 eps0.22（eps<1）,jpeg30,10,0.0516,0.02842,0.22739,9
dct_aj50_eps0.40,DCT-Shield q0.50 eps0.40（eps<1）,identity,10,0.67753,0.08613,0.0,10
dct_aj50_eps0.40,DCT-Shield q0.50 eps0.40（eps<1）,jpeg90,10,0.59746,0.11659,0.06024,10
dct_aj50_eps0.40,DCT-Shield q0.50 eps0.40（eps<1）,jpeg75,10,0.50385,0.09981,0.10972,10
dct_aj50_eps0.40,DCT-Shield q0.50 eps0.40（eps<1）,jpeg50,10,0.12422,0.08128,0.16773,10
dct_aj50_eps0.40,DCT-Shield q0.50 eps0.40（eps<1）,jpeg30,10,0.08562,0.02974,0.22739,10
dct_aj50_eps0.65,DCT-Shield q0.50 eps0.65（eps<1）,identity,10,0.68086,0.09994,0.0,10
dct_aj50_eps0.65,DCT-Shield q0.50 eps0.65（eps<1）,jpeg90,10,0.62072,0.09093,0.06024,10
dct_aj50_eps0.65,DCT-Shield q0.50 eps0.65（eps<1）,jpeg75,10,0.53854,0.09229,0.10972,10
dct_aj50_eps0.65,DCT-Shield q0.50 eps0.65（eps<1）,jpeg50,10,0.50602,0.08165,0.16773,10
dct_aj50_eps0.65,DCT-Shield q0.50 eps0.65（eps<1）,jpeg30,10,0.18995,0.09189,0.22739,10
dct_aj30_eps0.13,DCT-Shield q0.30 eps0.13（eps<1）,identity,10,0.62516,0.09065,0.0,10
dct_aj30_eps0.13,DCT-Shield q0.30 eps0.13（eps<1）,jpeg90,10,0.48358,0.09257,0.06024,10
dct_aj30_eps0.13,DCT-Shield q0.30 eps0.13（eps<1）,jpeg75,10,0.16249,0.03472,0.10972,10
dct_aj30_eps0.13,DCT-Shield q0.30 eps0.13（eps<1）,jpeg50,10,0.09398,0.0261,0.16773,10
dct_aj30_eps0.13,DCT-Shield q0.30 eps0.13（eps<1）,jpeg30,10,0.01153,0.019,0.22739,9
dct_aj30_eps0.25,DCT-Shield q0.30 eps0.25（eps<1）,identity,10,0.67333,0.09448,0.0,10
dct_aj30_eps0.25,DCT-Shield q0.30 eps0.25（eps<1）,jpeg90,10,0.60781,0.10128,0.06024,10
dct_aj30_eps0.25,DCT-Shield q0.30 eps0.25（eps<1）,jpeg75,10,0.5182,0.1014,0.10972,10
dct_aj30_eps0.25,DCT-Shield q0.30 eps0.25（eps<1）,jpeg50,10,0.16637,0.04463,0.16773,10
dct_aj30_eps0.25,DCT-Shield q0.30 eps0.25（eps<1）,jpeg30,10,0.05115,0.0413,0.22739,10
dct_aj30_eps0.42,DCT-Shield q0.30 eps0.42（eps<1）,identity,10,0.68334,0.09682,0.0,10
dct_aj30_eps0.42,DCT-Shield q0.30 eps0.42（eps<1）,jpeg90,10,0.62182,0.09624,0.06024,10
dct_aj30_eps0.42,DCT-Shield q0.30 eps0.42（eps<1）,jpeg75,10,0.54359,0.09345,0.10972,10
dct_aj30_eps0.42,DCT-Shield q0.30 eps0.42（eps<1）,jpeg50,10,0.50456,0.08736,0.16773,10
dct_aj30_eps0.42,DCT-Shield q0.30 eps0.42（eps<1）,jpeg30,10,0.20333,0.07153,0.22739,10
