condition,n,block,hop,radius,gain_ratio,floor_scale,loss,freq_weight,freq_weight_power,defense_steps,fid_dists,fid_psnr,fid_lpips,fid_ssim,edit_lpips,edit_clip_sim,blocked_clip,clip_blocked_threshold
r10_f0060,13,32,16,1.0,1.0,0.06,latent_norm,jpeg_luma,0.25,1000,0.10601,25.88685,0.50389,0.93498,0.6455,0.74005,10,0.8445
b32h8_r16_f025,13,32,8,1.6,1.0,0.025,latent_norm,jpeg_luma,0.25,1000,0.11416,26.59608,0.48069,0.93591,0.65121,0.73294,10,0.8445
r15_f0030,13,32,16,1.5,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.11661,25.97931,0.49027,0.92844,0.63709,0.74478,9,0.8445
r03_f050,13,32,16,0.3,1.0,0.5,latent_norm,jpeg_luma,0.25,1000,0.12708,22.71508,0.5612,0.89882,0.70335,0.68295,11,0.8445
b32h8_r20_f020,13,32,8,2.0,1.0,0.02,latent_norm,jpeg_luma,0.25,1000,0.12802,25.78708,0.48776,0.92353,0.66354,0.69803,10,0.8445
r20_f0020,13,32,16,2.0,1.0,0.02,latent_norm,jpeg_luma,0.25,1000,0.13472,25.23008,0.4923,0.91393,0.64304,0.7367,9,0.8445
r05_f030,13,32,16,0.5,1.0,0.3,latent_norm,jpeg_luma,0.25,1000,0.13521,22.56308,0.56648,0.89211,0.70331,0.6789,12,0.8445
b32h8_r20_f030,13,32,8,2.0,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.13579,25.306,0.50945,0.91638,0.69305,0.68223,11,0.8445
b32h4_r20_f030,13,32,4,2.0,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.13607,25.28192,0.50984,0.9164,0.6828,0.69357,12,0.8445
r20_f0030,13,32,16,2.0,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.14088,24.64831,0.5154,0.90465,0.68956,0.69337,11,0.8445
r01_f200,13,32,16,0.1,1.0,2.0,latent_norm,jpeg_luma,0.25,1000,0.14296,21.50292,0.57959,0.87239,0.70647,0.67957,12,0.8445
b32h8_r20_f040,13,32,8,2.0,1.0,0.04,latent_norm,jpeg_luma,0.25,1000,0.14432,24.77285,0.52634,0.90781,0.70042,0.68307,12,0.8445
f0010,13,32,16,2.5,1.0,0.01,latent_norm,jpeg_luma,0.25,1000,0.14726,24.54608,0.48108,0.90091,0.64133,0.72635,9,0.8445
r25_f0015,13,32,16,2.5,1.0,0.015,latent_norm,jpeg_luma,0.25,1000,0.15055,24.34262,0.49749,0.89752,0.6736,0.70466,12,0.8445
b32h8_r24_f030,13,32,8,2.4,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.15261,24.44808,0.52451,0.89968,0.69778,0.66738,13,0.8445
b32h4_r24_f030,13,32,4,2.4,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.15383,24.40231,0.52501,0.89968,0.69033,0.68811,12,0.8445
f0020,13,32,16,2.5,1.0,0.02,latent_norm,jpeg_luma,0.25,1000,0.15409,24.149,0.51059,0.89351,0.68894,0.67446,12,0.8445
b64h32_r20_f030,13,64,32,2.0,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.156,24.432,0.53148,0.87918,0.70283,0.68087,11,0.8445
f0030,13,32,16,2.5,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.1617,23.67554,0.53236,0.88212,0.69819,0.65973,13,0.8445
b16h8_r15_f020,13,16,8,1.5,1.0,0.02,latent_norm,jpeg_luma,0.25,1000,0.16193,24.96892,0.47176,0.86234,0.65442,0.71996,10,0.8445
f0050,13,32,16,2.5,1.0,0.05,latent_norm,jpeg_luma,0.25,1000,0.17721,22.59592,0.56417,0.85622,0.70025,0.6538,13,0.8445
b16h4_r20_f030,13,16,4,2.0,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.18059,23.124,0.51062,0.83446,0.69155,0.69079,12,0.8445
b16h8_r20_f030,13,16,8,2.0,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.18739,23.05638,0.51936,0.80574,0.686,0.69501,11,0.8445
f0080,13,32,16,2.5,1.0,0.08,latent_norm,jpeg_luma,0.25,1000,0.19993,20.982,0.59911,0.81101,0.70456,0.65403,12,0.8445
b16h8_r25_f030,13,16,8,2.5,1.0,0.03,latent_norm,jpeg_luma,0.25,1000,0.2068,21.93638,0.53567,0.76308,0.69909,0.66508,13,0.8445
