image,condition,src,analysis_block,analysis_hop,rms,phase_share,energy_mag,energy_phase,block_gini,top10_block_share,hf_share,peak_ratio_8,peak_ratio_32
task_obj_add_40931,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.045214,0.5802,1072.6627,1482.3552,0.4805,0.3278,0.167,1.085,1.49
task_obj_remove_380621,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.039321,0.6537,700.822,1323.0066,0.8011,0.7018,0.5379,1.237,1.415
task_obj_swap_joint_mask_276754,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.044541,0.6873,821.8417,1806.1484,0.4106,0.2803,0.5925,0.712,0.29
task_obj_swap_joint_mask_533428,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.055674,0.5601,1822.0159,2319.4612,0.5843,0.3758,0.1806,0.664,0.718
task_obj_swap_rand_mask_417469,a_ph_rpi,runs/ip2p_axis_necessity/a_ph_rpi,32,8,0.043492,0.6053,1001.4329,1535.7277,0.6789,0.5051,0.399,0.971,0.282
task_attr_mod_color_11699,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.057175,0.2435,2326.4629,748.8906,0.0973,0.1303,0.9806,2.067,2.722
task_attr_mod_color_136767,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.054247,0.2679,2032.6899,743.994,0.129,0.1334,0.8982,1.11,1.028
task_attr_mod_color_184837,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.057848,0.3849,1984.511,1241.7639,0.1158,0.1252,0.9748,1.915,2.014
task_attr_mod_color_32648,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.048102,0.0906,1946.5811,193.8343,0.1155,0.1514,0.9385,2.126,2.447
task_attr_mod_color_6205,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.055319,0.2163,2233.7063,616.4527,0.0926,0.1317,0.9694,2.66,3.164
task_env_weather_112463,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.05661,0.1708,2403.991,495.1812,0.0535,0.1159,0.9781,2.742,2.03
task_env_weather_246440,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.060525,0.4431,2088.9458,1662.3116,0.0855,0.1221,0.9451,1.612,1.265
task_env_weather_63722,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.054882,0.2845,2004.1021,796.7261,0.1105,0.1347,0.9806,1.909,2.206
task_obj_add_40931,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.053679,0.3535,1775.5221,970.6696,0.0837,0.1226,0.9455,1.214,1.385
task_obj_remove_380621,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.055263,0.3001,2007.6323,860.9653,0.0853,0.1248,0.974,1.88,2.75
task_obj_swap_joint_mask_276754,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.055282,0.4713,1711.8119,1526.0276,0.0995,0.1311,0.8934,1.151,1.172
task_obj_swap_joint_mask_533428,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.05747,0.3711,1976.126,1165.885,0.0842,0.126,0.9655,1.629,2.52
task_obj_swap_rand_mask_417469,dct_e18,runs/ip2p_dct_band_extend/dct_e18,32,8,0.055647,0.3031,2041.5148,887.8384,0.1218,0.1386,0.9568,1.181,1.593
task_attr_mod_color_11699,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.046089,0.2674,1463.1859,534.1523,0.105,0.1329,0.9817,2.533,3.426
task_attr_mod_color_136767,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.043812,0.2958,1276.5667,536.1557,0.1341,0.134,0.9157,1.096,1.106
task_attr_mod_color_184837,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.046982,0.4017,1274.7716,855.9962,0.1009,0.1228,0.9781,2.106,1.27
task_attr_mod_color_32648,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.039451,0.1081,1267.1436,153.6195,0.1229,0.1495,0.9506,2.16,1.767
task_attr_mod_color_6205,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.045043,0.24,1436.6997,453.6966,0.0892,0.13,0.9729,1.783,2.468
task_env_weather_112463,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.045538,0.1994,1497.2595,372.9473,0.0506,0.1158,0.9797,2.677,1.634
task_env_weather_246440,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.04987,0.4499,1396.6489,1142.415,0.0792,0.1205,0.9523,2.113,1.271
task_env_weather_63722,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.044437,0.3126,1267.1766,576.1371,0.109,0.1338,0.9817,1.607,1.292
task_obj_add_40931,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.043552,0.3837,1121.5393,698.3881,0.0842,0.1228,0.9547,1.271,2.112
task_obj_remove_380621,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.04454,0.3255,1262.8459,609.5071,0.0865,0.1255,0.9764,1.361,1.379
task_obj_swap_joint_mask_276754,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.04484,0.4877,1093.0648,1040.678,0.1014,0.1279,0.9032,1.122,1.191
task_obj_swap_joint_mask_533428,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.046373,0.4039,1234.666,836.4054,0.0783,0.1237,0.9707,1.272,1.737
task_obj_swap_rand_mask_417469,dct_e14,runs/ip2p_band_calibration/dct_e14,32,8,0.045241,0.3291,1301.3137,638.2616,0.1188,0.1365,0.9622,1.166,1.63
task_attr_mod_color_11699,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.031864,0.1887,751.8828,174.8893,0.1395,0.1405,0.9825,1.708,1.352
task_attr_mod_color_136767,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.029386,0.2232,613.2186,176.2075,0.1541,0.1378,0.9481,1.317,1.391
task_attr_mod_color_184837,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.033295,0.2919,714.7581,294.6035,0.1053,0.1233,0.9819,2.202,1.118
task_attr_mod_color_32648,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.024915,0.0899,517.6884,51.1458,0.1402,0.1563,0.9592,3.245,2.893
task_attr_mod_color_6205,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.03024,0.1611,699.4301,134.3394,0.104,0.1329,0.9782,2.011,1.01
task_env_weather_112463,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.030484,0.0907,755.3949,75.3795,0.0711,0.1219,0.9803,1.969,1.61
task_env_weather_246440,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.035451,0.3562,776.5907,429.5864,0.0844,0.1216,0.9693,1.81,1.136
task_env_weather_63722,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.030933,0.217,675.7703,187.2575,0.1222,0.1341,0.9825,1.983,1.588
task_obj_add_40931,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.030215,0.2749,602.6982,228.536,0.0917,0.1247,0.9691,1.283,1.449
task_obj_remove_380621,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.029833,0.2674,605.9213,221.1346,0.0907,0.1274,0.9786,1.328,0.886
task_obj_swap_joint_mask_276754,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.030606,0.4587,519.8513,440.5039,0.1253,0.1283,0.9388,1.282,1.243
task_obj_swap_joint_mask_533428,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.031882,0.2956,655.7154,275.2269,0.0806,0.1241,0.9776,1.419,1.801
task_obj_swap_rand_mask_417469,dct_y_e14,runs/ip2p_dct_band_extend/dct_y_e14,32,8,0.030605,0.236,659.3781,203.6867,0.1294,0.1373,0.9729,1.295,0.965
