image,condition,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,budget_target,budget_mode,budget_reached,unreachable,radius,amp_dev,active_fraction
woman_02,mist,0.0,85.5,0.624,0.7735,0.1491,26.6909,0.925,3.8033,0.6695,0.6103,0.2026,0.2175,-0.0149,0.0577,0.0664,-0.0087,,,,,,,
woman_02,dia_r,0.0,149.8,0.3277,0.9801,0.0375,39.2425,0.9873,4.0831,0.6779,0.3717,0.2026,0.2162,-0.0136,0.0577,0.0659,-0.0082,,,,,,,
cat_01,add,,26.3,0.187,0.9983,0.0024,47.3712,0.9969,5.5365,0.7079,0.4253,0.2601,0.257,0.0032,0.0917,0.0933,-0.0016,human,human,0.00244,False,0.00471,,
cat_01,phase,,26.5,0.1649,0.9685,0.0379,33.2738,0.9909,5.5655,0.7123,0.4588,0.2601,0.2823,-0.0221,0.0917,0.0892,0.0025,human,human,0.03789,False,1.3,0.01726,0.4877
cat_01,phase_rand,,11.3,0.0734,0.9711,0.0395,33.6688,0.9921,5.1042,0.7182,0.1103,0.2601,0.2572,0.0029,0.0917,0.0921,-0.0004,human,human,0.03947,False,1.3,0.01652,0.4877
dog_03,add,,26.2,0.1388,0.9985,0.0019,47.6202,0.9988,5.346,0.6745,0.4285,0.2573,0.2485,0.0089,0.0807,0.0784,0.0023,human,human,0.00194,False,0.00471,,
dog_03,phase,,26.4,0.2381,0.9479,0.0336,30.053,0.9932,5.07,0.6739,0.5378,0.2573,0.2864,-0.0291,0.0807,0.0961,-0.0153,human,human,0.03356,False,1.3,0.02364,0.4764
dog_03,phase_rand,,11.2,0.0805,0.9539,0.0344,30.6334,0.9907,4.9242,0.6268,0.3632,0.2573,0.2612,-0.0039,0.0807,0.0816,-0.0008,human,human,0.0344,False,1.3,0.02357,0.4764
horse_03,add,,26.3,0.1219,0.9978,0.0041,47.8919,0.9985,5.0747,0.7045,0.2729,0.3151,0.3283,-0.0132,0.1182,0.1194,-0.0012,human,human,0.00406,False,0.00471,,
horse_03,phase,,26.5,0.2599,0.9474,0.0436,30.8138,0.998,5.017,0.7232,0.4993,0.3151,0.3198,-0.0048,0.1182,0.1184,-0.0002,human,human,0.04359,False,1.3,0.02399,0.4573
horse_03,phase_rand,,11.2,0.0877,0.9521,0.0489,31.2333,0.9979,4.9173,0.7215,0.1433,0.3151,0.3143,0.0007,0.1182,0.1249,-0.0067,human,human,0.0489,False,1.3,0.02476,0.4573
man_02,add,,26.2,0.0811,0.9981,0.0044,48.1361,0.9981,5.0816,0.6678,0.2206,0.2748,0.2799,-0.0051,0.1256,0.1239,0.0017,human,human,0.00441,False,0.00471,,
man_02,phase,,26.5,0.2071,0.929,0.0448,23.1539,0.9935,5.2142,0.678,0.4675,0.2748,0.2867,-0.0119,0.1256,0.1125,0.0131,human,human,0.04476,False,1.3,0.05209,0.468
man_02,phase_rand,,11.2,0.0988,0.9346,0.0659,24.0211,0.9941,5.0713,0.6885,0.1762,0.2748,0.2876,-0.0127,0.1256,0.1272,-0.0016,human,human,0.06586,False,1.3,0.05336,0.468
woman_02,add,,26.3,0.228,0.9971,0.0036,47.8955,0.9993,4.2114,0.6773,0.335,0.2026,0.2221,-0.0195,0.0577,0.0673,-0.0096,human,human,0.00357,False,0.00471,,
woman_02,phase,,26.5,0.2079,0.969,0.0397,33.5105,0.9969,4.105,0.6697,0.4148,0.2026,0.2467,-0.0441,0.0577,0.0703,-0.0126,human,human,0.03974,False,1.3,0.01632,0.4311
woman_02,phase_rand,,11.3,0.0597,0.9708,0.0406,33.5188,0.9956,4.0943,0.6575,0.0779,0.2026,0.203,-0.0003,0.0577,0.0532,0.0045,human,human,0.04061,False,1.3,0.01529,0.4311
