image,condition,purifier,energy_ratio,cosine,cos_vs_warped
task_attr_mod_color_11699,ig_d25,blur1,0.35413,0.82911,
task_attr_mod_color_11699,ig_d25,blur2,0.13003,0.63748,
task_attr_mod_color_11699,ig_d25,crop_resize0.1,1.05047,0.01857,0.99953
task_attr_mod_color_11699,ig_d25,crop_resize0.15,1.33143,0.00114,0.99953
task_attr_mod_color_136767,ig_d25,identity,1.0,1.00016,
task_attr_mod_color_136767,ig_d25,jpeg75,1.02762,0.95811,
task_attr_mod_color_136767,ig_d25,jpeg50,1.03122,0.91665,
task_attr_mod_color_136767,ig_d25,jpeg30,1.00866,0.86892,
task_attr_mod_color_136767,ig_d25,blur1,0.32274,0.7989,
task_attr_mod_color_136767,ig_d25,blur2,0.1341,0.59109,
task_attr_mod_color_136767,ig_d25,crop_resize0.1,1.12229,-0.00423,0.99923
task_attr_mod_color_136767,ig_d25,crop_resize0.15,1.30844,0.00316,0.9992
task_attr_mod_color_184837,ig_d25,identity,1.0,0.99997,
task_attr_mod_color_184837,ig_d25,jpeg75,1.0026,0.96649,
task_attr_mod_color_184837,ig_d25,jpeg50,1.01111,0.92977,
task_attr_mod_color_184837,ig_d25,jpeg30,1.00017,0.88715,
task_attr_mod_color_184837,ig_d25,blur1,0.28429,0.79067,
task_attr_mod_color_184837,ig_d25,blur2,0.106,0.55332,
task_attr_mod_color_184837,ig_d25,crop_resize0.1,0.79104,0.00748,0.99936
task_attr_mod_color_184837,ig_d25,crop_resize0.15,0.48172,0.00144,0.99943
task_attr_mod_color_32648,ig_d25,identity,1.0,1.00008,
task_attr_mod_color_32648,ig_d25,jpeg75,1.08022,0.86985,
task_attr_mod_color_32648,ig_d25,jpeg50,1.06296,0.7927,
task_attr_mod_color_32648,ig_d25,jpeg30,0.97289,0.7241,
task_attr_mod_color_32648,ig_d25,blur1,0.32422,0.75554,
task_attr_mod_color_32648,ig_d25,blur2,0.14353,0.6075,
task_attr_mod_color_32648,ig_d25,crop_resize0.1,1.24904,-0.00799,0.99992
task_attr_mod_color_32648,ig_d25,crop_resize0.15,1.6113,-0.01461,0.99992
task_attr_mod_color_6205,ig_d25,identity,1.0,0.99961,
task_attr_mod_color_6205,ig_d25,jpeg75,0.9778,0.92243,
task_attr_mod_color_6205,ig_d25,jpeg50,0.96641,0.86934,
task_attr_mod_color_6205,ig_d25,jpeg30,0.94085,0.81782,
task_attr_mod_color_6205,ig_d25,blur1,0.3827,0.84052,
task_attr_mod_color_6205,ig_d25,blur2,0.15,0.66241,
task_attr_mod_color_6205,ig_d25,crop_resize0.1,1.31754,-0.0011,0.99958
task_attr_mod_color_6205,ig_d25,crop_resize0.15,1.57543,-0.00807,0.99959
task_env_weather_112463,ig_d25,identity,1.0,0.99989,
task_env_weather_112463,ig_d25,jpeg75,1.02519,0.94425,
task_env_weather_112463,ig_d25,jpeg50,1.04061,0.91021,
task_env_weather_112463,ig_d25,jpeg30,1.06927,0.87318,
task_env_weather_112463,ig_d25,blur1,0.53733,0.92602,
task_env_weather_112463,ig_d25,blur2,0.22445,0.79615,
task_env_weather_112463,ig_d25,crop_resize0.1,0.97619,0.00242,0.99985
task_env_weather_112463,ig_d25,crop_resize0.15,0.98333,0.0014,0.99986
task_obj_remove_380621,ig_d25,identity,1.0,0.99995,
task_obj_remove_380621,ig_d25,jpeg75,1.02361,0.94662,
task_obj_remove_380621,ig_d25,jpeg50,1.02343,0.89134,
task_obj_remove_380621,ig_d25,jpeg30,0.98202,0.83291,
task_obj_remove_380621,ig_d25,blur1,0.23741,0.76376,
task_obj_remove_380621,ig_d25,blur2,0.07418,0.50899,
task_obj_remove_380621,ig_d25,crop_resize0.1,1.02045,0.00542,0.99909
task_obj_remove_380621,ig_d25,crop_resize0.15,1.14976,0.01627,0.99911
task_obj_swap_joint_mask_276754,ig_d25,identity,1.0,1.00004,
task_obj_swap_joint_mask_276754,ig_d25,jpeg75,1.0381,0.93333,
task_obj_swap_joint_mask_276754,ig_d25,jpeg50,1.0705,0.85778,
task_obj_swap_joint_mask_276754,ig_d25,jpeg30,1.01876,0.78091,
task_obj_swap_joint_mask_276754,ig_d25,blur1,0.14246,0.64422,
task_obj_swap_joint_mask_276754,ig_d25,blur2,0.05121,0.37238,
task_obj_swap_joint_mask_276754,ig_d25,crop_resize0.1,0.92635,0.01334,0.99869
task_obj_swap_joint_mask_276754,ig_d25,crop_resize0.15,1.07471,0.00971,0.9987
task_attr_mod_color_11699,ig_n30,identity,1.0,1.00007,
task_attr_mod_color_11699,ig_n30,jpeg75,1.00357,0.95987,
task_attr_mod_color_11699,ig_n30,jpeg50,1.01193,0.92301,
task_attr_mod_color_11699,ig_n30,jpeg30,1.00599,0.88277,
task_attr_mod_color_11699,ig_n30,blur1,0.2796,0.79117,
task_attr_mod_color_11699,ig_n30,blur2,0.10153,0.55214,
task_attr_mod_color_11699,ig_n30,crop_resize0.1,0.97644,0.01064,0.99886
task_attr_mod_color_11699,ig_n30,crop_resize0.15,1.23163,0.00187,0.99879
task_attr_mod_color_136767,ig_n30,identity,1.0,1.00015,
task_attr_mod_color_136767,ig_n30,jpeg75,1.02196,0.96169,
task_attr_mod_color_136767,ig_n30,jpeg50,1.02234,0.92483,
task_attr_mod_color_136767,ig_n30,jpeg30,1.02283,0.88334,
task_attr_mod_color_136767,ig_n30,blur1,0.28633,0.79327,
task_attr_mod_color_136767,ig_n30,blur2,0.11116,0.55259,
task_attr_mod_color_136767,ig_n30,crop_resize0.1,1.09573,0.00204,0.99913
task_attr_mod_color_136767,ig_n30,crop_resize0.15,1.28471,-0.00447,0.99913
task_attr_mod_color_184837,ig_n30,identity,1.0,0.99997,
task_attr_mod_color_184837,ig_n30,jpeg75,0.99432,0.97057,
task_attr_mod_color_184837,ig_n30,jpeg50,0.99704,0.94136,
task_attr_mod_color_184837,ig_n30,jpeg30,0.994,0.90804,
task_attr_mod_color_184837,ig_n30,blur1,0.27637,0.8018,
task_attr_mod_color_184837,ig_n30,blur2,0.1031,0.53889,
task_attr_mod_color_184837,ig_n30,crop_resize0.1,0.79304,0.00755,0.99926
task_attr_mod_color_184837,ig_n30,crop_resize0.15,0.52161,0.00076,0.99926
task_attr_mod_color_32648,ig_n30,identity,1.0,1.00007,
task_attr_mod_color_32648,ig_n30,jpeg75,1.10507,0.8532,
task_attr_mod_color_32648,ig_n30,jpeg50,1.05193,0.76611,
task_attr_mod_color_32648,ig_n30,jpeg30,0.96053,0.69485,
task_attr_mod_color_32648,ig_n30,blur1,0.31557,0.74246,
task_attr_mod_color_32648,ig_n30,blur2,0.13974,0.60028,
task_attr_mod_color_32648,ig_n30,crop_resize0.1,1.21656,-0.03697,0.99966
task_attr_mod_color_32648,ig_n30,crop_resize0.15,1.56668,0.01154,0.99967
task_attr_mod_color_6205,ig_n30,identity,1.0,0.99955,
task_attr_mod_color_6205,ig_n30,jpeg75,0.97574,0.93021,
task_attr_mod_color_6205,ig_n30,jpeg50,0.98142,0.8866,
task_attr_mod_color_6205,ig_n30,jpeg30,0.98883,0.83973,
task_attr_mod_color_6205,ig_n30,blur1,0.3453,0.83538,
task_attr_mod_color_6205,ig_n30,blur2,0.13331,0.61882,
task_attr_mod_color_6205,ig_n30,crop_resize0.1,1.3154,-0.00598,0.99963
task_attr_mod_color_6205,ig_n30,crop_resize0.15,1.57732,0.00347,0.99961
task_env_weather_112463,ig_n30,identity,1.0,0.99975,
task_env_weather_112463,ig_n30,jpeg75,1.02553,0.94481,
task_env_weather_112463,ig_n30,jpeg50,1.03801,0.9088,
task_env_weather_112463,ig_n30,jpeg30,1.0625,0.86906,
task_env_weather_112463,ig_n30,blur1,0.49181,0.90341,
task_env_weather_112463,ig_n30,blur2,0.20709,0.75245,
task_env_weather_112463,ig_n30,crop_resize0.1,0.9607,-0.01424,0.99968
task_env_weather_112463,ig_n30,crop_resize0.15,0.94093,-0.01237,0.99976
task_obj_remove_380621,ig_n30,identity,1.0,0.99993,
task_obj_remove_380621,ig_n30,jpeg75,1.03154,0.9454,
task_obj_remove_380621,ig_n30,jpeg50,1.06655,0.88607,
task_obj_remove_380621,ig_n30,jpeg30,1.04374,0.82338,
task_obj_remove_380621,ig_n30,blur1,0.18951,0.71487,
task_obj_remove_380621,ig_n30,blur2,0.072,0.43337,
task_obj_remove_380621,ig_n30,crop_resize0.1,0.98306,0.00835,0.99824
task_obj_remove_380621,ig_n30,crop_resize0.15,1.10273,0.00972,0.99817
task_obj_swap_joint_mask_276754,ig_n30,identity,1.0,1.00003,
task_obj_swap_joint_mask_276754,ig_n30,jpeg75,1.04151,0.94332,
task_obj_swap_joint_mask_276754,ig_n30,jpeg50,1.12604,0.87384,
task_obj_swap_joint_mask_276754,ig_n30,jpeg30,1.11718,0.79128,
task_obj_swap_joint_mask_276754,ig_n30,blur1,0.10841,0.56158,
task_obj_swap_joint_mask_276754,ig_n30,blur2,0.04444,0.32593,
task_obj_swap_joint_mask_276754,ig_n30,crop_resize0.1,0.84795,0.00845,0.99868
task_obj_swap_joint_mask_276754,ig_n30,crop_resize0.15,0.97599,0.0114,0.99865
task_attr_mod_color_11699,ig_n35,identity,1.0,1.00016,
task_attr_mod_color_11699,ig_n35,jpeg75,0.99599,0.96425,
task_attr_mod_color_11699,ig_n35,jpeg50,1.00345,0.93051,
task_attr_mod_color_11699,ig_n35,jpeg30,0.98925,0.89236,
task_attr_mod_color_11699,ig_n35,blur1,0.26918,0.78384,
task_attr_mod_color_11699,ig_n35,blur2,0.09772,0.53973,
task_attr_mod_color_11699,ig_n35,crop_resize0.1,0.96193,0.01053,0.99873
task_attr_mod_color_11699,ig_n35,crop_resize0.15,1.21199,-0.00138,0.99864
task_attr_mod_color_136767,ig_n35,identity,1.0,1.00017,
task_attr_mod_color_136767,ig_n35,jpeg75,1.01448,0.96661,
task_attr_mod_color_136767,ig_n35,jpeg50,1.01511,0.933,
task_attr_mod_color_136767,ig_n35,jpeg30,1.00872,0.89324,
task_attr_mod_color_136767,ig_n35,blur1,0.27471,0.78497,
task_attr_mod_color_136767,ig_n35,blur2,0.10849,0.53712,
task_attr_mod_color_136767,ig_n35,crop_resize0.1,1.07511,-0.00185,0.99893
task_attr_mod_color_136767,ig_n35,crop_resize0.15,1.25951,-0.00367,0.99895
task_attr_mod_color_184837,ig_n35,identity,1.0,1.00001,
task_attr_mod_color_184837,ig_n35,jpeg75,0.98596,0.97276,
task_attr_mod_color_184837,ig_n35,jpeg50,0.98449,0.94622,
task_attr_mod_color_184837,ig_n35,jpeg30,0.97705,0.91445,
task_attr_mod_color_184837,ig_n35,blur1,0.26664,0.795,
task_attr_mod_color_184837,ig_n35,blur2,0.10139,0.52477,
task_attr_mod_color_184837,ig_n35,crop_resize0.1,0.78482,0.00795,0.9991
task_attr_mod_color_184837,ig_n35,crop_resize0.15,0.52197,-0.00015,0.99909
task_attr_mod_color_32648,ig_n35,identity,1.0,1.00007,
task_attr_mod_color_32648,ig_n35,jpeg75,1.07974,0.8641,
task_attr_mod_color_32648,ig_n35,jpeg50,1.0336,0.78487,
task_attr_mod_color_32648,ig_n35,jpeg30,0.94801,0.7153,
task_attr_mod_color_32648,ig_n35,blur1,0.29636,0.7253,
task_attr_mod_color_32648,ig_n35,blur2,0.13433,0.57799,
task_attr_mod_color_32648,ig_n35,crop_resize0.1,1.194,0.01291,0.9996
task_attr_mod_color_32648,ig_n35,crop_resize0.15,1.53823,0.02595,0.9996
task_attr_mod_color_6205,ig_n35,identity,1.0,0.99965,
task_attr_mod_color_6205,ig_n35,jpeg75,0.96831,0.9376,
task_attr_mod_color_6205,ig_n35,jpeg50,0.96549,0.89596,
task_attr_mod_color_6205,ig_n35,jpeg30,0.971,0.85317,
task_attr_mod_color_6205,ig_n35,blur1,0.3205,0.81945,
task_attr_mod_color_6205,ig_n35,blur2,0.12454,0.59213,
task_attr_mod_color_6205,ig_n35,crop_resize0.1,1.29056,-0.00692,0.99949
task_attr_mod_color_6205,ig_n35,crop_resize0.15,1.54866,0.00403,0.99946
task_env_weather_112463,ig_n35,identity,1.0,0.99969,
task_env_weather_112463,ig_n35,jpeg75,1.01544,0.9448,
task_env_weather_112463,ig_n35,jpeg50,1.01999,0.90832,
task_env_weather_112463,ig_n35,jpeg30,1.02856,0.86952,
task_env_weather_112463,ig_n35,blur1,0.45677,0.88611,
task_env_weather_112463,ig_n35,blur2,0.18848,0.72339,
task_env_weather_112463,ig_n35,crop_resize0.1,0.96418,-0.01073,0.99951
task_env_weather_112463,ig_n35,crop_resize0.15,0.94132,-0.01538,0.99957
task_obj_remove_380621,ig_n35,identity,1.0,0.99995,
task_obj_remove_380621,ig_n35,jpeg75,1.0261,0.94891,
task_obj_remove_380621,ig_n35,jpeg50,1.04776,0.89314,
task_obj_remove_380621,ig_n35,jpeg30,1.03714,0.833,
task_obj_remove_380621,ig_n35,blur1,0.1872,0.71327,
task_obj_remove_380621,ig_n35,blur2,0.07296,0.42752,
task_obj_remove_380621,ig_n35,crop_resize0.1,0.96535,0.01749,0.99815
task_obj_remove_380621,ig_n35,crop_resize0.15,1.09653,0.01013,0.99802
task_obj_swap_joint_mask_276754,ig_n35,identity,1.0,1.00004,
task_obj_swap_joint_mask_276754,ig_n35,jpeg75,1.03143,0.94969,
task_obj_swap_joint_mask_276754,ig_n35,jpeg50,1.11077,0.88571,
task_obj_swap_joint_mask_276754,ig_n35,jpeg30,1.10367,0.80675,
task_obj_swap_joint_mask_276754,ig_n35,blur1,0.10454,0.53882,
task_obj_swap_joint_mask_276754,ig_n35,blur2,0.04772,0.31795,
task_obj_swap_joint_mask_276754,ig_n35,crop_resize0.1,0.83006,0.01189,0.99868
task_obj_swap_joint_mask_276754,ig_n35,crop_resize0.15,0.95843,0.01694,0.99866
