image,band_lo,band_hi,sigma,dists,lpips,psnr,rms,energy_ratio,cosine,h2_analytic,surv_per_dists
task_env_weather_112463,0.3,0.45,1.0,0.025774,0.094423,40.0043,0.009995,0.250459,0.985288,0.248598,9.7173
task_env_weather_112463,0.45,0.6,1.0,0.017169,0.077924,40.004,0.009995,0.069854,0.970704,0.068748,4.0685
task_env_weather_112463,0.6,0.8,1.0,0.002327,0.089202,40.0038,0.009995,0.010112,0.915867,0.009705,4.345
task_env_weather_112463,0.8,1.05,1.0,0.000561,0.099007,40.0047,0.009994,0.000583,0.780591,0.000414,1.0393
task_obj_remove_380621,0.0,0.03,1.0,0.038372,0.015521,40.0301,0.009965,0.992743,0.998886,0.995705,25.8718
task_obj_remove_380621,0.03,0.06,1.0,0.101804,0.052763,40.0154,0.009982,0.975812,0.999094,0.977941,9.5852
task_obj_remove_380621,0.06,0.12,1.0,0.093021,0.111213,40.0171,0.00998,0.913496,0.999022,0.915342,9.8204
task_obj_remove_380621,0.12,0.2,1.0,0.078686,0.127177,40.0172,0.00998,0.766507,0.998275,0.766483,9.7413
task_obj_remove_380621,0.2,0.3,1.0,0.03367,0.140045,40.0177,0.009979,0.533481,0.995959,0.531959,15.8443
task_obj_remove_380621,0.3,0.45,1.0,0.032265,0.124825,40.0189,0.009978,0.250205,0.984573,0.248598,7.7547
task_obj_remove_380621,0.45,0.6,1.0,0.019669,0.091202,40.0178,0.009979,0.069977,0.969451,0.068748,3.5577
task_obj_remove_380621,0.6,0.8,1.0,0.005246,0.093502,40.0184,0.009978,0.010374,0.906653,0.009705,1.9774
task_obj_remove_380621,0.8,1.05,1.0,0.000727,0.099791,40.0186,0.009978,0.000851,0.659808,0.000414,1.1701
task_obj_swap_joint_mask_276754,0.0,0.03,1.0,0.027701,0.012177,40.2859,0.009676,0.990734,0.998214,0.995705,35.7646
task_obj_swap_joint_mask_276754,0.03,0.06,1.0,0.055912,0.041342,40.3533,0.009601,0.971965,0.997697,0.977941,17.384
task_obj_swap_joint_mask_276754,0.06,0.12,1.0,0.066264,0.088467,40.4009,0.009548,0.9105,0.997546,0.915342,13.7406
task_obj_swap_joint_mask_276754,0.12,0.2,1.0,0.061041,0.087999,40.4234,0.009524,0.766882,0.996344,0.766483,12.5634
task_obj_swap_joint_mask_276754,0.2,0.3,1.0,0.034284,0.091891,40.4101,0.009538,0.540494,0.991912,0.531959,15.7653
task_obj_swap_joint_mask_276754,0.3,0.45,1.0,0.019378,0.081513,40.4145,0.009533,0.267436,0.969823,0.248598,13.8007
task_obj_swap_joint_mask_276754,0.45,0.6,1.0,0.014422,0.059314,40.4122,0.009536,0.093685,0.894417,0.068748,6.4958
task_obj_swap_joint_mask_276754,0.6,0.8,1.0,0.006239,0.054055,40.4093,0.009539,0.036015,0.611128,0.009705,5.7729
task_obj_swap_joint_mask_276754,0.8,1.05,1.0,0.003296,0.054799,40.4089,0.00954,0.026798,0.281849,0.000414,8.1298
task_obj_swap_joint_mask_533428,0.0,0.03,1.0,0.01874,0.00965,40.0313,0.009964,0.992744,0.998976,0.995705,52.9753
task_obj_swap_joint_mask_533428,0.03,0.06,1.0,0.040624,0.029029,40.0204,0.009976,0.976157,0.999297,0.977941,24.0292
task_obj_swap_joint_mask_533428,0.06,0.12,1.0,0.032122,0.060567,40.0263,0.009969,0.91341,0.999061,0.915342,28.4359
task_obj_swap_joint_mask_533428,0.12,0.2,1.0,0.026911,0.060273,40.0252,0.00997,0.766574,0.998367,0.766483,28.486
task_obj_swap_joint_mask_533428,0.2,0.3,1.0,0.012945,0.056158,40.0249,0.009971,0.533514,0.996005,0.531959,41.214
task_obj_swap_joint_mask_533428,0.3,0.45,1.0,0.011753,0.050263,40.0257,0.00997,0.250267,0.984549,0.248598,21.2938
task_obj_swap_joint_mask_533428,0.45,0.6,1.0,0.006925,0.03695,40.0261,0.009969,0.070075,0.969008,0.068748,10.1192
task_obj_swap_joint_mask_533428,0.6,0.8,1.0,0.00245,0.03314,40.0253,0.00997,0.010486,0.903033,0.009705,4.2795
task_obj_swap_joint_mask_533428,0.8,1.05,1.0,0.000568,0.029493,40.0268,0.009969,0.000957,0.626718,0.000414,1.6844
task_obj_swap_rand_mask_417469,0.0,0.03,1.0,0.038837,0.023435,40.1508,0.009827,0.992751,0.999168,0.995705,25.5622
task_obj_swap_rand_mask_417469,0.03,0.06,1.0,0.05491,0.054216,40.0874,0.009899,0.97559,0.999247,0.977941,17.7669
task_obj_swap_rand_mask_417469,0.06,0.12,1.0,0.046845,0.085669,40.107,0.009877,0.91265,0.998898,0.915342,19.4822
task_obj_swap_rand_mask_417469,0.12,0.2,1.0,0.045953,0.096137,40.0928,0.009893,0.766073,0.99811,0.766483,16.671
task_obj_swap_rand_mask_417469,0.2,0.3,1.0,0.024625,0.101843,40.0942,0.009892,0.533945,0.995468,0.531959,21.6829
task_obj_swap_rand_mask_417469,0.3,0.45,1.0,0.023571,0.0994,40.092,0.009894,0.252047,0.982786,0.248598,10.6933
task_obj_swap_rand_mask_417469,0.45,0.6,1.0,0.012742,0.084578,40.0877,0.009899,0.072308,0.959746,0.068748,5.6748
task_obj_swap_rand_mask_417469,0.6,0.8,1.0,0.004362,0.084378,40.0902,0.009896,0.01303,0.83097,0.009705,2.9868
task_obj_swap_rand_mask_417469,0.8,1.05,1.0,0.001187,0.089646,40.0914,0.009895,0.003607,0.370233,0.000414,3.038
