image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,disp_mean_px,disp_max_px,disp_p99_px,flow_tv,grid_size,purify,strength,noise_split,proxy_gap,edit_psnr,edit_linf,edit_ssim,edit_lpips,edit_dists,edit_acutance_ratio,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b,defimg_psnr,defimg_linf,defimg_ssim,defimg_lpips,defimg_dists,defimg_acutance_ratio,ctrl_lpips,ctrl_psnr,net_lpips
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,jpeg,60,heldout,0.0,22.159297943115234,0.8366588354110718,0.8288206458091736,0.2036115825176239,0.08595186471939087,1.0706112384796143,3.607388867230174,2.3305945210178187,0.21795710921287537,0.04843774065375328,0.21741294860839844,0.029933221638202667,23.08020782470703,0.8901960849761963,0.9133119583129883,0.16518983244895935,0.031966984272003174,0.9694592356681824,0.15937384963035583,23.30567169189453,0.044237732887268066
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,jpeg,45,heldout,0.0,21.984344482421875,0.8348244428634644,0.8106688261032104,0.21958641707897186,0.10141879320144653,1.0180435180664062,3.607388867230174,2.0174551688918365,0.21795710921287537,0.04843774065375328,0.2238173931837082,0.03324746713042259,22.8084774017334,0.8078431487083435,0.9053458571434021,0.19323411583900452,0.03419607877731323,0.9630582928657532,0.18372881412506104,22.8984432220459,0.03585760295391083
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,jpeg,30,heldout,0.0,22.03009796142578,0.8494753837585449,0.8112850189208984,0.24233582615852356,0.09706711769104004,0.9600504040718079,3.607388867230174,1.9144096247909876,0.21795710921287537,0.04843774065375328,0.22870320081710815,0.04200407862663269,22.48417091369629,0.8509804010391235,0.8925091028213501,0.23556694388389587,0.04852181673049927,0.9483185410499573,0.217988058924675,22.87649917602539,0.024347767233848572
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,noise,0.0,heldout,0.0,23.76465606689453,0.8277589082717896,0.8902816772460938,0.12792840600013733,0.06949687004089355,1.0037795305252075,3.607388867230174,3.3214893347155066,0.21795710921287537,0.04843774065375328,0.22033530473709106,0.03875667229294777,24.244823455810547,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.013458669185638428,0.9751928448677063,0.0,80.0,0.12792840600013733
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,noise,0.01,heldout,0.0,23.24820327758789,0.8251422643661499,0.8810893297195435,0.14329081773757935,0.0770496129989624,1.0832616090774536,3.607388867230174,3.423670946016581,0.21795710921287537,0.04843774065375328,0.22097471356391907,0.04043008014559746,24.134700775146484,0.8771396279335022,0.9399752020835876,0.06261621415615082,0.014975905418395996,0.9761598706245422,0.03954797610640526,31.267223358154297,0.10374284163117409
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,noise,0.02,heldout,0.0,22.71479034423828,0.8489634990692139,0.8610396385192871,0.18253764510154724,0.09100377559661865,1.1307053565979004,3.607388867230174,4.199780934497098,0.21795710921287537,0.04843774065375328,0.22884738445281982,0.05502728372812271,23.821086883544922,0.8669528365135193,0.9270825386047363,0.10795525461435318,0.028296470642089844,0.9807657599449158,0.09953555464744568,27.004262924194336,0.08300209045410156
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,noise,0.04,heldout,0.0,21.68616485595703,0.9080120325088501,0.8226038813591003,0.25174304842948914,0.116951584815979,1.2539364099502563,3.607388867230174,5.508300526685997,0.21795710921287537,0.04843774065375328,0.23711661994457245,0.06430204212665558,22.776023864746094,0.8672603368759155,0.8870217800140381,0.19214697182178497,0.07358455657958984,0.999891459941864,0.19673404097557068,23.58222007751465,0.05500900745391846
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,noise,0.08,heldout,0.0,19.247282028198242,0.9487085938453674,0.7284385561943054,0.3473650813102722,0.1590481996536255,1.6865029335021973,3.607388867230174,7.668163313633232,0.21795710921287537,0.04843774065375328,0.2602454721927643,0.0813496857881546,20.19564437866211,0.887167751789093,0.7893826365470886,0.3215538263320923,0.1360173225402832,1.0726171731948853,0.3299170434474945,19.68445587158203,0.01744803786277771
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,quantize,256,heldout,0.0,23.766660690307617,0.8280633687973022,0.8907527923583984,0.1273702085018158,0.06978756189346313,1.0044004917144775,3.607388867230174,3.2942775314440413,0.21795710921287537,0.04843774065375328,0.2204325795173645,0.037991367280483246,24.243751525878906,0.8862745761871338,0.94466632604599,0.0382697619497776,0.013366639614105225,0.9751994013786316,9.154310122438947e-12,79.99993896484375,0.12737020849266148
car_00,S,32,a wrecked car after an accident,25,10,10,1,97.6,rotate,0,0.0,,,10149.0,0.56,512.0,327.0,180.66666666666666,,,,0.26246780157089233,0.22435742616653442,0.038110360503196716,0.2756425738334656,24.24483299255371,0.8873264193534851,24.24483299255371,0.8873264193534851,0.9447104334831238,0.038110360503196716,0.47861096262931824,2.000502347946167,1.3788639307022095,1.1296019554138184,32,quantize,64,heldout,0.0,23.6501407623291,0.8254133462905884,0.8877478837966919,0.1289750635623932,0.06834697723388672,1.0199952125549316,3.607388867230174,3.327783941327994,0.21795710921287537,0.04843774065375328,0.2168537974357605,0.04500611126422882,24.22052574157715,0.8859010934829712,0.943541944026947,0.04319463670253754,0.013203978538513184,0.975951075553894,0.012385888025164604,36.321109771728516,0.11658917553722858
