tag,image,condition,block,rho_energy_texture,rho_after_permute,block_gini,crop_ring_energy_frac,residual_rms
dct_y_e14,task_env_weather_246440,dct_shield_y,32,0.89766,0.01916,0.14394,0.36422,0.035451
dct_y_e14,task_env_weather_63722,dct_shield_y,32,0.89908,-0.06038,0.12571,0.3105,0.030933
dct_y_e14,task_obj_add_40931,dct_shield_y,32,0.48797,0.00652,0.09193,0.36839,0.030215
dct_y_e14,task_obj_remove_380621,dct_shield_y,32,0.91085,-0.06685,0.09374,0.33457,0.029833
dct_y_e14,task_obj_swap_joint_mask_276754,dct_shield_y,32,0.85193,-0.01207,0.13508,0.31948,0.030606
dct_y_e14,task_obj_swap_joint_mask_533428,dct_shield_y,32,0.89176,0.02817,0.09372,0.33799,0.031882
dct_y_e14,task_obj_swap_rand_mask_417469,dct_shield_y,32,0.85586,0.08126,0.16126,0.34625,0.030605
y_q85_e10,task_attr_mod_color_11699,dct_shield_y,32,0.88378,0.00728,0.12629,0.33956,0.063525
y_q85_e10,task_attr_mod_color_136767,dct_shield_y,32,0.79098,-0.04202,0.12621,0.3176,0.060394
y_q85_e10,task_attr_mod_color_184837,dct_shield_y,32,0.90885,0.01458,0.12937,0.35628,0.065699
y_q85_e10,task_attr_mod_color_32648,dct_shield_y,32,0.7815,0.00588,0.12445,0.3097,0.051212
y_q85_e10,task_attr_mod_color_6205,dct_shield_y,32,0.72759,0.05115,0.09086,0.33388,0.0607
y_q85_e10,task_env_weather_112463,dct_shield_y,32,0.57556,0.08256,0.05683,0.34663,0.062283
y_q85_e10,task_env_weather_246440,dct_shield_y,32,0.90841,-0.00501,0.13436,0.34986,0.067346
y_q85_e10,task_env_weather_63722,dct_shield_y,32,0.84702,-0.04916,0.11484,0.31135,0.061513
y_q85_e10,task_obj_add_40931,dct_shield_y,32,0.53889,0.02906,0.09805,0.35827,0.059761
y_q85_e10,task_obj_remove_380621,dct_shield_y,32,0.8059,-0.03813,0.09381,0.34465,0.06084
y_q85_e10,task_obj_swap_joint_mask_276754,dct_shield_y,32,0.86862,-0.01025,0.19995,0.2827,0.060354
y_q85_e10,task_obj_swap_joint_mask_533428,dct_shield_y,32,0.85011,0.00146,0.09248,0.34196,0.063606
y_q85_e10,task_obj_swap_rand_mask_417469,dct_shield_y,32,0.87464,0.08152,0.16083,0.34843,0.059771
