image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,purify,strength,noise_split,proxy_gap,edit_psnr,edit_linf,edit_ssim,edit_lpips,edit_dists,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b,defimg_psnr,defimg_linf,defimg_ssim,defimg_lpips,defimg_dists,ctrl_lpips,ctrl_psnr,net_lpips
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,blur,0.5,heldout,0.0,29.871723175048828,0.5668308734893799,0.9678281545639038,0.07784164696931839,0.03890681266784668,3.67183504966514,3.059368829156669,0.30161184072494507,0.058260492980480194,0.2916567921638489,0.050300370901823044,33.6258544921875,0.23825585842132568,0.9948429465293884,0.030280020087957382,0.017397046089172363,0.07565651834011078,29.914710998535156,0.002185128629207611
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,blur,1.0,heldout,0.0,24.400554656982422,0.7351104617118835,0.8611924648284912,0.29492926597595215,0.12270307540893555,3.67183504966514,5.053839805715889,0.30161184072494507,0.058260492980480194,0.2773815393447876,0.042929600924253464,24.87017822265625,0.5996701717376709,0.9403404593467712,0.21267735958099365,0.10325193405151367,0.2957572340965271,24.391075134277344,-0.0008279681205749512
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,blur,1.5,heldout,0.0,22.441749572753906,0.6357908844947815,0.7726784944534302,0.4127480387687683,0.18416154384613037,3.67183504966514,6.73376092351058,0.30161184072494507,0.058260492980480194,0.26658549904823303,0.036151181906461716,22.440101623535156,0.7071391344070435,0.8602485656738281,0.32473716139793396,0.16706746816635132,0.4127838611602783,22.445650100708008,-3.5822391510009766e-05
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,blur,2.0,heldout,0.0,21.47052574157715,0.6769705414772034,0.7029606699943542,0.48430100083351135,0.22679150104522705,3.67183504966514,7.767239193002001,0.30161184072494507,0.058260492980480194,0.2569567561149597,0.023107614368200302,21.141162872314453,0.74391770362854,0.7786388397216797,0.40648508071899414,0.21171754598617554,0.48431462049484253,21.47342872619629,-1.3619661331176758e-05
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,blur,3.0,heldout,0.0,20.417985916137695,0.665865957736969,0.6076403260231018,0.5726799368858337,0.28352081775665283,3.67183504966514,9.602652073179808,0.30161184072494507,0.058260492980480194,0.24772754311561584,0.02279677242040634,19.700321197509766,0.7642588019371033,0.6416147947311401,0.5239572525024414,0.27636444568634033,0.5726750493049622,20.420673370361328,4.887580871582031e-06
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,jpeg,95,heldout,0.0,36.613487243652344,0.5156782865524292,0.9927012324333191,0.01939815655350685,0.011205315589904785,3.67183504966514,3.9138176545050936,0.30161184072494507,0.058260492980480194,0.3016905188560486,0.05552922934293747,40.81721878051758,0.08627450466156006,0.9977977275848389,0.018702350556850433,0.0024303197860717773,0.017910920083522797,37.263221740722656,0.0014872364699840546
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,jpeg,85,heldout,0.0,30.902406692504883,0.6887930631637573,0.9731849431991577,0.05927093327045441,0.03175848722457886,3.67183504966514,3.2811495427377997,0.30161184072494507,0.058260492980480194,0.2956736981868744,0.0593409463763237,35.3209342956543,0.11764705181121826,0.9944862127304077,0.06015636399388313,0.008385419845581055,0.05375215411186218,31.128551483154297,0.005518779158592224
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,jpeg,75,heldout,0.0,29.057830810546875,0.5993461608886719,0.9573473930358887,0.08845071494579315,0.03904348611831665,3.67183504966514,2.899250909082597,0.30161184072494507,0.058260492980480194,0.2911183536052704,0.048533253371715546,32.9628791809082,0.1882353127002716,0.9910876154899597,0.09659761190414429,0.016915321350097656,0.08182238042354584,29.671588897705078,0.0066283345222473145
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,jpeg,60,heldout,0.0,28.13030242919922,0.6934846043586731,0.9470118284225464,0.10944747924804688,0.05528002977371216,3.67183504966514,2.5218894905663354,0.30161184072494507,0.058260492980480194,0.2901965081691742,0.047181714326143265,31.046051025390625,0.22745099663734436,0.9859203696250916,0.1356479674577713,0.03830993175506592,0.11001326888799667,28.197290420532227,-0.0005657896399497986
car_01,LA,4,a wrecked car after an accident,25,20,10,1,297.2,11512.0,8.07,512.0,336.6666666666667,176.66666666666666,,,,0.67027348279953,0.4769081473350525,0.19336532056331635,0.023091863840818405,55.678768157958984,0.06192976236343384,55.678768157958984,0.06192976236343384,0.9999487400054932,0.00033768496359698474,jpeg,45,heldout,0.0,26.831796646118164,0.6601580381393433,0.9319073557853699,0.14052250981330872,0.05740988254547119,3.67183504966514,2.2538218115504827,0.30161184072494507,0.058260492980480194,0.2853844165802002,0.041383542120456696,29.775020599365234,0.29803919792175293,0.9801930785179138,0.16538584232330322,0.04573416709899902,0.13630928099155426,27.06397819519043,0.004213228821754456
