image,condition,verdict,displacement,dists_displacement,drift,dists_drift,drift_ratio,acutance,clip_sim,siglip_sim
task_attr_mod_color_184837,base_s025,,0.36109,0.21372,0.60645,0.28659,1.8089,0.2739,0.97011,0.93838
task_attr_mod_color_184837,base_s050,,0.40521,0.23616,0.64445,0.30117,1.9222,0.2194,0.96434,0.93255
task_attr_mod_color_184837,dct_s0100,,0.45415,0.26547,0.68393,0.3252,2.04,0.166,0.96932,0.92931
task_attr_mod_color_184837,pgx_g78,,0.50574,0.32715,0.72243,0.38363,2.1548,0.0501,0.91843,0.83603
task_attr_mod_color_184837,phase_s0100,,0.28389,0.20424,0.51725,0.28987,1.5428,0.225,0.96845,0.95546
task_attr_mod_color_184837,phase_s1000,,0.20061,0.1454,0.479,0.25803,1.4287,0.2759,0.98311,0.97138
task_attr_mod_color_184837,q00_e10_r127,,0.3436,0.22384,0.54735,0.29676,1.6326,0.2007,0.96087,0.92513
task_attr_mod_color_184837,y_e10_a,,0.37755,0.21535,0.62152,0.28882,1.8538,0.2215,0.97604,0.93698
task_attr_mod_color_184837,y_e20_a,,0.50285,0.29597,0.7205,0.34176,2.1491,0.0982,0.94658,0.91286
task_attr_mod_color_184837,y_e30_a,,0.63285,0.35583,0.85157,0.3972,2.54,0.0657,0.8563,0.85941
task_attr_mod_color_32648,add_et_e02,,0.39899,0.29673,0.85603,0.39492,1.5721,0.1804,0.91315,0.89335
task_attr_mod_color_32648,add_ln_e02,,0.56124,0.35756,0.89322,0.43558,1.6404,0.5947,0.79179,0.74468
task_attr_mod_color_32648,add_ln_e04,,0.61804,0.38566,0.88263,0.45063,1.6209,0.5666,0.78871,0.74581
task_attr_mod_color_32648,base_s025,,0.38497,0.31366,0.84429,0.4075,1.5505,0.1077,0.92519,0.92744
task_attr_mod_color_32648,base_s050,,0.40387,0.33523,0.86708,0.4183,1.5924,0.1057,0.92409,0.91791
task_attr_mod_color_32648,dct_s0100,,0.58771,0.36876,0.89505,0.43553,1.6437,0.5764,0.76903,0.7323
task_attr_mod_color_32648,pgx_g78,,0.36574,0.26842,0.83962,0.38186,1.542,0.2519,0.89986,0.90117
task_attr_mod_color_32648,phase_s0100,,0.18204,0.15168,0.65072,0.32011,1.195,0.4819,0.96212,0.9541
task_attr_mod_color_32648,phase_s1000,,0.16855,0.14235,0.64163,0.31652,1.1784,0.4659,0.96489,0.95986
task_attr_mod_color_32648,q00_e10_r127,,0.20646,0.15529,0.67943,0.32428,1.2478,0.4341,0.96693,0.95092
task_attr_mod_color_32648,y_e10_a,,0.62175,0.38961,0.85931,0.45462,1.5781,0.5273,0.74949,0.7319
task_attr_mod_color_32648,y_e20_a,,0.63647,0.39045,0.86208,0.45873,1.5832,0.4116,0.75221,0.71993
task_attr_mod_color_32648,y_e30_a,,0.6325,0.3892,0.86736,0.46088,1.5929,0.3849,0.76099,0.72043
task_attr_mod_color_6205,add_et_e02,,0.42017,0.24359,0.62358,0.27473,2.6955,0.149,0.92059,0.88558
task_attr_mod_color_6205,add_ln_e02,,0.55491,0.31751,0.75666,0.34525,3.2707,0.1033,0.90534,0.84356
task_attr_mod_color_6205,add_ln_e04,,0.66035,0.46506,0.84804,0.47944,3.6658,0.0212,0.84134,0.81978
task_attr_mod_color_6205,base_s025,,0.48413,0.26275,0.68026,0.29262,2.9405,0.1648,0.90636,0.86757
task_attr_mod_color_6205,base_s050,,0.57609,0.33339,0.77218,0.3594,3.3378,0.1052,0.90409,0.8401
task_attr_mod_color_6205,dct_s0100,,0.63279,0.41371,0.82612,0.43295,3.571,0.0471,0.88361,0.82796
task_attr_mod_color_6205,pgx_g78,,0.53627,0.34517,0.72352,0.37028,3.1275,0.1204,0.8492,0.79422
task_attr_mod_color_6205,phase_s0100,,0.23302,0.14341,0.44978,0.19616,1.9442,0.3963,0.9773,0.94551
task_attr_mod_color_6205,phase_s1000,,0.12924,0.08794,0.3568,0.15985,1.5423,0.53,0.9934,0.97237
task_attr_mod_color_6205,q00_e10_r127,,0.26741,0.16579,0.48252,0.21587,2.0858,0.3312,0.97382,0.93769
task_attr_mod_color_6205,y_e10_a,,0.57575,0.34599,0.77408,0.37019,3.3461,0.0898,0.90442,0.85085
task_attr_mod_color_6205,y_e20_a,,0.74364,0.6185,0.92463,0.62108,3.9968,0.0114,0.54535,0.53813
task_attr_mod_color_6205,y_e30_a,,0.74527,0.724,0.92579,0.71739,4.0018,0.0027,0.52247,0.45382
task_env_weather_112463,add_et_e02,,0.34709,0.16861,0.43565,0.20538,1.1681,0.4267,0.92919,0.8575
task_env_weather_112463,add_ln_e02,,0.36682,0.20726,0.41954,0.21838,1.1249,0.1409,0.90151,0.88815
task_env_weather_112463,add_ln_e04,,0.84568,0.3504,0.84862,0.37166,2.2754,0.1686,0.58387,0.5996
task_env_weather_112463,base_s025,,0.39809,0.20889,0.46319,0.21643,1.2419,0.321,0.83489,0.83439
task_env_weather_112463,base_s050,,0.41424,0.24363,0.46863,0.22819,1.2565,0.1577,0.84416,0.87344
task_env_weather_112463,dct_s0100,,0.83532,0.34176,0.82886,0.37182,2.2224,0.2482,0.55451,0.58205
task_env_weather_112463,pgx_g78,,0.44815,0.23523,0.49546,0.24337,1.3285,0.1594,0.8871,0.86665
task_env_weather_112463,phase_s0100,,0.27564,0.1194,0.39373,0.19226,1.0557,0.8828,0.9582,0.9536
task_env_weather_112463,phase_s1000,,0.2529,0.11144,0.38381,0.19952,1.0291,0.9279,0.9638,0.95217
task_env_weather_112463,q00_e10_r127,,0.32542,0.14051,0.40546,0.1922,1.0872,0.7846,0.94016,0.92161
task_env_weather_112463,y_e10_a,,0.4385,0.18518,0.52872,0.26762,1.4177,0.9398,0.83694,0.81372
task_env_weather_112463,y_e20_a,,0.84675,0.36762,0.83915,0.38964,2.25,0.1157,0.56012,0.56395
task_env_weather_112463,y_e30_a,,0.86343,0.3811,0.86503,0.3953,2.3194,0.0993,0.54162,0.56992
task_env_weather_246440,add_et_e02,,0.41661,0.21169,0.56978,0.26132,0.8637,0.7488,0.92653,0.88877
task_env_weather_246440,add_ln_e02,,0.4157,0.21994,0.56565,0.26196,0.8574,0.7315,0.91829,0.85257
task_env_weather_246440,add_ln_e04,,0.46647,0.25743,0.63346,0.30746,0.9602,0.4767,0.92936,0.85766
task_env_weather_246440,base_s025,,0.4402,0.22738,0.57347,0.26632,0.8693,0.6574,0.91314,0.85068
task_env_weather_246440,base_s050,,0.44366,0.23122,0.60207,0.28217,0.9126,0.5879,0.92432,0.84858
task_env_weather_246440,dct_s0100,,0.44768,0.23426,0.62193,0.29112,0.9427,0.5523,0.92246,0.86734
task_env_weather_246440,pgx_g78,,0.50724,0.27833,0.7127,0.3842,1.0803,0.284,0.92795,0.87724
task_env_weather_246440,phase_s0100,,0.36511,0.17072,0.65792,0.31968,0.9973,0.5407,0.95741,0.90802
task_env_weather_246440,phase_s1000,,0.32263,0.1412,0.64239,0.31891,0.9737,0.5957,0.95656,0.95284
task_env_weather_246440,q00_e10_r127,,0.43886,0.21997,0.6382,0.30976,0.9674,0.5022,0.93728,0.90168
task_env_weather_246440,y_e10_a,,0.38845,0.19604,0.61355,0.29694,0.93,0.6647,0.94488,0.89699
task_env_weather_246440,y_e20_a,,0.47067,0.24951,0.66646,0.3237,1.0102,0.4091,0.93251,0.88749
task_env_weather_246440,y_e30_a,,0.51655,0.28683,0.70075,0.3402,1.0622,0.3196,0.91798,0.85806
task_env_weather_63722,add_et_e02,,0.31594,0.17131,0.4032,0.19677,1.8919,0.1516,0.88692,0.9017
task_env_weather_63722,add_ln_e02,,0.39871,0.21071,0.47813,0.22644,2.2435,0.1119,0.89618,0.89772
task_env_weather_63722,add_ln_e04,,0.52096,0.32407,0.61809,0.34531,2.9003,0.0491,0.82448,0.80843
task_env_weather_63722,base_s025,,0.38235,0.20069,0.45789,0.21639,2.1486,0.1438,0.90817,0.90213
task_env_weather_63722,base_s050,,0.43616,0.23432,0.50908,0.25009,2.3888,0.1049,0.88715,0.88625
task_env_weather_63722,dct_s0100,,0.46577,0.25917,0.53728,0.275,2.5211,0.0702,0.87885,0.85555
task_env_weather_63722,pgx_g78,,0.39077,0.2664,0.481,0.28579,2.257,0.0889,0.9002,0.83414
task_env_weather_63722,phase_s0100,,0.199,0.09632,0.31039,0.13252,1.4564,0.4152,0.96054,0.96598
task_env_weather_63722,phase_s1000,,0.16124,0.07131,0.28495,0.11426,1.3371,0.5136,0.9742,0.96404
task_env_weather_63722,q00_e10_r127,,0.26598,0.11219,0.34905,0.1451,1.6378,0.317,0.93481,0.91744
task_env_weather_63722,y_e10_a,,0.43601,0.22059,0.51564,0.23959,2.4196,0.0849,0.90429,0.87983
task_env_weather_63722,y_e20_a,,0.50517,0.2916,0.60144,0.31429,2.8222,0.0436,0.88366,0.838
task_env_weather_63722,y_e30_a,,0.63736,0.41894,0.71471,0.44444,3.3537,0.1177,0.69795,0.7419
task_obj_add_40931,add_et_e02,,0.33579,0.22067,0.32154,0.15478,1.55,0.2609,0.91648,0.89238
task_obj_add_40931,add_ln_e02,,0.40257,0.25494,0.38992,0.21992,1.8797,0.2085,0.93039,0.87902
task_obj_add_40931,add_ln_e04,,0.54714,0.38297,0.52758,0.35847,2.5433,0.0836,0.86952,0.7078
task_obj_add_40931,base_s025,,0.40631,0.2543,0.40312,0.22975,1.9433,0.2076,0.91763,0.89122
task_obj_add_40931,base_s050,,0.45304,0.30003,0.44498,0.27384,2.1451,0.1518,0.88845,0.8099
task_obj_add_40931,dct_s0100,,0.48801,0.3286,0.48013,0.30615,2.3145,0.1085,0.88367,0.77806
task_obj_add_40931,pgx_g78,,0.56762,0.41373,0.55186,0.37111,2.6603,0.0963,0.86484,0.65272
task_obj_add_40931,phase_s0100,,0.30975,0.18655,0.33452,0.19217,1.6126,0.3285,0.95003,0.93802
task_obj_add_40931,phase_s1000,,0.26373,0.1349,0.31549,0.16788,1.5208,0.533,0.96017,0.9507
task_obj_add_40931,q00_e10_r127,,0.35456,0.24201,0.35309,0.21252,1.7021,0.2413,0.91938,0.85031
task_obj_add_40931,y_e10_a,,0.41597,0.23972,0.43119,0.24601,2.0786,0.1523,0.92205,0.86997
task_obj_add_40931,y_e20_a,,0.51981,0.33318,0.52474,0.32304,2.5296,0.0802,0.87817,0.78753
task_obj_add_40931,y_e30_a,,0.59167,0.36634,0.6429,0.37798,3.0992,0.0777,0.83269,0.6946
task_obj_remove_380621,add_et_e02,,0.64705,0.34956,0.67098,0.35902,3.1352,0.4467,0.7349,0.76004
task_obj_remove_380621,add_ln_e02,,0.46962,0.22882,0.42856,0.2008,2.0025,0.1621,0.89457,0.85693
task_obj_remove_380621,add_ln_e04,,0.71535,0.37805,0.70279,0.3527,3.2839,0.4181,0.73003,0.70881
task_obj_remove_380621,base_s025,,0.45026,0.2495,0.45029,0.25855,2.104,0.1192,0.92865,0.88783
task_obj_remove_380621,base_s050,,0.56732,0.28685,0.55143,0.25598,2.5766,0.2326,0.82662,0.78219
task_obj_remove_380621,dct_s0100,,0.68206,0.35775,0.66788,0.33579,3.1207,0.4254,0.72259,0.6964
task_obj_remove_380621,pgx_g78,,0.69933,0.51956,0.71546,0.5274,3.3431,0.4452,0.60408,0.51757
task_obj_remove_380621,phase_s0100,,0.4073,0.18206,0.4524,0.207,2.1139,0.4459,0.91586,0.85001
task_obj_remove_380621,phase_s1000,,0.26183,0.11112,0.32734,0.14854,1.5295,0.3646,0.96164,0.92347
task_obj_remove_380621,q00_e10_r127,,0.42481,0.20099,0.46077,0.22089,2.153,0.4182,0.89317,0.8581
task_obj_remove_380621,y_e10_b,,0.6604,0.33616,0.63948,0.30797,2.988,0.3553,0.74301,0.71943
task_obj_remove_380621,y_e20_b,,0.71596,0.38983,0.7041,0.36258,3.29,0.4269,0.73249,0.70693
task_obj_remove_380621,y_e30_b,,0.72363,0.3856,0.71089,0.3603,3.3217,0.3634,0.73588,0.71011
task_obj_swap_joint_mask_276754,add_et_e02,,0.2395,0.25141,0.7517,0.48256,1.0317,0.5222,0.94324,0.91861
task_obj_swap_joint_mask_276754,add_ln_e02,,0.54232,0.31904,0.70386,0.44751,0.966,0.488,0.90191,0.89969
task_obj_swap_joint_mask_276754,add_ln_e04,,0.55877,0.29032,0.72519,0.45172,0.9953,0.4937,0.86926,0.90426
task_obj_swap_joint_mask_276754,base_s025,,0.56222,0.32483,0.69377,0.44839,0.9522,0.6172,0.90198,0.89572
task_obj_swap_joint_mask_276754,base_s050,,0.59438,0.33934,0.70199,0.44956,0.9634,0.6285,0.8964,0.88069
task_obj_swap_joint_mask_276754,dct_s0100,,0.63428,0.32702,0.63429,0.37832,0.8705,0.8122,0.89075,0.8973
task_obj_swap_joint_mask_276754,pgx_g78,,0.20086,0.18775,0.78126,0.50376,1.0722,0.4609,0.93767,0.93342
task_obj_swap_joint_mask_276754,phase_s0100,,0.19562,0.20518,0.74423,0.48701,1.0214,0.461,0.94766,0.93244
task_obj_swap_joint_mask_276754,phase_s1000,,0.192,0.20637,0.74278,0.48203,1.0194,0.4014,0.94185,0.9067
task_obj_swap_joint_mask_276754,q00_e10_r127,,0.20006,0.20283,0.74828,0.48183,1.027,0.4995,0.94008,0.94507
task_obj_swap_joint_mask_276754,y_e10_b,,0.59814,0.33544,0.6917,0.43822,0.9493,0.5826,0.88807,0.90095
task_obj_swap_joint_mask_276754,y_e20_b,,0.70383,0.43623,0.63415,0.34627,0.8703,1.8182,0.80206,0.84209
task_obj_swap_joint_mask_276754,y_e30_b,,0.70289,0.45998,0.65002,0.35254,0.8921,1.6344,0.79466,0.82848
task_obj_swap_joint_mask_533428,add_et_e02,,0.38135,0.15901,0.59533,0.31172,1.0803,0.7704,0.94926,0.94283
task_obj_swap_joint_mask_533428,add_ln_e02,,0.48684,0.22384,0.58982,0.30559,1.0703,0.418,0.92294,0.8478
task_obj_swap_joint_mask_533428,add_ln_e04,,0.58108,0.30837,0.59551,0.30977,1.0806,0.3488,0.87982,0.76887
task_obj_swap_joint_mask_533428,base_s025,,0.48875,0.23632,0.60088,0.31625,1.0903,0.391,0.92449,0.85968
task_obj_swap_joint_mask_533428,base_s050,,0.55295,0.28705,0.53303,0.27086,0.9672,0.4572,0.89266,0.76409
task_obj_swap_joint_mask_533428,dct_s0100,,0.53637,0.26434,0.6145,0.32364,1.115,0.3007,0.90029,0.81243
task_obj_swap_joint_mask_533428,pgx_g78,,0.55139,0.32091,0.63048,0.35235,1.144,0.2804,0.79129,0.77031
task_obj_swap_joint_mask_533428,phase_s0100,,0.31351,0.14726,0.54999,0.30297,0.998,0.6388,0.93865,0.90164
task_obj_swap_joint_mask_533428,phase_s1000,,0.27524,0.13804,0.55766,0.31337,1.0119,0.6525,0.93311,0.93066
task_obj_swap_joint_mask_533428,q00_e10_r127,,0.4223,0.19412,0.55696,0.29153,1.0106,0.6649,0.93633,0.89957
task_obj_swap_joint_mask_533428,y_e10_b,,0.48608,0.22976,0.58907,0.30993,1.0689,0.3394,0.9335,0.86643
task_obj_swap_joint_mask_533428,y_e20_b,,0.53552,0.2212,0.66947,0.36008,1.2148,0.5602,0.76115,0.7273
task_obj_swap_joint_mask_533428,y_e30_b,,0.6139,0.26321,0.72587,0.40388,1.3171,0.2817,0.62551,0.61269
task_obj_swap_rand_mask_417469,add_et_e02,,0.32977,0.1765,0.43806,0.18805,2.1268,0.1792,0.89934,0.90216
task_obj_swap_rand_mask_417469,add_ln_e02,,0.46701,0.27163,0.57102,0.28274,2.7723,0.1061,0.88243,0.8694
task_obj_swap_rand_mask_417469,add_ln_e04,,0.72529,0.49598,0.81414,0.50014,3.9526,0.0891,0.41698,0.49804
task_obj_swap_rand_mask_417469,base_s025,,0.44244,0.24965,0.538,0.25818,2.612,0.1114,0.90325,0.88184
task_obj_swap_rand_mask_417469,base_s050,,0.52826,0.31467,0.63099,0.32248,3.0635,0.07,0.89122,0.86334
task_obj_swap_rand_mask_417469,dct_s0100,,0.62489,0.39618,0.72843,0.40317,3.5365,0.0474,0.73809,0.72299
task_obj_swap_rand_mask_417469,pgx_g78,,0.5713,0.39519,0.67964,0.40123,3.2997,0.0396,0.58845,0.54628
task_obj_swap_rand_mask_417469,phase_s0100,,0.22925,0.11683,0.35139,0.14563,1.706,0.339,0.95936,0.9265
task_obj_swap_rand_mask_417469,phase_s1000,,0.17565,0.07818,0.30216,0.11342,1.467,0.4547,0.97653,0.95287
task_obj_swap_rand_mask_417469,q00_e10_r127,,0.2875,0.14426,0.39669,0.16896,1.9259,0.255,0.94079,0.91908
task_obj_swap_rand_mask_417469,y_e10_b,,0.57781,0.35847,0.68205,0.36758,3.3113,0.0443,0.82265,0.79366
task_obj_swap_rand_mask_417469,y_e20_b,,0.77186,0.51885,0.84676,0.51729,4.111,0.0539,0.41189,0.49433
task_obj_swap_rand_mask_417469,y_e30_b,,0.77878,0.53115,0.85682,0.536,4.1599,0.0547,0.39402,0.50656
