image,seed,field,scale,target_rms,energy_survival,direction_survival,dists,lpips,psnr,rms,linf
task_env_weather_112463,2,log_periodic,1.25,0.056,0.94741,0.98572,0.185848,0.296159,25.2071,0.054909,0.253991
task_env_weather_112463,2,white_noise,1.25,0.01,0.66248,-0.0018,0.016596,0.153743,40.0038,0.009995,0.048928
task_env_weather_112463,2,white_noise,1.25,0.056,0.64423,-0.00186,0.151253,0.511433,25.1495,0.055275,0.273998
task_env_weather_246440,0,log_periodic,1.25,0.01,0.94215,0.98033,0.008118,0.006296,40.148,0.009831,0.047667
task_env_weather_246440,0,log_periodic,1.25,0.056,0.86628,0.95906,0.065876,0.081537,25.4955,0.053116,0.266935
task_env_weather_246440,0,white_noise,1.25,0.01,0.63028,0.00085,0.003123,0.028172,40.1709,0.009805,0.047423
task_env_weather_246440,0,white_noise,1.25,0.056,0.58462,0.00076,0.065747,0.212261,25.5233,0.052946,0.247175
task_env_weather_246440,1,log_periodic,1.25,0.01,0.92059,0.9732,0.009508,0.006021,40.2151,0.009755,0.049089
task_env_weather_246440,1,log_periodic,1.25,0.056,0.83224,0.94557,0.077175,0.086994,25.627,0.052318,0.272473
task_env_weather_246440,1,white_noise,1.25,0.01,0.63172,-0.00069,0.002514,0.028569,40.1732,0.009802,0.044308
task_env_weather_246440,1,white_noise,1.25,0.056,0.58544,-0.0006,0.064971,0.211762,25.5287,0.052913,0.248126
task_env_weather_246440,2,log_periodic,1.25,0.01,0.93777,0.9785,0.007882,0.007244,40.1395,0.00984,0.045356
task_env_weather_246440,2,log_periodic,1.25,0.056,0.86487,0.95761,0.074366,0.091505,25.4556,0.05336,0.253991
task_env_weather_246440,2,white_noise,1.25,0.01,0.62919,-0.00203,0.00239,0.028431,40.1759,0.009799,0.048928
task_env_weather_246440,2,white_noise,1.25,0.056,0.58305,-0.00178,0.067177,0.212864,25.5288,0.052912,0.273998
task_env_weather_63722,0,log_periodic,1.25,0.01,0.99011,0.99436,0.099103,0.078003,40.0034,0.009996,0.047667
task_env_weather_63722,0,log_periodic,1.25,0.056,0.98404,0.99373,0.261875,0.26367,25.0696,0.055785,0.266935
task_env_weather_63722,0,white_noise,1.25,0.01,0.66322,0.00099,0.025508,0.124157,40.0002,0.009999,0.047423
task_env_weather_63722,0,white_noise,1.25,0.056,0.65695,0.00096,0.141066,0.438653,25.0804,0.055716,0.247175
task_env_weather_63722,1,log_periodic,1.25,0.01,0.98913,0.99363,0.109101,0.083101,40.0039,0.009995,0.049089
task_env_weather_63722,1,log_periodic,1.25,0.056,0.97004,0.991,0.25818,0.280284,25.0974,0.055607,0.274901
task_env_weather_63722,1,white_noise,1.25,0.01,0.66481,-0.00082,0.026794,0.123533,40.0,0.01,0.044308
task_env_weather_63722,1,white_noise,1.25,0.056,0.65852,-0.0009,0.137304,0.437479,25.0808,0.055713,0.248126
task_env_weather_63722,2,log_periodic,1.25,0.01,0.98745,0.99309,0.101542,0.086181,40.0035,0.009995,0.045356
task_env_weather_63722,2,log_periodic,1.25,0.056,0.9786,0.99211,0.258251,0.27999,25.0697,0.055785,0.253991
task_env_weather_63722,2,white_noise,1.25,0.01,0.66321,-0.00179,0.027268,0.126605,40.0,0.01,0.048928
task_env_weather_63722,2,white_noise,1.25,0.056,0.65684,-0.00162,0.138068,0.438598,25.0816,0.055708,0.25098
task_obj_add_40931,0,log_periodic,1.25,0.01,0.94627,0.98546,0.021527,0.023827,40.1295,0.009851,0.047667
task_obj_add_40931,0,log_periodic,1.25,0.056,0.83153,0.9469,0.137063,0.192315,25.6853,0.051968,0.266935
task_obj_add_40931,0,white_noise,1.25,0.01,0.64327,0.00084,0.011267,0.065452,40.1049,0.009879,0.047423
task_obj_add_40931,0,white_noise,1.25,0.056,0.57536,0.00045,0.148648,0.320422,25.6145,0.052393,0.26557
task_obj_add_40931,1,log_periodic,1.25,0.01,0.954,0.98706,0.022788,0.030098,40.1145,0.009869,0.049089
task_obj_add_40931,1,log_periodic,1.25,0.056,0.83996,0.94914,0.13821,0.197935,25.6889,0.051946,0.270072
task_obj_add_40931,1,white_noise,1.25,0.01,0.64524,-0.00017,0.011877,0.065209,40.1042,0.00988,0.044308
task_obj_add_40931,1,white_noise,1.25,0.056,0.57651,-0.00022,0.146483,0.316777,25.618,0.052372,0.248126
task_obj_add_40931,2,log_periodic,1.25,0.01,0.95698,0.98675,0.022692,0.028677,40.0878,0.009899,0.045356
task_obj_add_40931,2,log_periodic,1.25,0.056,0.86972,0.95836,0.144452,0.203202,25.4668,0.053292,0.253991
task_obj_add_40931,2,white_noise,1.25,0.01,0.64347,-0.00149,0.011463,0.064634,40.1049,0.009879,0.048928
task_obj_add_40931,2,white_noise,1.25,0.056,0.5752,-0.00091,0.140777,0.320485,25.6186,0.052368,0.273998
task_obj_remove_380621,0,log_periodic,1.25,0.01,0.98421,0.99276,0.059792,0.05029,40.022,0.009974,0.047667
task_obj_remove_380621,0,log_periodic,1.25,0.056,0.96443,0.98897,0.268026,0.298419,25.128,0.055412,0.266935
task_obj_remove_380621,0,white_noise,1.25,0.01,0.65941,0.0009,0.020441,0.130604,40.0176,0.009979,0.047423
task_obj_remove_380621,0,white_noise,1.25,0.056,0.64408,0.00077,0.187606,0.481649,25.1368,0.055355,0.26557
task_obj_remove_380621,1,log_periodic,1.25,0.01,0.97905,0.99089,0.070426,0.06343,40.0271,0.009968,0.049089
task_obj_remove_380621,1,log_periodic,1.25,0.056,0.94434,0.98342,0.278075,0.314914,25.1681,0.055156,0.274901
task_obj_remove_380621,1,white_noise,1.25,0.01,0.66083,-0.00095,0.022382,0.129074,40.0188,0.009978,0.044308
task_obj_remove_380621,1,white_noise,1.25,0.056,0.64556,-0.00095,0.176108,0.471531,25.1388,0.055343,0.248126
task_obj_remove_380621,2,log_periodic,1.25,0.01,0.98067,0.99112,0.062045,0.06452,40.0211,0.009975,0.045356
task_obj_remove_380621,2,log_periodic,1.25,0.056,0.96459,0.98811,0.274774,0.323963,25.1143,0.055499,0.253991
task_obj_remove_380621,2,white_noise,1.25,0.01,0.65897,-0.00173,0.024222,0.130271,40.0192,0.009977,0.048928
task_obj_remove_380621,2,white_noise,1.25,0.056,0.64373,-0.00171,0.172602,0.475934,25.138,0.055348,0.273998
task_obj_swap_joint_mask_276754,0,log_periodic,1.25,0.01,0.947,0.98015,0.116104,0.059709,40.2891,0.009672,0.047667
task_obj_swap_joint_mask_276754,0,log_periodic,1.25,0.056,0.87364,0.96193,0.278016,0.268872,25.6978,0.051893,0.266935
task_obj_swap_joint_mask_276754,0,white_noise,1.25,0.01,0.63013,0.00071,0.018861,0.072224,40.416,0.009532,0.047423
task_obj_swap_joint_mask_276754,0,white_noise,1.25,0.056,0.59132,0.00038,0.119421,0.262449,25.7843,0.051379,0.26557
task_obj_swap_joint_mask_276754,1,log_periodic,1.25,0.01,0.88682,0.95316,0.100671,0.056869,40.8103,0.009109,0.046968
task_obj_swap_joint_mask_276754,1,log_periodic,1.25,0.056,0.83013,0.93139,0.2762,0.265766,26.1193,0.049435,0.255762
task_obj_swap_joint_mask_276754,1,white_noise,1.25,0.01,0.63096,-0.0013,0.019951,0.07236,40.4162,0.009532,0.044308
task_obj_swap_joint_mask_276754,1,white_noise,1.25,0.056,0.5922,-0.00116,0.122473,0.265297,25.7887,0.051353,0.248126
task_obj_swap_joint_mask_276754,2,log_periodic,1.25,0.01,0.92776,0.97106,0.098214,0.060785,40.4458,0.009499,0.045356
task_obj_swap_joint_mask_276754,2,log_periodic,1.25,0.056,0.87349,0.95445,0.282287,0.274194,25.7752,0.051433,0.253991
task_obj_swap_joint_mask_276754,2,white_noise,1.25,0.01,0.62961,-0.00182,0.019251,0.07236,40.4144,0.009534,0.048928
task_obj_swap_joint_mask_276754,2,white_noise,1.25,0.056,0.59095,-0.00122,0.116791,0.26524,25.7841,0.05138,0.273998
task_obj_swap_joint_mask_533428,0,log_periodic,1.25,0.01,0.98207,0.99231,0.020141,0.01659,40.0216,0.009975,0.047667
task_obj_swap_joint_mask_533428,0,log_periodic,1.25,0.056,0.95105,0.98578,0.1253,0.14955,25.185,0.055049,0.266935
task_obj_swap_joint_mask_533428,0,white_noise,1.25,0.01,0.65678,0.00098,0.007056,0.053014,40.0262,0.009969,0.047423
task_obj_swap_joint_mask_533428,0,white_noise,1.25,0.056,0.62634,0.00106,0.131536,0.317158,25.2474,0.054655,0.246692
task_obj_swap_joint_mask_533428,1,log_periodic,1.25,0.01,0.97819,0.99083,0.015601,0.013877,40.0293,0.009966,0.049089
task_obj_swap_joint_mask_533428,1,log_periodic,1.25,0.056,0.92121,0.97893,0.123592,0.16536,25.3013,0.054317,0.274901
task_obj_swap_joint_mask_533428,1,white_noise,1.25,0.01,0.65857,-0.0008,0.007894,0.051674,40.0253,0.00997,0.044308
task_obj_swap_joint_mask_533428,1,white_noise,1.25,0.056,0.62844,-0.00127,0.129632,0.316328,25.2427,0.054685,0.248126
task_obj_swap_joint_mask_533428,2,log_periodic,1.25,0.01,0.98067,0.99128,0.017134,0.016027,40.0189,0.009978,0.045356
task_obj_swap_joint_mask_533428,2,log_periodic,1.25,0.056,0.94846,0.98489,0.12554,0.173806,25.1817,0.05507,0.253991
task_obj_swap_joint_mask_533428,2,white_noise,1.25,0.01,0.6568,-0.00182,0.009919,0.053004,40.026,0.00997,0.048928
task_obj_swap_joint_mask_533428,2,white_noise,1.25,0.056,0.6269,-0.00202,0.128748,0.316089,25.2437,0.054678,0.273998
task_obj_swap_rand_mask_417469,0,log_periodic,1.25,0.01,0.95066,0.98488,0.036931,0.04766,40.1933,0.009779,0.047667
task_obj_swap_rand_mask_417469,0,log_periodic,1.25,0.056,0.85934,0.95475,0.163444,0.249935,25.7395,0.051644,0.266935
task_obj_swap_rand_mask_417469,0,white_noise,1.25,0.01,0.65102,0.00135,0.017499,0.115235,40.0901,0.009896,0.047423
task_obj_swap_rand_mask_417469,0,white_noise,1.25,0.056,0.60976,0.0009,0.141137,0.397957,25.4662,0.053296,0.26557
task_obj_swap_rand_mask_417469,1,log_periodic,1.25,0.01,0.97362,0.98964,0.039671,0.05389,40.0881,0.009899,0.049089
task_obj_swap_rand_mask_417469,1,log_periodic,1.25,0.056,0.89242,0.97206,0.182578,0.264179,25.5646,0.052695,0.255762
task_obj_swap_rand_mask_417469,1,white_noise,1.25,0.01,0.65197,-0.00079,0.017166,0.113881,40.0916,0.009895,0.044308
task_obj_swap_rand_mask_417469,1,white_noise,1.25,0.056,0.61172,-0.00065,0.135676,0.397182,25.4632,0.053314,0.248126
task_obj_swap_rand_mask_417469,2,log_periodic,1.25,0.01,0.9691,0.98788,0.041343,0.057458,40.0854,0.009902,0.045356
task_obj_swap_rand_mask_417469,2,log_periodic,1.25,0.056,0.90976,0.97352,0.177772,0.262952,25.4553,0.053363,0.253991
task_obj_swap_rand_mask_417469,2,white_noise,1.25,0.01,0.65015,-0.00163,0.016135,0.113767,40.093,0.009893,0.048928
task_obj_swap_rand_mask_417469,2,white_noise,1.25,0.056,0.60967,-0.00169,0.138932,0.398396,25.4679,0.053285,0.249395
