image,condition,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
cat_03,phase_rand,human,human,0.07045,False,1.3,11.1,0.1273,0.9232,0.0704,24.918,0.9927,5.12,0.6893,0.2586,0.2622,0.2693,-0.007,0.0853,0.094,-0.0087,0.0631,0.6238
dog_00,add,human,human,0.00376,False,0.00471,26.3,0.1821,0.9979,0.0038,47.6048,0.9993,4.7331,0.6878,0.4721,0.2675,0.2709,-0.0034,0.0695,0.0846,-0.0151,,
dog_00,phase,human,human,0.03644,False,1.3,26.4,0.2897,0.954,0.0364,32.8086,0.9972,4.6685,0.6934,0.5367,0.2675,0.2986,-0.0311,0.0695,0.0963,-0.0268,0.02034,0.5002
dog_00,phase_rand,human,human,0.02595,False,1.3,11.2,0.0628,0.9632,0.0259,33.7548,0.9973,4.5761,0.6876,0.3461,0.2675,0.2603,0.0072,0.0695,0.0825,-0.0129,0.01985,0.5002
dog_01,add,human,human,0.0047,False,0.00471,26.3,0.2121,0.9975,0.0047,47.5784,0.9908,5.6976,0.6335,0.2091,0.2742,0.2767,-0.0025,0.0908,0.0934,-0.0026,,
dog_01,phase,human,human,0.0288,False,1.3,26.5,0.2047,0.9686,0.0288,34.8035,0.9975,5.3964,0.6362,0.439,0.2742,0.2846,-0.0104,0.0908,0.0996,-0.0088,0.01828,0.4066
dog_01,phase_rand,human,human,0.02435,False,1.3,11.3,0.0471,0.9769,0.0243,35.9586,0.9973,5.5986,0.5932,0.0583,0.2742,0.2744,-0.0001,0.0908,0.0908,-0.0,0.01696,0.4066
dog_02,add,human,human,0.00299,False,0.00471,26.2,0.0284,0.9994,0.003,47.3366,0.9996,5.1666,0.6753,0.1608,0.2628,0.2645,-0.0017,0.0796,0.0766,0.003,,
dog_02,phase,human,human,0.03442,False,1.3,26.5,0.2239,0.9145,0.0344,24.7293,0.9944,5.1096,0.7106,0.4313,0.2628,0.2615,0.0013,0.0796,0.0935,-0.0139,0.05232,0.6177
dog_02,phase_rand,human,human,0.05919,False,1.3,11.2,0.109,0.9328,0.0592,25.9152,0.9955,5.0666,0.6796,0.2806,0.2628,0.2553,0.0075,0.0796,0.0767,0.0029,0.04605,0.6177
dog_03,add,human,human,0.00194,False,0.00471,26.2,0.1388,0.9985,0.0019,47.6202,0.9988,5.346,0.6745,0.4285,0.2573,0.2485,0.0089,0.0807,0.0784,0.0023,,
dog_03,phase,human,human,0.03356,False,1.3,26.4,0.2381,0.9479,0.0336,30.053,0.9932,5.07,0.6739,0.5378,0.2573,0.2864,-0.0291,0.0807,0.0961,-0.0153,0.02364,0.4764
dog_03,phase_rand,human,human,0.0344,False,1.3,11.2,0.0805,0.9539,0.0344,30.6334,0.9907,4.9242,0.6268,0.3632,0.2573,0.2612,-0.0039,0.0807,0.0816,-0.0008,0.02357,0.4764
horse_00,add,human,human,0.01084,False,0.00471,26.2,0.1875,0.997,0.0108,48.1404,0.9933,5.9472,0.6884,0.2091,0.306,0.3265,-0.0205,0.119,0.1162,0.0028,,
horse_00,phase,human,human,0.05113,False,1.3,26.4,0.2397,0.9532,0.0511,33.7695,0.9903,5.8846,0.6792,0.4601,0.306,0.3214,-0.0154,0.119,0.1184,0.0006,0.01723,0.4655
horse_00,phase_rand,human,human,0.06196,False,1.3,11.1,0.0555,0.9592,0.062,34.7192,0.9926,5.8072,0.6613,0.0742,0.306,0.2945,0.0115,0.119,0.1151,0.0039,0.01742,0.4655
horse_01,add,human,human,0.00722,False,0.00471,26.2,0.036,0.9987,0.0072,47.7059,0.992,4.9203,0.689,0.1672,0.323,0.3277,-0.0047,0.1175,0.1208,-0.0033,,
horse_01,phase,human,human,0.07897,False,1.3,26.4,0.3568,0.9116,0.079,24.84,0.9868,4.907,0.6987,0.608,0.323,0.3202,0.0028,0.1175,0.1061,0.0114,0.04921,0.6331
horse_01,phase_rand,human,human,0.08897,False,1.3,11.2,0.1244,0.9293,0.089,25.7501,0.983,5.0141,0.704,0.2771,0.323,0.3213,0.0017,0.1175,0.1176,-0.0001,0.04767,0.6331
horse_02,add,human,human,0.00257,False,0.00471,26.2,0.0483,0.999,0.0026,47.6921,0.9987,6.075,0.6955,0.2592,0.3079,0.2997,0.0082,0.1074,0.0977,0.0097,,
horse_02,phase,human,human,0.05635,False,1.3,26.4,0.3526,0.9126,0.0563,27.0238,0.9906,6.1694,0.7172,0.5278,0.3079,0.3133,-0.0054,0.1074,0.1135,-0.0062,0.05176,0.5906
horse_02,phase_rand,human,human,0.06853,False,1.3,11.2,0.0943,0.9301,0.0685,28.22,0.9922,6.1033,0.7196,0.2094,0.3079,0.3123,-0.0045,0.1074,0.1071,0.0003,0.05019,0.5906
horse_03,add,human,human,0.00406,False,0.00471,26.3,0.1219,0.9978,0.0041,47.8919,0.9985,5.0747,0.7045,0.2729,0.3151,0.3283,-0.0132,0.1182,0.1194,-0.0012,,
horse_03,phase,human,human,0.04359,False,1.3,26.5,0.2599,0.9474,0.0436,30.8138,0.998,5.017,0.7232,0.4993,0.3151,0.3198,-0.0048,0.1182,0.1184,-0.0002,0.02399,0.4573
horse_03,phase_rand,human,human,0.0489,False,1.3,11.2,0.0877,0.9521,0.0489,31.2333,0.9979,4.9173,0.7215,0.1433,0.3151,0.3143,0.0007,0.1182,0.1249,-0.0067,0.02476,0.4573
man_00,add,human,human,0.01169,False,0.00471,26.3,0.2142,0.9966,0.0117,48.5185,0.9969,4.6505,0.6722,0.4641,0.2819,0.2932,-0.0113,0.1079,0.1181,-0.0102,,
man_00,phase,human,human,0.03022,False,1.3,26.4,0.1084,0.9886,0.0302,39.5383,0.9988,4.4901,0.6675,0.3352,0.2819,0.2996,-0.0177,0.1079,0.1267,-0.0188,0.00729,0.279
man_00,phase_rand,human,human,0.03708,False,1.3,11.2,0.0486,0.9872,0.0371,39.5862,0.9985,4.3788,0.6303,0.1844,0.2819,0.2803,0.0016,0.1079,0.1154,-0.0075,0.00718,0.279
man_01,add,human,human,0.00351,False,0.00471,26.2,0.0459,0.999,0.0035,47.7331,0.9977,5.039,0.6497,0.1603,0.2814,0.2684,0.013,0.1091,0.0986,0.0105,,
man_01,phase,human,human,0.06415,False,1.3,26.4,0.2774,0.9265,0.0641,25.7531,0.9889,5.0529,0.668,0.509,0.2814,0.2761,0.0053,0.1091,0.1106,-0.0015,0.05938,0.5691
man_01,phase_rand,human,human,0.06958,False,1.3,11.2,0.1235,0.9349,0.0696,26.476,0.9916,4.8015,0.6341,0.1466,0.2814,0.2678,0.0136,0.1091,0.1006,0.0086,0.05879,0.5691
man_02,add,human,human,0.00441,False,0.00471,26.2,0.0811,0.9981,0.0044,48.1361,0.9981,5.0816,0.6678,0.2206,0.2748,0.2799,-0.0051,0.1256,0.1239,0.0017,,
man_02,phase,human,human,0.04476,False,1.3,26.5,0.2071,0.929,0.0448,23.1539,0.9935,5.2142,0.678,0.4675,0.2748,0.2867,-0.0119,0.1256,0.1125,0.0131,0.05209,0.468
man_02,phase_rand,human,human,0.06586,False,1.3,11.2,0.0988,0.9346,0.0659,24.0211,0.9941,5.0713,0.6885,0.1762,0.2748,0.2876,-0.0127,0.1256,0.1272,-0.0016,0.05336,0.468
man_03,add,human,human,0.00334,False,0.00471,26.2,0.0475,0.9991,0.0033,47.1768,0.9998,5.6881,0.6934,0.2213,0.2729,0.2716,0.0013,0.101,0.1064,-0.0054,,
man_03,phase,human,human,0.04379,False,1.3,26.4,0.3769,0.9067,0.0438,26.6569,0.9957,5.5188,0.704,0.567,0.2729,0.2937,-0.0208,0.101,0.1017,-0.0007,0.04126,0.6829
man_03,phase_rand,human,human,0.04043,False,1.3,11.1,0.103,0.9292,0.0404,28.2519,0.9956,5.5839,0.6724,0.2446,0.2729,0.2628,0.0101,0.101,0.0981,0.0029,0.0376,0.6829
woman_00,add,human,human,0.00883,False,0.00471,26.3,0.2053,0.9969,0.0088,47.5359,0.9982,4.8288,0.4969,0.4872,0.237,0.225,0.0119,0.0488,0.062,-0.0132,,
woman_00,phase,human,human,0.06416,False,1.3,26.5,0.21,0.9496,0.0642,29.3103,0.9915,4.6382,0.5497,0.5386,0.237,0.2306,0.0064,0.0488,0.0527,-0.0038,0.03507,0.4544
woman_00,phase_rand,human,human,0.07536,False,1.3,11.2,0.0996,0.9528,0.0754,29.7389,0.9929,4.4378,0.5065,0.1045,0.237,0.2454,-0.0084,0.0488,0.0495,-0.0006,0.03511,0.4544
woman_01,add,human,human,0.01035,False,0.00471,26.3,0.3019,0.9968,0.0103,47.902,0.9988,3.5808,0.3247,0.4444,0.208,0.2084,-0.0004,0.0388,0.0308,0.008,,
woman_01,phase,human,human,0.03952,False,1.3,26.5,0.127,0.9843,0.0395,39.5158,0.9975,3.5335,0.3342,0.3378,0.208,0.2195,-0.0115,0.0388,0.031,0.0078,0.00653,0.3817
woman_01,phase_rand,human,human,0.02793,False,1.3,11.2,0.0552,0.9845,0.0279,39.5172,0.9985,3.5182,0.3506,0.0463,0.208,0.2066,0.0014,0.0388,0.0335,0.0053,0.00657,0.3817
woman_02,add,human,human,0.00357,False,0.00471,26.3,0.228,0.9971,0.0036,47.8955,0.9993,4.2114,0.6773,0.335,0.2026,0.2221,-0.0195,0.0577,0.0673,-0.0096,,
woman_02,phase,human,human,0.03974,False,1.3,26.5,0.2079,0.969,0.0397,33.5105,0.9969,4.105,0.6697,0.4148,0.2026,0.2467,-0.0441,0.0577,0.0703,-0.0126,0.01632,0.4311
woman_02,phase_rand,human,human,0.04061,False,1.3,11.3,0.0597,0.9708,0.0406,33.5188,0.9956,4.0943,0.6575,0.0779,0.2026,0.203,-0.0003,0.0577,0.0532,0.0045,0.01529,0.4311
woman_03,add,human,human,0.00518,False,0.00471,26.3,0.1704,0.9965,0.0052,48.7742,0.9988,5.0735,0.695,0.3444,0.2464,0.2282,0.0182,0.0748,0.0786,-0.0038,,
woman_03,phase,human,human,0.04242,False,1.3,26.5,0.1258,0.9738,0.0424,35.8917,0.9888,4.7711,0.6784,0.4149,0.2464,0.2456,0.0008,0.0748,0.0789,-0.0041,0.01165,0.5233
woman_03,phase_rand,human,human,0.06491,False,1.3,11.2,0.065,0.9748,0.0649,35.8861,0.991,4.4636,0.6774,0.0742,0.2464,0.2317,0.0147,0.0748,0.0828,-0.008,0.01272,0.5233
