image,condition,purifier,band_lo,band_hi,rho,systematic_bias,inst_mag,surv_mag
task_attr_mod_color_11699,ig_d21,blur2,0.7,0.85,0.55003,-0.00033,0.69614,0.62763
task_attr_mod_color_11699,ig_d21,blur2,0.85,1.05,0.48291,-0.01464,0.76903,0.72087
task_attr_mod_color_11699,ig_d21,crop_resize0.1,0.0,0.12,0.9984,-0.00018,0.00597,0.01302
task_attr_mod_color_11699,ig_d21,crop_resize0.1,0.12,0.25,0.71328,-0.01579,0.29582,0.50671
task_attr_mod_color_11699,ig_d21,crop_resize0.1,0.25,0.4,0.6139,0.00148,0.40973,0.61051
task_attr_mod_color_11699,ig_d21,crop_resize0.1,0.4,0.55,0.51609,-0.0035,0.50142,0.72669
task_attr_mod_color_11699,ig_d21,crop_resize0.1,0.55,0.7,0.43368,-0.02519,0.59975,0.80678
task_attr_mod_color_11699,ig_d21,crop_resize0.1,0.7,0.85,0.3651,-0.00169,0.69614,0.88104
task_attr_mod_color_11699,ig_d21,crop_resize0.1,0.85,1.05,0.33318,-0.02693,0.76903,0.8965
task_attr_mod_color_11699,ig_d21,crop_resize0.15,0.0,0.12,0.9969,-7e-05,0.00597,0.02105
task_attr_mod_color_11699,ig_d21,crop_resize0.15,0.12,0.25,0.66536,-0.0191,0.29582,0.5802
task_attr_mod_color_11699,ig_d21,crop_resize0.15,0.25,0.4,0.56833,0.00361,0.40973,0.67899
task_attr_mod_color_11699,ig_d21,crop_resize0.15,0.4,0.55,0.47037,-0.00731,0.50142,0.79486
task_attr_mod_color_11699,ig_d21,crop_resize0.15,0.55,0.7,0.39901,-0.0011,0.59975,0.87184
task_attr_mod_color_11699,ig_d21,crop_resize0.15,0.7,0.85,0.34583,-0.02173,0.69614,0.91477
task_attr_mod_color_11699,ig_d21,crop_resize0.15,0.85,1.05,0.31753,-0.03612,0.76903,0.91457
task_attr_mod_color_136767,ig_d21,identity,0.0,0.12,1.0,0.0,0.01272,0.01272
task_attr_mod_color_136767,ig_d21,identity,0.12,0.25,1.0,0.0,0.32625,0.32625
task_attr_mod_color_136767,ig_d21,identity,0.25,0.4,1.0,0.0,0.52287,0.52287
task_attr_mod_color_136767,ig_d21,identity,0.4,0.55,1.0,0.0,0.62056,0.62056
task_attr_mod_color_136767,ig_d21,identity,0.55,0.7,1.0,0.0,0.7096,0.7096
task_attr_mod_color_136767,ig_d21,identity,0.7,0.85,1.0,0.0,0.8174,0.8174
task_attr_mod_color_136767,ig_d21,identity,0.85,1.05,1.0,0.0,0.88748,0.88748
task_attr_mod_color_136767,ig_d21,jpeg75,0.0,0.12,0.99996,2e-05,0.01272,0.01359
task_attr_mod_color_136767,ig_d21,jpeg75,0.12,0.25,0.98329,-0.00025,0.32625,0.33761
task_attr_mod_color_136767,ig_d21,jpeg75,0.25,0.4,0.96563,6e-05,0.52287,0.54333
task_attr_mod_color_136767,ig_d21,jpeg75,0.4,0.55,0.93176,0.00092,0.62056,0.66122
task_attr_mod_color_136767,ig_d21,jpeg75,0.55,0.7,0.8337,0.00195,0.7096,0.80869
task_attr_mod_color_136767,ig_d21,jpeg75,0.7,0.85,0.65731,-0.0014,0.8174,1.00321
task_attr_mod_color_136767,ig_d21,jpeg75,0.85,1.05,0.43406,0.0072,0.88748,1.16155
task_attr_mod_color_136767,ig_d21,jpeg50,0.0,0.12,0.9999,-1e-05,0.01272,0.01426
task_attr_mod_color_136767,ig_d21,jpeg50,0.12,0.25,0.97582,-0.00072,0.32625,0.34119
task_attr_mod_color_136767,ig_d21,jpeg50,0.25,0.4,0.94563,-8e-05,0.52287,0.55323
task_attr_mod_color_136767,ig_d21,jpeg50,0.4,0.55,0.8739,0.00569,0.62056,0.7007
task_attr_mod_color_136767,ig_d21,jpeg50,0.55,0.7,0.70944,0.00344,0.7096,0.8854
task_attr_mod_color_136767,ig_d21,jpeg50,0.7,0.85,0.47263,-0.00214,0.8174,1.09423
task_attr_mod_color_136767,ig_d21,jpeg50,0.85,1.05,0.26038,0.02336,0.88748,1.24129
task_attr_mod_color_136767,ig_d21,jpeg30,0.0,0.12,0.99989,-2e-05,0.01272,0.01456
task_attr_mod_color_136767,ig_d21,jpeg30,0.12,0.25,0.96801,0.00128,0.32625,0.34635
task_attr_mod_color_136767,ig_d21,jpeg30,0.25,0.4,0.91928,-8e-05,0.52287,0.57338
task_attr_mod_color_136767,ig_d21,jpeg30,0.4,0.55,0.80788,0.00268,0.62056,0.74367
task_attr_mod_color_136767,ig_d21,jpeg30,0.55,0.7,0.59885,-0.00439,0.7096,0.95083
task_attr_mod_color_136767,ig_d21,jpeg30,0.7,0.85,0.34996,0.00664,0.8174,1.14924
task_attr_mod_color_136767,ig_d21,jpeg30,0.85,1.05,0.19488,0.00429,0.88748,1.24782
task_attr_mod_color_136767,ig_d21,blur1,0.0,0.12,1.0,2e-05,0.01272,0.01212
task_attr_mod_color_136767,ig_d21,blur1,0.12,0.25,0.99662,-0.00025,0.32625,0.31547
task_attr_mod_color_136767,ig_d21,blur1,0.25,0.4,0.98717,0.00015,0.52287,0.51696
task_attr_mod_color_136767,ig_d21,blur1,0.4,0.55,0.96976,0.0003,0.62056,0.61414
task_attr_mod_color_136767,ig_d21,blur1,0.55,0.7,0.94606,-0.00045,0.7096,0.70304
task_attr_mod_color_136767,ig_d21,blur1,0.7,0.85,0.9187,0.00013,0.8174,0.80997
task_attr_mod_color_136767,ig_d21,blur1,0.85,1.05,0.89896,-0.00068,0.88748,0.88697
task_attr_mod_color_136767,ig_d21,blur2,0.0,0.12,0.99995,5e-05,0.01272,0.01057
task_attr_mod_color_136767,ig_d21,blur2,0.12,0.25,0.97054,-0.00017,0.32625,0.28797
task_attr_mod_color_136767,ig_d21,blur2,0.25,0.4,0.89092,0.00056,0.52287,0.51215
task_attr_mod_color_136767,ig_d21,blur2,0.4,0.55,0.7699,0.00132,0.62056,0.60534
task_attr_mod_color_136767,ig_d21,blur2,0.55,0.7,0.59734,0.00623,0.7096,0.61236
task_attr_mod_color_136767,ig_d21,blur2,0.7,0.85,0.48352,0.00198,0.8174,0.70196
task_attr_mod_color_136767,ig_d21,blur2,0.85,1.05,0.41542,-0.00768,0.88748,0.78061
task_attr_mod_color_136767,ig_d21,crop_resize0.1,0.0,0.12,0.99576,-0.0002,0.01272,0.02597
task_attr_mod_color_136767,ig_d21,crop_resize0.1,0.12,0.25,0.6126,0.01672,0.32625,0.64942
task_attr_mod_color_136767,ig_d21,crop_resize0.1,0.25,0.4,0.45383,0.00157,0.52287,0.81577
task_attr_mod_color_136767,ig_d21,crop_resize0.1,0.4,0.55,0.36659,0.01992,0.62056,0.91788
task_attr_mod_color_136767,ig_d21,crop_resize0.1,0.55,0.7,0.30271,0.00248,0.7096,0.98497
task_attr_mod_color_136767,ig_d21,crop_resize0.1,0.7,0.85,0.24086,-0.00473,0.8174,1.0555
task_attr_mod_color_136767,ig_d21,crop_resize0.1,0.85,1.05,0.21691,-0.00509,0.88748,1.05479
task_attr_mod_color_136767,ig_d21,crop_resize0.15,0.0,0.12,0.99273,0.00012,0.01272,0.03839
task_attr_mod_color_136767,ig_d21,crop_resize0.15,0.12,0.25,0.57311,0.01606,0.32625,0.70942
task_attr_mod_color_136767,ig_d21,crop_resize0.15,0.25,0.4,0.4272,0.00093,0.52287,0.85915
task_attr_mod_color_136767,ig_d21,crop_resize0.15,0.4,0.55,0.33845,0.0196,0.62056,0.96393
task_attr_mod_color_136767,ig_d21,crop_resize0.15,0.55,0.7,0.27799,-0.01066,0.7096,1.0301
task_attr_mod_color_136767,ig_d21,crop_resize0.15,0.7,0.85,0.22487,0.00467,0.8174,1.07519
task_attr_mod_color_136767,ig_d21,crop_resize0.15,0.85,1.05,0.21353,-0.01538,0.88748,1.05646
task_attr_mod_color_184837,ig_d21,identity,0.0,0.12,1.0,0.0,0.02269,0.02269
task_attr_mod_color_184837,ig_d21,identity,0.12,0.25,1.0,0.0,0.39632,0.39632
task_attr_mod_color_184837,ig_d21,identity,0.25,0.4,1.0,0.0,0.58496,0.58496
task_attr_mod_color_184837,ig_d21,identity,0.4,0.55,1.0,0.0,0.69826,0.69826
task_attr_mod_color_184837,ig_d21,identity,0.55,0.7,1.0,0.0,0.79648,0.79648
task_attr_mod_color_184837,ig_d21,identity,0.7,0.85,1.0,0.0,0.92494,0.92494
task_attr_mod_color_184837,ig_d21,identity,0.85,1.05,1.0,0.0,0.99847,0.99847
task_attr_mod_color_184837,ig_d21,jpeg75,0.0,0.12,0.99995,-2e-05,0.02269,0.02446
task_attr_mod_color_184837,ig_d21,jpeg75,0.12,0.25,0.98669,-0.00036,0.39632,0.40325
task_attr_mod_color_184837,ig_d21,jpeg75,0.25,0.4,0.97877,0.0006,0.58496,0.59367
task_attr_mod_color_184837,ig_d21,jpeg75,0.4,0.55,0.96345,0.0006,0.69826,0.71608
task_attr_mod_color_184837,ig_d21,jpeg75,0.55,0.7,0.90327,-0.00072,0.79648,0.84696
task_attr_mod_color_184837,ig_d21,jpeg75,0.7,0.85,0.75358,0.00136,0.92494,1.04003
task_attr_mod_color_184837,ig_d21,jpeg75,0.85,1.05,0.50102,-0.00199,0.99847,1.21393
task_attr_mod_color_184837,ig_d21,jpeg50,0.0,0.12,0.99989,-3e-05,0.02269,0.02526
task_attr_mod_color_184837,ig_d21,jpeg50,0.12,0.25,0.97975,-0.00018,0.39632,0.40928
task_attr_mod_color_184837,ig_d21,jpeg50,0.25,0.4,0.9677,0.00015,0.58496,0.6007
task_attr_mod_color_184837,ig_d21,jpeg50,0.4,0.55,0.9294,-0.00141,0.69826,0.73866
task_attr_mod_color_184837,ig_d21,jpeg50,0.55,0.7,0.80686,0.00217,0.79648,0.89353
task_attr_mod_color_184837,ig_d21,jpeg50,0.7,0.85,0.55218,-0.01145,0.92494,1.13404
task_attr_mod_color_184837,ig_d21,jpeg50,0.85,1.05,0.26964,0.02044,0.99847,1.30107
task_attr_mod_color_184837,ig_d21,jpeg30,0.0,0.12,0.9998,-4e-05,0.02269,0.02597
task_attr_mod_color_184837,ig_d21,jpeg30,0.12,0.25,0.97156,0.00016,0.39632,0.41439
task_attr_mod_color_184837,ig_d21,jpeg30,0.25,0.4,0.95018,-3e-05,0.58496,0.61573
task_attr_mod_color_184837,ig_d21,jpeg30,0.4,0.55,0.87692,0.00158,0.69826,0.77161
task_attr_mod_color_184837,ig_d21,jpeg30,0.55,0.7,0.69056,-0.00231,0.79648,0.96982
task_attr_mod_color_184837,ig_d21,jpeg30,0.7,0.85,0.37522,-0.01472,0.92494,1.2278
task_attr_mod_color_184837,ig_d21,jpeg30,0.85,1.05,0.16296,-0.00277,0.99847,1.33048
task_attr_mod_color_184837,ig_d21,blur1,0.0,0.12,0.99999,1e-05,0.02269,0.0216
task_attr_mod_color_184837,ig_d21,blur1,0.12,0.25,0.99549,0.00025,0.39632,0.38429
task_attr_mod_color_184837,ig_d21,blur1,0.25,0.4,0.98492,-0.00059,0.58496,0.58088
task_attr_mod_color_184837,ig_d21,blur1,0.4,0.55,0.9661,-0.00024,0.69826,0.69127
task_attr_mod_color_184837,ig_d21,blur1,0.55,0.7,0.94168,0.00072,0.79648,0.78907
task_attr_mod_color_184837,ig_d21,blur1,0.7,0.85,0.91164,0.0016,0.92494,0.91968
task_attr_mod_color_184837,ig_d21,blur1,0.85,1.05,0.89354,0.00203,0.99847,0.99867
task_attr_mod_color_184837,ig_d21,blur2,0.0,0.12,0.9999,3e-05,0.02269,0.0188
task_attr_mod_color_184837,ig_d21,blur2,0.12,0.25,0.96059,0.00081,0.39632,0.3557
task_attr_mod_color_184837,ig_d21,blur2,0.25,0.4,0.87612,-0.00243,0.58496,0.5881
task_attr_mod_color_184837,ig_d21,blur2,0.4,0.55,0.73945,-0.00247,0.69826,0.69811
task_attr_mod_color_184837,ig_d21,blur2,0.55,0.7,0.52313,-0.00877,0.79648,0.72746
task_attr_mod_color_184837,ig_d21,blur2,0.7,0.85,0.39046,-0.01213,0.92494,0.80703
task_attr_mod_color_184837,ig_d21,blur2,0.85,1.05,0.33331,0.00906,0.99847,0.88594
task_attr_mod_color_184837,ig_d21,crop_resize0.1,0.0,0.12,0.99675,9e-05,0.02269,0.02489
task_attr_mod_color_184837,ig_d21,crop_resize0.1,0.12,0.25,0.6354,0.00848,0.39632,0.56842
task_attr_mod_color_184837,ig_d21,crop_resize0.1,0.25,0.4,0.50176,0.00296,0.58496,0.68053
task_attr_mod_color_184837,ig_d21,crop_resize0.1,0.4,0.55,0.39481,-0.00314,0.69826,0.79357
task_attr_mod_color_184837,ig_d21,crop_resize0.1,0.55,0.7,0.31162,-0.02009,0.79648,0.89164
task_attr_mod_color_184837,ig_d21,crop_resize0.1,0.7,0.85,0.2408,-0.01607,0.92494,0.95988
task_attr_mod_color_184837,ig_d21,crop_resize0.1,0.85,1.05,0.21498,-0.01391,0.99847,0.96423
task_attr_mod_color_184837,ig_d21,crop_resize0.15,0.0,0.12,0.99721,0.0003,0.02269,0.02053
task_attr_mod_color_184837,ig_d21,crop_resize0.15,0.12,0.25,0.64835,0.01511,0.39632,0.52905
task_attr_mod_color_184837,ig_d21,crop_resize0.15,0.25,0.4,0.52187,0.00399,0.58496,0.61692
task_attr_mod_color_184837,ig_d21,crop_resize0.15,0.4,0.55,0.41749,-0.00947,0.69826,0.72957
task_attr_mod_color_184837,ig_d21,crop_resize0.15,0.55,0.7,0.33562,-0.0182,0.79648,0.81975
task_attr_mod_color_184837,ig_d21,crop_resize0.15,0.7,0.85,0.26214,-0.01262,0.92494,0.87223
task_attr_mod_color_184837,ig_d21,crop_resize0.15,0.85,1.05,0.2392,-0.01034,0.99847,0.86359
task_attr_mod_color_32648,ig_d21,identity,0.0,0.12,1.0,0.0,0.01001,0.01001
task_attr_mod_color_32648,ig_d21,identity,0.12,0.25,1.0,0.0,0.26528,0.26528
task_attr_mod_color_32648,ig_d21,identity,0.25,0.4,1.0,0.0,0.41845,0.41845
task_attr_mod_color_32648,ig_d21,identity,0.4,0.55,1.0,0.0,0.51257,0.51257
task_attr_mod_color_32648,ig_d21,identity,0.55,0.7,1.0,0.0,0.58022,0.58022
task_attr_mod_color_32648,ig_d21,identity,0.7,0.85,1.0,0.0,0.66736,0.66736
task_attr_mod_color_32648,ig_d21,identity,0.85,1.05,1.0,0.0,0.72279,0.72279
task_attr_mod_color_32648,ig_d21,jpeg75,0.0,0.12,0.99985,-2e-05,0.01001,0.0138
task_attr_mod_color_32648,ig_d21,jpeg75,0.12,0.25,0.93539,-0.00068,0.26528,0.31964
task_attr_mod_color_32648,ig_d21,jpeg75,0.25,0.4,0.8519,0.00044,0.41845,0.53324
task_attr_mod_color_32648,ig_d21,jpeg75,0.4,0.55,0.72701,0.00397,0.51257,0.71591
task_attr_mod_color_32648,ig_d21,jpeg75,0.55,0.7,0.61126,0.00626,0.58022,0.84956
task_attr_mod_color_32648,ig_d21,jpeg75,0.7,0.85,0.45859,-0.00271,0.66736,0.99487
task_attr_mod_color_32648,ig_d21,jpeg75,0.85,1.05,0.33534,-0.00998,0.72279,1.1223
task_attr_mod_color_32648,ig_d21,jpeg50,0.0,0.12,0.99959,3e-05,0.01001,0.01722
task_attr_mod_color_32648,ig_d21,jpeg50,0.12,0.25,0.9,0.00091,0.26528,0.3522
task_attr_mod_color_32648,ig_d21,jpeg50,0.25,0.4,0.77572,-0.00158,0.41845,0.60041
task_attr_mod_color_32648,ig_d21,jpeg50,0.4,0.55,0.62999,0.00458,0.51257,0.78816
task_attr_mod_color_32648,ig_d21,jpeg50,0.55,0.7,0.50813,-0.00737,0.58022,0.91289
task_attr_mod_color_32648,ig_d21,jpeg50,0.7,0.85,0.38221,0.00468,0.66736,1.00052
task_attr_mod_color_32648,ig_d21,jpeg50,0.85,1.05,0.29175,0.00084,0.72279,1.08296
task_attr_mod_color_32648,ig_d21,jpeg30,0.0,0.12,0.99959,4e-05,0.01001,0.01601
task_attr_mod_color_32648,ig_d21,jpeg30,0.12,0.25,0.89561,0.00156,0.26528,0.33301
task_attr_mod_color_32648,ig_d21,jpeg30,0.25,0.4,0.74931,-0.00133,0.41845,0.57608
task_attr_mod_color_32648,ig_d21,jpeg30,0.4,0.55,0.57916,0.00172,0.51257,0.77599
task_attr_mod_color_32648,ig_d21,jpeg30,0.55,0.7,0.46536,0.01582,0.58022,0.88907
task_attr_mod_color_32648,ig_d21,jpeg30,0.7,0.85,0.34668,0.03125,0.66736,0.97964
task_attr_mod_color_32648,ig_d21,jpeg30,0.85,1.05,0.29307,-0.00065,0.72279,1.00593
task_attr_mod_color_32648,ig_d21,blur1,0.0,0.12,1.0,-1e-05,0.01001,0.00948
task_attr_mod_color_32648,ig_d21,blur1,0.12,0.25,0.99749,0.00033,0.26528,0.25588
task_attr_mod_color_32648,ig_d21,blur1,0.25,0.4,0.98906,-0.00015,0.41845,0.41409
task_attr_mod_color_32648,ig_d21,blur1,0.4,0.55,0.97379,6e-05,0.51257,0.50706
task_attr_mod_color_32648,ig_d21,blur1,0.55,0.7,0.95469,-1e-05,0.58022,0.57955
task_attr_mod_color_32648,ig_d21,blur1,0.7,0.85,0.92973,-0.00167,0.66736,0.66303
task_attr_mod_color_32648,ig_d21,blur1,0.85,1.05,0.92126,-8e-05,0.72279,0.72756
task_attr_mod_color_32648,ig_d21,blur2,0.0,0.12,0.99995,-3e-05,0.01001,0.00813
task_attr_mod_color_32648,ig_d21,blur2,0.12,0.25,0.97779,0.0013,0.26528,0.23236
task_attr_mod_color_32648,ig_d21,blur2,0.25,0.4,0.91061,-0.00232,0.41845,0.41513
task_attr_mod_color_32648,ig_d21,blur2,0.4,0.55,0.80542,0.00324,0.51257,0.49885
task_attr_mod_color_32648,ig_d21,blur2,0.55,0.7,0.66764,0.00363,0.58022,0.51061
task_attr_mod_color_32648,ig_d21,blur2,0.7,0.85,0.58655,-0.00299,0.66736,0.57768
task_attr_mod_color_32648,ig_d21,blur2,0.85,1.05,0.53584,-0.00344,0.72279,0.67024
task_attr_mod_color_32648,ig_d21,crop_resize0.1,0.0,0.12,0.99678,0.00019,0.01001,0.02121
task_attr_mod_color_32648,ig_d21,crop_resize0.1,0.12,0.25,0.72323,-0.0002,0.26528,0.51129
task_attr_mod_color_32648,ig_d21,crop_resize0.1,0.25,0.4,0.59261,-0.00116,0.41845,0.64594
task_attr_mod_color_32648,ig_d21,crop_resize0.1,0.4,0.55,0.4913,-0.01835,0.51257,0.76665
task_attr_mod_color_32648,ig_d21,crop_resize0.1,0.55,0.7,0.42428,0.02653,0.58022,0.84522
task_attr_mod_color_32648,ig_d21,crop_resize0.1,0.7,0.85,0.36163,-0.00696,0.66736,0.91665
task_attr_mod_color_32648,ig_d21,crop_resize0.1,0.85,1.05,0.34145,-0.00584,0.72279,0.91756
task_attr_mod_color_32648,ig_d21,crop_resize0.15,0.0,0.12,0.99724,0.00016,0.01001,0.02396
task_attr_mod_color_32648,ig_d21,crop_resize0.15,0.12,0.25,0.6588,-0.01733,0.26528,0.60269
task_attr_mod_color_32648,ig_d21,crop_resize0.15,0.25,0.4,0.54654,-0.00893,0.41845,0.71038
task_attr_mod_color_32648,ig_d21,crop_resize0.15,0.4,0.55,0.44838,0.00565,0.51257,0.83287
task_attr_mod_color_32648,ig_d21,crop_resize0.15,0.55,0.7,0.38727,0.01637,0.58022,0.9068
task_attr_mod_color_32648,ig_d21,crop_resize0.15,0.7,0.85,0.34878,-0.01459,0.66736,0.94285
task_attr_mod_color_32648,ig_d21,crop_resize0.15,0.85,1.05,0.33169,0.0026,0.72279,0.94093
task_attr_mod_color_6205,ig_d21,identity,0.0,0.12,1.0,0.0,0.00673,0.00673
task_attr_mod_color_6205,ig_d21,identity,0.12,0.25,1.0,0.0,0.31876,0.31876
task_attr_mod_color_6205,ig_d21,identity,0.25,0.4,1.0,0.0,0.47484,0.47484
task_attr_mod_color_6205,ig_d21,identity,0.4,0.55,1.0,0.0,0.57146,0.57146
task_attr_mod_color_6205,ig_d21,identity,0.55,0.7,1.0,0.0,0.65544,0.65544
task_attr_mod_color_6205,ig_d21,identity,0.7,0.85,1.0,0.0,0.77164,0.77164
task_attr_mod_color_6205,ig_d21,identity,0.85,1.05,1.0,0.0,0.8318,0.8318
task_attr_mod_color_6205,ig_d21,jpeg75,0.0,0.12,0.99998,0.0,0.00673,0.0075
task_attr_mod_color_6205,ig_d21,jpeg75,0.12,0.25,0.96938,-0.00011,0.31876,0.33874
task_attr_mod_color_6205,ig_d21,jpeg75,0.25,0.4,0.91101,-0.00123,0.47484,0.53298
task_attr_mod_color_6205,ig_d21,jpeg75,0.4,0.55,0.83964,-0.00247,0.57146,0.68679
task_attr_mod_color_6205,ig_d21,jpeg75,0.55,0.7,0.73311,0.00092,0.65544,0.8349
task_attr_mod_color_6205,ig_d21,jpeg75,0.7,0.85,0.53269,1e-05,0.77164,1.0424
task_attr_mod_color_6205,ig_d21,jpeg75,0.85,1.05,0.33922,0.01416,0.8318,1.18019
task_attr_mod_color_6205,ig_d21,jpeg50,0.0,0.12,0.99994,-2e-05,0.00673,0.00825
task_attr_mod_color_6205,ig_d21,jpeg50,0.12,0.25,0.95219,-0.00067,0.31876,0.34935
task_attr_mod_color_6205,ig_d21,jpeg50,0.25,0.4,0.88212,-0.00167,0.47484,0.55221
task_attr_mod_color_6205,ig_d21,jpeg50,0.4,0.55,0.77039,-0.00161,0.57146,0.73209
task_attr_mod_color_6205,ig_d21,jpeg50,0.55,0.7,0.62275,-0.00833,0.65544,0.8956
task_attr_mod_color_6205,ig_d21,jpeg50,0.7,0.85,0.39142,-0.02725,0.77164,1.09709
task_attr_mod_color_6205,ig_d21,jpeg50,0.85,1.05,0.24068,0.02364,0.8318,1.18987
task_attr_mod_color_6205,ig_d21,jpeg30,0.0,0.12,0.99991,-2e-05,0.00673,0.00862
task_attr_mod_color_6205,ig_d21,jpeg30,0.12,0.25,0.93759,0.00096,0.31876,0.35566
task_attr_mod_color_6205,ig_d21,jpeg30,0.25,0.4,0.85442,0.00075,0.47484,0.57096
task_attr_mod_color_6205,ig_d21,jpeg30,0.4,0.55,0.70455,0.00041,0.57146,0.77935
task_attr_mod_color_6205,ig_d21,jpeg30,0.55,0.7,0.53147,-0.01164,0.65544,0.94574
task_attr_mod_color_6205,ig_d21,jpeg30,0.7,0.85,0.31231,-0.01904,0.77164,1.11315
task_attr_mod_color_6205,ig_d21,jpeg30,0.85,1.05,0.22847,0.00827,0.8318,1.15825
task_attr_mod_color_6205,ig_d21,blur1,0.0,0.12,1.0,1e-05,0.00673,0.00636
task_attr_mod_color_6205,ig_d21,blur1,0.12,0.25,0.99686,-0.0001,0.31876,0.3081
task_attr_mod_color_6205,ig_d21,blur1,0.25,0.4,0.98889,0.00035,0.47484,0.47136
task_attr_mod_color_6205,ig_d21,blur1,0.4,0.55,0.97243,0.00179,0.57146,0.56438
task_attr_mod_color_6205,ig_d21,blur1,0.55,0.7,0.95076,0.00015,0.65544,0.64888
task_attr_mod_color_6205,ig_d21,blur1,0.7,0.85,0.92187,0.00283,0.77164,0.76563
task_attr_mod_color_6205,ig_d21,blur1,0.85,1.05,0.90642,0.00226,0.8318,0.83445
task_attr_mod_color_6205,ig_d21,blur2,0.0,0.12,0.99998,2e-05,0.00673,0.00545
task_attr_mod_color_6205,ig_d21,blur2,0.12,0.25,0.97344,-0.00049,0.31876,0.28144
task_attr_mod_color_6205,ig_d21,blur2,0.25,0.4,0.90658,0.00015,0.47484,0.47166
task_attr_mod_color_6205,ig_d21,blur2,0.4,0.55,0.78748,0.00533,0.57146,0.55286
