image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.20149,0.91827,26.024,0.42283,0.05377,0.27297,0.71256,20.48,0.21862,0.1537,0.53725,0.04998,38.3
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.09577,0.97458,30.964,0.61832,0.03356,0.19012,0.86101,17.774,0.46545,0.12233,0.41087,0.0283,38.3
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.31108,0.92961,26.585,0.44976,0.04809,0.28958,0.68662,19.624,0.30327,0.17169,0.59829,0.04686,38.3
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.12118,0.97248,35.548,0.68708,0.02429,0.13635,0.91231,29.376,0.60533,0.06665,0.33246,0.01669,38.2
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.14326,0.93826,26.072,0.5646,0.04169,0.18079,0.86467,22.786,0.43525,0.0558,0.54305,0.0497,38.1
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.2682,0.90777,24.07,0.47168,0.04908,0.41612,0.44624,13.536,0.08288,0.23953,0.7566,0.06259,38.0
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.2041,0.97117,33.332,0.63257,0.02437,0.1985,0.88671,26.55,0.4382,0.07927,0.36376,0.02155,38.2
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.22789,0.94247,27.17,0.55485,0.06235,0.2651,0.78154,21.148,0.36768,0.11459,0.83483,0.0438,38.2
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.21718,0.91571,25.403,0.426,0.04711,0.23055,0.78624,21.778,0.30232,0.07594,0.67544,0.05369,38.1
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.09904,0.98365,37.666,0.78647,0.02477,0.24273,0.83415,20.764,0.69699,0.17056,0.27462,0.01308,38.3
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.392,0.81959,24.643,0.23257,0.07483,0.17496,0.80974,21.712,0.3114,0.20369,0.51274,0.0586,38.0
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.21987,0.92746,25.494,0.43881,0.04967,0.31474,0.69955,17.528,0.26577,0.14874,0.50865,0.05313,38.1
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.26088,0.95202,33.399,0.50213,0.04603,0.3319,0.76451,17.219,0.32526,0.23178,0.32509,0.02138,38.1
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.33845,0.87144,25.163,0.35149,0.10107,0.46125,0.58408,18.684,0.18619,0.21427,0.7424,0.05519,38.1
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.17239,0.94389,28.327,0.4898,0.03118,0.19615,0.81469,22.985,0.36648,0.0745,0.75667,0.03834,38.0
