image,seed,grid,target_rms,kind,scale,field_radius,rms,dists,lpips,psnr,ssim,vif_p,linf
task_attr_mod_color_11699,2,16,0.04,additive,0.040154,0.02621,0.04,0.111734,0.106847,27.9588,0.96372,0.726301,0.133635
task_attr_mod_color_11699,2,16,0.06,multiplicative,0.093513,0.02621,0.06,0.137488,0.160974,24.437,0.918959,0.635674,0.264938
task_attr_mod_color_11699,2,16,0.06,additive,0.060711,0.02621,0.06,0.148039,0.14803,24.437,0.926645,0.609475,0.202047
task_attr_mod_color_136767,0,16,0.01,multiplicative,0.021409,0.0241,0.01,0.005543,0.002981,39.9996,0.998235,0.967156,0.062993
task_attr_mod_color_136767,0,16,0.01,additive,0.01058,0.0241,0.01,0.018428,0.012872,39.9996,0.965654,0.965238,0.036188
task_attr_mod_color_136767,0,16,0.02,multiplicative,0.043838,0.0241,0.02,0.014153,0.008757,33.9793,0.993416,0.903198,0.123996
task_attr_mod_color_136767,0,16,0.02,additive,0.021889,0.0241,0.02,0.042923,0.038509,33.9793,0.931352,0.893379,0.074873
task_attr_mod_color_136767,0,16,0.04,multiplicative,0.090388,0.0241,0.04,0.032622,0.027424,27.9588,0.975431,0.776313,0.243137
task_attr_mod_color_136767,0,16,0.04,additive,0.045061,0.0241,0.04,0.070375,0.085615,27.9588,0.87873,0.746194,0.154132
task_attr_mod_color_136767,0,16,0.06,multiplicative,0.139235,0.0241,0.06,0.052405,0.049409,24.437,0.948833,0.673184,0.345098
task_attr_mod_color_136767,0,16,0.06,additive,0.068537,0.0241,0.06,0.090076,0.120078,24.437,0.832793,0.629992,0.234433
task_attr_mod_color_136767,1,16,0.01,multiplicative,0.020163,0.02478,0.01,0.003701,0.002263,39.9996,0.99829,0.964036,0.060947
task_attr_mod_color_136767,1,16,0.01,additive,0.01034,0.02478,0.01,0.012787,0.012068,39.9996,0.967331,0.962648,0.038696
task_attr_mod_color_136767,1,16,0.02,multiplicative,0.041611,0.02478,0.02,0.014698,0.009231,33.9793,0.992957,0.89397,0.125154
task_attr_mod_color_136767,1,16,0.02,additive,0.0215,0.02478,0.02,0.033674,0.038393,33.9793,0.929727,0.887241,0.074705
task_attr_mod_color_136767,1,16,0.04,multiplicative,0.086385,0.02478,0.04,0.036095,0.029275,27.9588,0.972986,0.758453,0.239216
task_attr_mod_color_136767,1,16,0.04,additive,0.044787,0.02478,0.04,0.062037,0.081906,27.9588,0.87367,0.733505,0.155617
task_attr_mod_color_136767,1,16,0.06,multiplicative,0.133319,0.02478,0.06,0.055772,0.05075,24.437,0.944204,0.652074,0.337788
task_attr_mod_color_136767,1,16,0.06,additive,0.068684,0.02478,0.06,0.08215,0.114905,24.437,0.825974,0.612512,0.238649
task_attr_mod_color_136767,2,16,0.01,multiplicative,0.019353,0.02621,0.01,0.003679,0.001759,39.9996,0.998592,0.967621,0.058156
task_attr_mod_color_136767,2,16,0.01,additive,0.010211,0.02621,0.01,0.017549,0.012888,39.9996,0.973392,0.963566,0.033983
task_attr_mod_color_136767,2,16,0.02,multiplicative,0.039799,0.02621,0.02,0.012237,0.006633,33.9793,0.994259,0.903672,0.113969
task_attr_mod_color_136767,2,16,0.02,additive,0.020918,0.02621,0.02,0.042976,0.041918,33.9793,0.940649,0.889749,0.069617
task_attr_mod_color_136767,2,16,0.04,multiplicative,0.082548,0.02621,0.04,0.029967,0.022027,27.9588,0.977822,0.776748,0.221479
task_attr_mod_color_136767,2,16,0.04,additive,0.042916,0.02621,0.04,0.067203,0.081079,27.9588,0.888459,0.741018,0.142827
task_attr_mod_color_136767,2,16,0.06,multiplicative,0.127402,0.02621,0.06,0.048667,0.041887,24.437,0.953332,0.673229,0.31817
task_attr_mod_color_136767,2,16,0.06,additive,0.06528,0.02621,0.06,0.085358,0.112015,24.437,0.842694,0.624152,0.217254
task_attr_mod_color_184837,0,16,0.01,multiplicative,0.021297,0.0241,0.01,0.002645,0.000532,39.9996,0.999341,0.972971,0.087232
task_attr_mod_color_184837,0,16,0.01,additive,0.010014,0.0241,0.01,0.007851,0.001984,39.9996,0.996078,0.975132,0.043229
task_attr_mod_color_184837,0,16,0.02,multiplicative,0.0429,0.0241,0.02,0.00927,0.002209,33.9793,0.997333,0.922005,0.166932
task_attr_mod_color_184837,0,16,0.02,additive,0.020119,0.0241,0.02,0.025698,0.007625,33.9793,0.985077,0.923831,0.086851
task_attr_mod_color_184837,0,16,0.04,multiplicative,0.087842,0.0241,0.04,0.034092,0.009248,27.9588,0.989116,0.816563,0.313379
task_attr_mod_color_184837,0,16,0.04,additive,0.040958,0.0241,0.04,0.070321,0.027708,27.9588,0.953166,0.812987,0.176814
task_attr_mod_color_184837,0,16,0.06,multiplicative,0.135683,0.0241,0.06,0.066377,0.020814,24.437,0.975439,0.72449,0.440311
task_attr_mod_color_184837,0,16,0.06,additive,0.062762,0.0241,0.06,0.107143,0.054002,24.437,0.917657,0.717194,0.27094
task_attr_mod_color_184837,1,16,0.01,multiplicative,0.019434,0.02478,0.01,0.002077,0.000484,39.9996,0.999408,0.975138,0.068826
task_attr_mod_color_184837,1,16,0.01,additive,0.010013,0.02478,0.01,0.005518,0.002039,39.9996,0.997287,0.974608,0.037867
task_attr_mod_color_184837,1,16,0.02,multiplicative,0.039244,0.02478,0.02,0.009811,0.002071,33.9793,0.997585,0.926788,0.133993
task_attr_mod_color_184837,1,16,0.02,additive,0.020068,0.02478,0.02,0.024033,0.007611,33.9793,0.989254,0.922092,0.075895
task_attr_mod_color_184837,1,16,0.04,multiplicative,0.08052,0.02478,0.04,0.033247,0.008852,27.9588,0.990081,0.825791,0.25525
task_attr_mod_color_184837,1,16,0.04,additive,0.040499,0.02478,0.04,0.061913,0.024387,27.9588,0.960699,0.810294,0.153165
task_attr_mod_color_184837,1,16,0.06,multiplicative,0.124368,0.02478,0.06,0.067625,0.020664,24.437,0.977471,0.736577,0.365672
task_attr_mod_color_184837,1,16,0.06,additive,0.061588,0.02478,0.06,0.09658,0.045289,24.437,0.925774,0.714821,0.23292
task_attr_mod_color_184837,2,16,0.01,multiplicative,0.021437,0.02621,0.01,0.002159,0.000558,39.9996,0.999305,0.972761,0.066273
task_attr_mod_color_184837,2,16,0.01,additive,0.010015,0.02621,0.01,0.00757,0.002182,39.9996,0.996171,0.974768,0.033329
task_attr_mod_color_184837,2,16,0.02,multiplicative,0.043198,0.02621,0.02,0.008468,0.002317,33.9793,0.997183,0.920362,0.130715
task_attr_mod_color_184837,2,16,0.02,additive,0.020156,0.02621,0.02,0.023138,0.008293,33.9793,0.985658,0.921449,0.067079
task_attr_mod_color_184837,2,16,0.04,multiplicative,0.088286,0.02621,0.04,0.034133,0.009929,27.9588,0.988336,0.813569,0.24758
task_attr_mod_color_184837,2,16,0.04,additive,0.040932,0.02621,0.04,0.068228,0.028037,27.9588,0.956109,0.807507,0.136221
task_attr_mod_color_184837,2,16,0.06,multiplicative,0.136474,0.02621,0.06,0.069679,0.022728,24.437,0.973392,0.720819,0.364706
task_attr_mod_color_184837,2,16,0.06,additive,0.062455,0.02621,0.06,0.107829,0.05121,24.437,0.921729,0.710729,0.207853
task_attr_mod_color_32648,0,16,0.01,multiplicative,0.094811,0.0241,0.01,0.026978,0.015689,39.9996,0.993611,0.907594,0.171214
task_attr_mod_color_32648,0,16,0.01,additive,0.010031,0.0241,0.01,0.062344,0.040168,39.9996,0.963809,0.881147,0.043304
task_attr_mod_color_32648,0,16,0.02,multiplicative,0.190019,0.0241,0.02,0.065912,0.049327,33.9793,0.975032,0.766603,0.347402
task_attr_mod_color_32648,0,16,0.02,additive,0.020933,0.0241,0.02,0.12732,0.120272,33.9793,0.883568,0.695544,0.090367
task_attr_mod_color_32648,0,16,0.04,multiplicative,0.373533,0.0241,0.04,0.135106,0.123032,27.9588,0.911994,0.533743,0.587995
task_attr_mod_color_32648,0,16,0.04,additive,0.045941,0.0241,0.04,0.203758,0.268373,27.9588,0.722873,0.435202,0.198326
task_attr_mod_color_32648,0,16,0.06,multiplicative,0.538585,0.0241,0.06,0.188495,0.188023,24.437,0.837822,0.391034,0.721569
task_attr_mod_color_32648,0,16,0.06,additive,0.073316,0.0241,0.06,0.253057,0.349584,24.437,0.595325,0.298742,0.316501
task_attr_mod_color_32648,1,16,0.01,multiplicative,0.083949,0.02478,0.01,0.020672,0.011353,39.9996,0.994825,0.915808,0.168627
task_attr_mod_color_32648,1,16,0.01,additive,0.010035,0.02478,0.01,0.063838,0.041254,39.9996,0.964364,0.878815,0.037952
task_attr_mod_color_32648,1,16,0.02,multiplicative,0.169944,0.02478,0.02,0.062542,0.040541,33.9793,0.979399,0.784317,0.321569
task_attr_mod_color_32648,1,16,0.02,additive,0.020918,0.02478,0.02,0.136189,0.122555,33.9793,0.879142,0.690224,0.072682
task_attr_mod_color_32648,1,16,0.04,multiplicative,0.347128,0.02478,0.04,0.129489,0.120823,27.9588,0.921836,0.546102,0.552941
task_attr_mod_color_32648,1,16,0.04,additive,0.045653,0.02478,0.04,0.217149,0.264602,27.9588,0.709927,0.428381,0.158627
task_attr_mod_color_32648,1,16,0.06,multiplicative,0.520179,0.02478,0.06,0.188912,0.191113,24.437,0.844947,0.388367,0.721569
task_attr_mod_color_32648,1,16,0.06,additive,0.072909,0.02478,0.06,0.265504,0.355659,24.437,0.576791,0.291699,0.24061
task_attr_mod_color_32648,2,16,0.01,multiplicative,0.062656,0.02621,0.01,0.01379,0.007481,39.9996,0.997047,0.940899,0.145976
task_attr_mod_color_32648,2,16,0.01,additive,0.010016,0.02621,0.01,0.069644,0.043016,39.9996,0.968192,0.874078,0.033335
task_attr_mod_color_32648,2,16,0.02,multiplicative,0.128167,0.02621,0.02,0.047337,0.027036,33.9793,0.987742,0.840678,0.278708
task_attr_mod_color_32648,2,16,0.02,additive,0.020747,0.02621,0.02,0.131827,0.129031,33.9793,0.887402,0.686441,0.069047
task_attr_mod_color_32648,2,16,0.04,multiplicative,0.261368,0.02621,0.04,0.107001,0.083684,27.9588,0.951718,0.642765,0.499935
task_attr_mod_color_32648,2,16,0.04,additive,0.045307,0.02621,0.04,0.197091,0.267859,27.9588,0.715096,0.433275,0.150783
task_attr_mod_color_32648,2,16,0.06,multiplicative,0.388178,0.02621,0.06,0.150486,0.140019,24.437,0.901764,0.496443,0.643137
task_attr_mod_color_32648,2,16,0.06,additive,0.072782,0.02621,0.06,0.250414,0.353347,24.437,0.581213,0.302012,0.242219
task_attr_mod_color_6205,0,16,0.01,multiplicative,0.018481,0.0241,0.01,0.017449,0.008045,39.9996,0.99751,0.967008,0.072846
task_attr_mod_color_6205,0,16,0.01,additive,0.010015,0.0241,0.01,0.018074,0.006483,39.9996,0.996332,0.961579,0.043232
task_attr_mod_color_6205,0,16,0.02,multiplicative,0.037101,0.0241,0.02,0.040769,0.028184,33.9793,0.990375,0.904989,0.146903
task_attr_mod_color_6205,0,16,0.02,additive,0.020064,0.0241,0.02,0.041295,0.025675,33.9793,0.986479,0.884458,0.086616
task_attr_mod_color_6205,0,16,0.04,multiplicative,0.074877,0.0241,0.04,0.071036,0.067403,27.9588,0.965531,0.780535,0.252081
task_attr_mod_color_6205,0,16,0.04,additive,0.040317,0.0241,0.04,0.076767,0.06977,27.9588,0.953502,0.729043,0.174046
task_attr_mod_color_6205,0,16,0.06,multiplicative,0.112909,0.0241,0.06,0.089789,0.098552,24.437,0.932879,0.679605,0.349023
task_attr_mod_color_6205,0,16,0.06,additive,0.060796,0.0241,0.06,0.1058,0.10656,24.437,0.909493,0.60645,0.262451
task_attr_mod_color_6205,1,16,0.01,multiplicative,0.019757,0.02478,0.01,0.020605,0.009277,39.9996,0.997433,0.966203,0.05612
task_attr_mod_color_6205,1,16,0.01,additive,0.010012,0.02478,0.01,0.019562,0.006388,39.9996,0.995923,0.961056,0.037863
task_attr_mod_color_6205,1,16,0.02,multiplicative,0.039961,0.02478,0.02,0.051174,0.032839,33.9793,0.989844,0.898681,0.110086
task_attr_mod_color_6205,1,16,0.02,additive,0.020095,0.02478,0.02,0.049818,0.026157,33.9793,0.984891,0.881154,0.075997
task_attr_mod_color_6205,1,16,0.04,multiplicative,0.081365,0.02478,0.04,0.078447,0.071497,27.9588,0.962674,0.763193,0.213928
task_attr_mod_color_6205,1,16,0.04,additive,0.040587,0.02478,0.04,0.085885,0.072457,27.9588,0.949529,0.720067,0.153497
task_attr_mod_color_6205,1,16,0.06,multiplicative,0.12378,0.02478,0.06,0.098516,0.101909,24.437,0.926074,0.654171,0.30704
task_attr_mod_color_6205,1,16,0.06,additive,0.061397,0.02478,0.06,0.114905,0.10901,24.437,0.902708,0.594371,0.232198
task_attr_mod_color_6205,2,16,0.01,multiplicative,0.019129,0.02621,0.01,0.022721,0.013838,39.9996,0.997025,0.962049,0.056514
task_attr_mod_color_6205,2,16,0.01,additive,0.010015,0.02621,0.01,0.020814,0.010036,39.9996,0.996169,0.958088,0.033331
task_attr_mod_color_6205,2,16,0.02,multiplicative,0.038577,0.02621,0.02,0.047946,0.040077,33.9793,0.988431,0.895172,0.111568
task_attr_mod_color_6205,2,16,0.02,additive,0.020093,0.02621,0.02,0.048433,0.033928,33.9793,0.985556,0.877462,0.066872
task_attr_mod_color_6205,2,16,0.04,multiplicative,0.077751,0.02621,0.04,0.075701,0.079851,27.9588,0.959258,0.76804,0.207649
task_attr_mod_color_6205,2,16,0.04,additive,0.040435,0.02621,0.04,0.085634,0.081744,27.9588,0.950036,0.720762,0.134569
task_attr_mod_color_6205,2,16,0.06,multiplicative,0.117311,0.02621,0.06,0.097221,0.110055,24.437,0.922135,0.667122,0.322091
task_attr_mod_color_6205,2,16,0.06,additive,0.060946,0.02621,0.06,0.111997,0.117608,24.437,0.903724,0.600539,0.202831
task_env_weather_112463,0,16,0.01,multiplicative,0.017389,0.0241,0.01,0.011878,0.007313,39.9996,0.997615,0.967407,0.047896
task_env_weather_112463,0,16,0.01,additive,0.010012,0.0241,0.01,0.00689,0.004042,39.9996,0.99809,0.969376,0.04322
task_env_weather_112463,0,16,0.02,multiplicative,0.034925,0.0241,0.02,0.029125,0.023429,33.9793,0.990594,0.902629,0.098875
task_env_weather_112463,0,16,0.02,additive,0.020041,0.0241,0.02,0.018374,0.014449,33.9793,0.992357,0.904451,0.086517
task_env_weather_112463,0,16,0.04,multiplicative,0.071257,0.0241,0.04,0.065622,0.062256,27.9588,0.965104,0.771637,0.215084
task_env_weather_112463,0,16,0.04,additive,0.040225,0.0241,0.04,0.040816,0.043059,27.9588,0.970053,0.766242,0.173648
task_env_weather_112463,0,16,0.06,multiplicative,0.110037,0.0241,0.06,0.09686,0.104959,24.437,0.929052,0.662487,0.362778
task_env_weather_112463,0,16,0.06,additive,0.060768,0.0241,0.06,0.071434,0.076647,24.437,0.935825,0.650811,0.26233
task_env_weather_112463,1,16,0.01,multiplicative,0.016399,0.02478,0.01,0.010909,0.007907,39.9996,0.997383,0.966543,0.052525
task_env_weather_112463,1,16,0.01,additive,0.010003,0.02478,0.01,0.007421,0.004798,39.9996,0.997935,0.96776,0.03783
task_env_weather_112463,1,16,0.02,multiplicative,0.032938,0.02478,0.02,0.025842,0.025726,33.9793,0.989778,0.904767,0.102564
task_env_weather_112463,1,16,0.02,additive,0.02002,0.02478,0.02,0.017901,0.016838,33.9793,0.991788,0.902193,0.075715
task_env_weather_112463,1,16,0.04,multiplicative,0.067713,0.02478,0.04,0.063768,0.068036,27.9588,0.963074,0.778833,0.198897
task_env_weather_112463,1,16,0.04,additive,0.040292,0.02478,0.04,0.044357,0.050883,27.9588,0.968173,0.763665,0.15238
task_env_weather_112463,1,16,0.06,multiplicative,0.105825,0.02478,0.06,0.0981,0.115774,24.437,0.926915,0.671154,0.291983
task_env_weather_112463,1,16,0.06,additive,0.0611,0.02478,0.06,0.071717,0.088768,24.437,0.932626,0.647448,0.231073
task_env_weather_112463,2,16,0.01,multiplicative,0.015764,0.02621,0.01,0.008604,0.007108,39.9996,0.99767,0.969323,0.045658
task_env_weather_112463,2,16,0.01,additive,0.010006,0.02621,0.01,0.005816,0.004673,39.9996,0.998001,0.967999,0.033301
task_env_weather_112463,2,16,0.02,multiplicative,0.031811,0.02621,0.02,0.027691,0.024159,33.9793,0.990779,0.909067,0.089499
task_env_weather_112463,2,16,0.02,additive,0.020055,0.02621,0.02,0.019772,0.016776,33.9793,0.992006,0.901011,0.066744
task_env_weather_112463,2,16,0.04,multiplicative,0.066076,0.02621,0.04,0.066601,0.066166,27.9588,0.965724,0.782345,0.184005
task_env_weather_112463,2,16,0.04,additive,0.040484,0.02621,0.04,0.049759,0.050045,27.9588,0.96892,0.759567,0.134731
task_env_weather_112463,2,16,0.06,multiplicative,0.10412,0.02621,0.06,0.101576,0.109907,24.437,0.930258,0.673173,0.265508
task_env_weather_112463,2,16,0.06,additive,0.061627,0.02621,0.06,0.081887,0.088858,24.437,0.933934,0.641143,0.205096
task_env_weather_246440,0,16,0.01,multiplicative,0.023041,0.0241,0.01,0.001232,0.000629,39.9996,0.999178,0.976406,0.094118
task_env_weather_246440,0,16,0.01,additive,0.010149,0.0241,0.01,0.002176,0.000924,39.9996,0.993557,0.976568,0.043813
task_env_weather_246440,0,16,0.02,multiplicative,0.046952,0.0241,0.02,0.004428,0.00255,33.9793,0.996638,0.928515,0.180432
task_env_weather_246440,0,16,0.02,additive,0.020447,0.0241,0.02,0.008824,0.00362,33.9793,0.981872,0.925493,0.08827
task_env_weather_246440,0,16,0.04,multiplicative,0.096845,0.0241,0.04,0.020878,0.01021,27.9588,0.986427,0.826208,0.333333
task_env_weather_246440,0,16,0.04,additive,0.041434,0.0241,0.04,0.029514,0.013363,27.9588,0.95198,0.813483,0.178867
task_env_weather_246440,0,16,0.06,multiplicative,0.149093,0.0241,0.06,0.042496,0.022902,24.437,0.970013,0.737195,0.471038
task_env_weather_246440,0,16,0.06,additive,0.063081,0.0241,0.06,0.053794,0.028218,24.437,0.917086,0.717041,0.272318
task_env_weather_246440,1,16,0.01,multiplicative,0.02286,0.02478,0.01,0.001692,0.001005,39.9996,0.999237,0.973676,0.064683
task_env_weather_246440,1,16,0.01,additive,0.010396,0.02478,0.01,0.002909,0.001263,39.9996,0.992838,0.973908,0.039315
task_env_weather_246440,1,16,0.02,multiplicative,0.047181,0.02478,0.02,0.006673,0.003673,33.9793,0.99685,0.921903,0.130092
task_env_weather_246440,1,16,0.02,additive,0.021086,0.02478,0.02,0.008437,0.004695,33.9793,0.980894,0.918153,0.079746
task_env_weather_246440,1,16,0.04,multiplicative,0.098315,0.02478,0.04,0.020303,0.012914,27.9588,0.987019,0.815233,0.252097
task_env_weather_246440,1,16,0.04,additive,0.043062,0.02478,0.04,0.022301,0.015661,27.9588,0.952423,0.799343,0.162857
task_env_weather_246440,1,16,0.06,multiplicative,0.151753,0.02478,0.06,0.038548,0.02624,24.437,0.9708,0.724523,0.357029
task_env_weather_246440,1,16,0.06,additive,0.065748,0.02478,0.06,0.040703,0.030944,24.437,0.919555,0.699369,0.248653
task_env_weather_246440,2,16,0.01,multiplicative,0.022539,0.02621,0.01,0.001707,0.000706,39.9996,0.99922,0.974355,0.066557
task_env_weather_246440,2,16,0.01,additive,0.010214,0.02621,0.01,0.002116,0.001174,39.9996,0.993122,0.974989,0.033991
task_env_weather_246440,2,16,0.02,multiplicative,0.045859,0.02621,0.02,0.004604,0.002836,33.9793,0.996827,0.924459,0.128724
task_env_weather_246440,2,16,0.02,additive,0.020641,0.02621,0.02,0.006433,0.004258,33.9793,0.981596,0.920884,0.068695
task_env_weather_246440,2,16,0.04,multiplicative,0.094005,0.02621,0.04,0.020635,0.011437,27.9588,0.987168,0.822511,0.250273
task_env_weather_246440,2,16,0.04,additive,0.042002,0.02621,0.04,0.023226,0.014796,27.9588,0.953489,0.804697,0.139784
task_env_weather_246440,2,16,0.06,multiplicative,0.143572,0.02621,0.06,0.04462,0.02545,24.437,0.971506,0.736525,0.372933
task_env_weather_246440,2,16,0.06,additive,0.063943,0.02621,0.06,0.04668,0.030432,24.437,0.921297,0.706122,0.212803
task_env_weather_63722,0,16,0.01,multiplicative,0.016802,0.0241,0.01,0.034522,0.012978,39.9996,0.997256,0.965823,0.058117
task_env_weather_63722,0,16,0.01,additive,0.010001,0.0241,0.01,0.03076,0.009263,39.9996,0.9974,0.963828,0.043172
task_env_weather_63722,0,16,0.02,multiplicative,0.033536,0.0241,0.02,0.05886,0.035174,33.9793,0.989553,0.90664,0.120346
task_env_weather_63722,0,16,0.02,additive,0.020005,0.0241,0.02,0.061392,0.029874,33.9793,0.989661,0.893488,0.086359
task_env_weather_63722,0,16,0.04,multiplicative,0.066747,0.0241,0.04,0.089722,0.074355,27.9588,0.964653,0.794053,0.248264
task_env_weather_63722,0,16,0.04,additive,0.040056,0.0241,0.04,0.103051,0.073557,27.9588,0.960901,0.752819,0.17292
task_env_weather_63722,0,16,0.06,multiplicative,0.102464,0.0241,0.06,0.11559,0.107287,24.437,0.934114,0.700665,0.277625
task_env_weather_63722,0,16,0.06,additive,0.060341,0.0241,0.06,0.140876,0.113206,24.437,0.921416,0.64112,0.2572
task_env_weather_63722,1,16,0.01,multiplicative,0.018334,0.02478,0.01,0.03374,0.009765,39.9996,0.997653,0.96523,0.058192
task_env_weather_63722,1,16,0.01,additive,0.01,0.02478,0.01,0.025917,0.005849,39.9996,0.997786,0.963129,0.037821
task_env_weather_63722,1,16,0.02,multiplicative,0.036679,0.02478,0.02,0.061267,0.033941,33.9793,0.990877,0.902124,0.112563
task_env_weather_63722,1,16,0.02,additive,0.020003,0.02478,0.02,0.056283,0.024944,33.9793,0.991303,0.890123,0.075651
task_env_weather_63722,1,16,0.04,multiplicative,0.073438,0.02478,0.04,0.092996,0.074242,27.9588,0.967039,0.778112,0.210901
task_env_weather_63722,1,16,0.04,additive,0.040049,0.02478,0.04,0.101776,0.070554,27.9588,0.967045,0.744693,0.15146
task_env_weather_63722,1,16,0.06,multiplicative,0.111144,0.02478,0.06,0.115355,0.106524,24.437,0.93491,0.67738,0.298667
task_env_weather_63722,1,16,0.06,additive,0.060338,0.02478,0.06,0.135556,0.110305,24.437,0.931125,0.629585,0.22819
task_env_weather_63722,2,16,0.01,multiplicative,0.018093,0.02621,0.01,0.047771,0.018471,39.9996,0.997015,0.961487,0.04965
task_env_weather_63722,2,16,0.01,additive,0.01,0.02621,0.01,0.040774,0.010734,39.9996,0.997169,0.961547,0.033282
task_env_weather_63722,2,16,0.02,multiplicative,0.03612,0.02621,0.02,0.06892,0.048837,33.9793,0.988603,0.897453,0.102185
task_env_weather_63722,2,16,0.02,additive,0.020003,0.02621,0.02,0.069142,0.03871,33.9793,0.988651,0.888532,0.066571
task_env_weather_63722,2,16,0.04,multiplicative,0.07199,0.02621,0.04,0.095918,0.08563,27.9588,0.96075,0.777947,0.211765
task_env_weather_63722,2,16,0.04,additive,0.040104,0.02621,0.04,0.10831,0.083918,27.9588,0.957568,0.745733,0.133466
task_env_weather_63722,2,16,0.06,multiplicative,0.109842,0.02621,0.06,0.119786,0.115087,24.437,0.9256,0.680887,0.284534
task_env_weather_63722,2,16,0.06,additive,0.060508,0.02621,0.06,0.14563,0.120939,24.437,0.91653,0.634204,0.201372
task_obj_add_40931,0,16,0.01,multiplicative,0.027707,0.0241,0.01,0.002232,0.000809,39.9996,0.998874,0.979598,0.073119
task_obj_add_40931,0,16,0.01,additive,0.010161,0.0241,0.01,0.007501,0.004308,39.9996,0.985568,0.974428,0.043863
task_obj_add_40931,0,16,0.02,multiplicative,0.055585,0.0241,0.02,0.008989,0.003025,33.9793,0.995499,0.939327,0.14076
task_obj_add_40931,0,16,0.02,additive,0.020607,0.0241,0.02,0.021222,0.015085,33.9793,0.963494,0.919606,0.088958
task_obj_add_40931,0,16,0.04,multiplicative,0.111935,0.0241,0.04,0.035247,0.011344,27.9588,0.982412,0.854108,0.261245
task_obj_add_40931,0,16,0.04,additive,0.042052,0.0241,0.04,0.052788,0.043865,27.9588,0.918665,0.801148,0.181536
task_obj_add_40931,0,16,0.06,multiplicative,0.169486,0.0241,0.06,0.064028,0.02457,24.437,0.962136,0.77781,0.383629
task_obj_add_40931,0,16,0.06,additive,0.064079,0.0241,0.06,0.085812,0.07536,24.437,0.873071,0.700241,0.276625
task_obj_add_40931,1,16,0.01,multiplicative,0.029075,0.02478,0.01,0.00351,0.000867,39.9996,0.998738,0.978739,0.078547
task_obj_add_40931,1,16,0.01,additive,0.010132,0.02478,0.01,0.006609,0.003979,39.9996,0.985631,0.972927,0.038317
task_obj_add_40931,1,16,0.02,multiplicative,0.057945,0.02478,0.02,0.012241,0.003294,33.9793,0.995046,0.937837,0.149465
task_obj_add_40931,1,16,0.02,additive,0.020724,0.02478,0.02,0.020467,0.016814,33.9793,0.956954,0.914139,0.07451
