image,variant,theta,rms,identity,keep_q95,keep_q85,keep_q75,keep_q50,keep_q30
task_obj_remove_380621,post_int,3.1416,0.157308,1.0,0.992365,0.991482,1.012534,0.948393,0.898862
task_obj_remove_380621,pre_deliver,0.3,0.026748,1.0,0.990328,0.990532,1.070784,0.862693,0.762569
task_obj_remove_380621,pre_deliver,1.2,0.090696,1.0,0.992907,0.991703,1.01892,0.944747,0.899135
task_obj_remove_380621,pre_deliver,3.1416,0.157308,1.0,0.992365,0.991483,1.012534,0.948393,0.898862
task_obj_swap_joint_mask_276754,post_int,0.3,0.027366,1.0,0.987123,0.99075,1.018723,0.956623,0.821085
task_obj_swap_joint_mask_276754,post_int,1.2,0.10281,1.0,0.989098,0.990134,1.072508,0.846286,0.758378
task_obj_swap_joint_mask_276754,post_int,3.1416,0.164274,1.0,0.98776,0.987463,1.03716,0.884254,0.803909
task_obj_swap_joint_mask_276754,pre_deliver,0.3,0.031437,1.0,0.989572,0.994089,1.153749,0.74002,0.58697
task_obj_swap_joint_mask_276754,pre_deliver,1.2,0.096906,1.0,0.989436,0.989664,1.057775,0.880348,0.79571
task_obj_swap_joint_mask_276754,pre_deliver,3.1416,0.164274,1.0,0.98776,0.987463,1.03716,0.884254,0.803909
task_obj_swap_joint_mask_533428,post_int,0.3,0.035809,1.0,0.982465,0.981412,0.990105,0.956574,0.919175
task_obj_swap_joint_mask_533428,post_int,1.2,0.131931,1.0,0.989694,0.988627,1.008594,0.947492,0.924929
task_obj_swap_joint_mask_533428,post_int,3.1416,0.220138,1.0,0.993291,0.991706,1.006053,0.965498,0.945253
task_obj_swap_joint_mask_533428,pre_deliver,0.3,0.036437,1.0,0.980146,0.983283,1.029603,0.875971,0.828277
task_obj_swap_joint_mask_533428,pre_deliver,1.2,0.127198,1.0,0.989509,0.988171,1.003271,0.956654,0.935364
task_obj_swap_joint_mask_533428,pre_deliver,3.1416,0.220138,1.0,0.993291,0.991706,1.006053,0.965498,0.945253
task_obj_swap_rand_mask_417469,post_int,0.3,0.029096,1.0,0.982718,0.986268,1.000425,0.944823,0.89401
task_obj_swap_rand_mask_417469,post_int,1.2,0.106559,1.0,0.983697,0.983663,1.000062,0.93862,0.912745
task_obj_swap_rand_mask_417469,post_int,3.1416,0.179765,1.0,0.988922,0.988039,1.000831,0.960973,0.935161
task_obj_swap_rand_mask_417469,pre_deliver,0.3,0.03015,1.0,0.977264,0.986334,1.020038,0.872823,0.818907
task_obj_swap_rand_mask_417469,pre_deliver,1.2,0.103935,1.0,0.983925,0.983906,0.995259,0.949318,0.924169
task_obj_swap_rand_mask_417469,pre_deliver,3.1416,0.179765,1.0,0.988922,0.988039,1.000831,0.960973,0.935161
