image_id,condition,seed,strength,source,prompt,fid_lpips,fid_psnr,fid_linf,siglip_ctrl,siglip_def,clip_ctrl,clip_def,effect_siglip,effect_clip,siglip_orig,edit_lpips
bird_03,N1,1,0.3,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.02271261438727379,0.04392189905047417,0.19018402695655823,0.2099950909614563,-0.02120928466320038,-0.01981106400489807,0.004797370173037052,0.09527647495269775
bird_03,N1,2,0.3,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.028263065963983536,0.031519681215286255,0.2096571922302246,0.23264814913272858,-0.003256615251302719,-0.022990956902503967,0.004797370173037052,0.1038549393415451
bird_03,N1,3,0.3,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.018540136516094208,0.02293451316654682,0.18697330355644226,0.18794895708560944,-0.004394376650452614,-0.0009756535291671753,0.004797370173037052,0.10578320920467377
bird_03,N1,4,0.3,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.024851176887750626,0.024925846606492996,0.21251069009304047,0.20754840970039368,-7.46697187423706e-05,0.0049622803926467896,0.004797370173037052,0.08889351040124893
bird_03,N2,0,0.3,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.02795908786356449,0.0212550051510334,0.1991754025220871,0.21390259265899658,0.00670408271253109,-0.014727190136909485,0.004797370173037052,0.11598803102970123
bird_03,N2,1,0.3,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.02271261438727379,0.022566605359315872,0.19018402695655823,0.1876440793275833,0.00014600902795791626,0.0025399476289749146,0.004797370173037052,0.10683441907167435
bird_03,N2,2,0.3,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.028263065963983536,0.03999019414186478,0.2096571922302246,0.20210707187652588,-0.01172712817788124,0.0075501203536987305,0.004797370173037052,0.11440864950418472
bird_03,N2,3,0.3,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.018540136516094208,0.018782252445816994,0.18697330355644226,0.18236449360847473,-0.00024211592972278595,0.004608809947967529,0.004797370173037052,0.1258050799369812
bird_03,N2,4,0.3,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.024851176887750626,0.03784685209393501,0.21251069009304047,0.19073903560638428,-0.012995675206184387,0.02177165448665619,0.004797370173037052,0.09878800064325333
bird_03,N3,0,0.3,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.02795908786356449,0.025872742757201195,0.1991754025220871,0.20336312055587769,0.0020863451063632965,-0.004187718033790588,0.004797370173037052,0.04357530549168587
bird_03,N3,1,0.3,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.02271261438727379,0.03153049945831299,0.19018402695655823,0.19331659376621246,-0.0088178850710392,-0.003132566809654236,0.004797370173037052,0.041442397981882095
bird_03,N3,2,0.3,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.028263065963983536,0.027827244251966476,0.2096571922302246,0.20980802178382874,0.0004358217120170593,-0.00015082955360412598,0.004797370173037052,0.06053371727466583
bird_03,N3,3,0.3,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.018540136516094208,0.01749374158680439,0.18697330355644226,0.18341673910617828,0.0010463949292898178,0.003556564450263977,0.004797370173037052,0.04541775956749916
bird_03,N3,4,0.3,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.024851176887750626,0.02844557911157608,0.21251069009304047,0.20198744535446167,-0.0035944022238254547,0.010523244738578796,0.004797370173037052,0.04630028083920479
bird_03,photoguard_c,0,0.3,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.02795908786356449,0.0038787610828876495,0.1991754025220871,0.21099603176116943,0.024080326780676842,-0.011820629239082336,0.004797370173037052,0.5305981636047363
bird_03,photoguard_c,1,0.3,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.02271261438727379,0.02095947042107582,0.19018402695655823,0.2090475857257843,0.0017531439661979675,-0.018863558769226074,0.004797370173037052,0.546827495098114
bird_03,photoguard_c,2,0.3,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.028263065963983536,0.019654644653201103,0.2096571922302246,0.2087782621383667,0.008608421310782433,0.0008789300918579102,0.004797370173037052,0.5259005427360535
bird_03,photoguard_c,3,0.3,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.018540136516094208,0.017243962734937668,0.18697330355644226,0.2048831284046173,0.00129617378115654,-0.01790982484817505,0.004797370173037052,0.5264228582382202
bird_03,photoguard_c,4,0.3,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.024851176887750626,0.019670622423291206,0.21251069009304047,0.21288630366325378,0.005180554464459419,-0.00037561357021331787,0.004797370173037052,0.5396906137466431
bird_03,mist,0,0.3,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.02795908786356449,0.048599496483802795,0.1991754025220871,0.23192140460014343,-0.020640408620238304,-0.032746002078056335,0.004797370173037052,0.697547197341919
bird_03,mist,1,0.3,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.02271261438727379,0.04792090132832527,0.19018402695655823,0.2393866330385208,-0.025208286941051483,-0.049202606081962585,0.004797370173037052,0.686985969543457
bird_03,mist,2,0.3,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.028263065963983536,0.056491918861866,0.2096571922302246,0.222977876663208,-0.02822885289788246,-0.013320684432983398,0.004797370173037052,0.6870692372322083
bird_03,mist,3,0.3,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.018540136516094208,0.04561688378453255,0.18697330355644226,0.24709731340408325,-0.02707674726843834,-0.06012400984764099,0.004797370173037052,0.7129415273666382
bird_03,mist,4,0.3,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.024851176887750626,0.02088780701160431,0.21251069009304047,0.21935151517391205,0.0039633698761463165,-0.006840825080871582,0.004797370173037052,0.7013222575187683
bird_03,dia_r,0,0.3,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.02795908786356449,0.04632905125617981,0.1991754025220871,0.23051735758781433,-0.01836996339261532,-0.031341955065727234,0.004797370173037052,0.39505988359451294
bird_03,dia_r,1,0.3,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.02271261438727379,0.09714692085981369,0.19018402695655823,0.23119038343429565,-0.0744343064725399,-0.04100635647773743,0.004797370173037052,0.36126232147216797
bird_03,dia_r,2,0.3,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.028263065963983536,0.07107868790626526,0.2096571922302246,0.2566336989402771,-0.04281562194228172,-0.04697650671005249,0.004797370173037052,0.36641621589660645
bird_03,dia_r,3,0.3,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.018540136516094208,0.038280852138996124,0.18697330355644226,0.20073378086090088,-0.019740715622901917,-0.013760477304458618,0.004797370173037052,0.38232675194740295
bird_03,dia_r,4,0.3,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.024851176887750626,0.0935005247592926,0.21251069009304047,0.25869935750961304,-0.06864934787154198,-0.04618866741657257,0.004797370173037052,0.3730592727661133
bird_03,R,0,0.3,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.02795908786356449,0.02488953433930874,0.1991754025220871,0.18887193500995636,0.0030695535242557526,0.010303467512130737,0.004797370173037052,0.06355541199445724
bird_03,R,1,0.3,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.02271261438727379,0.04980305954813957,0.19018402695655823,0.1928909569978714,-0.027090445160865784,-0.0027069300413131714,0.004797370173037052,0.059803832322359085
bird_03,R,2,0.3,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.028263065963983536,0.028162475675344467,0.2096571922302246,0.21099558472633362,0.0001005902886390686,-0.0013383924961090088,0.004797370173037052,0.06589332222938538
bird_03,R,3,0.3,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.018540136516094208,0.018623391166329384,0.18697330355644226,0.18302828073501587,-8.325465023517609e-05,0.003945022821426392,0.004797370173037052,0.07160571217536926
bird_03,R,4,0.3,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.024851176887750626,0.03136421740055084,0.21251069009304047,0.20221665501594543,-0.006513040512800217,0.010294035077095032,0.004797370173037052,0.05739070102572441
bird_03,N1,0,0.4,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.028503049165010452,0.023837054148316383,0.21949143707752228,0.20385006070137024,0.004665995016694069,0.01564137637615204,0.004797370173037052,0.13810525834560394
bird_03,N1,1,0.4,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.08746729046106339,0.09190769493579865,0.23754070699214935,0.26572901010513306,-0.00444040447473526,-0.028188303112983704,0.004797370173037052,0.0928516685962677
bird_03,N1,2,0.4,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.08523856103420258,0.0821116715669632,0.24589404463768005,0.27367857098579407,0.00312688946723938,-0.027784526348114014,0.004797370173037052,0.10338767617940903
bird_03,N1,3,0.4,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.08439368009567261,0.08197695761919022,0.24610596895217896,0.25388768315315247,0.0024167224764823914,-0.007781714200973511,0.004797370173037052,0.11910439282655716
bird_03,N1,4,0.4,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.07523593306541443,0.06558989733457565,0.2525720000267029,0.24703733623027802,0.009646035730838776,0.005534663796424866,0.004797370173037052,0.08924940973520279
bird_03,N2,0,0.4,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.028503049165010452,0.01825116202235222,0.21949143707752228,0.2060251235961914,0.010251887142658234,0.013466313481330872,0.004797370173037052,0.155076801776886
bird_03,N2,1,0.4,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.08746729046106339,0.05598222464323044,0.23754070699214935,0.22322607040405273,0.03148506581783295,0.014314636588096619,0.004797370173037052,0.13985329866409302
bird_03,N2,2,0.4,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.08523856103420258,0.06976304948329926,0.24589404463768005,0.22370818257331848,0.01547551155090332,0.022185862064361572,0.004797370173037052,0.10266721248626709
bird_03,N2,3,0.4,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.08439368009567261,0.08583370596170425,0.24610596895217896,0.2422511726617813,-0.0014400258660316467,0.003854796290397644,0.004797370173037052,0.1454211175441742
bird_03,N2,4,0.4,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.07523593306541443,0.073023222386837,0.2525720000267029,0.23734155297279358,0.002212710678577423,0.015230447053909302,0.004797370173037052,0.09050604701042175
bird_03,N3,0,0.4,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.028503049165010452,0.03913409635424614,0.21949143707752228,0.2175517976284027,-0.010631047189235687,0.0019396394491195679,0.004797370173037052,0.07547525316476822
bird_03,N3,1,0.4,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.08746729046106339,0.08909806609153748,0.23754070699214935,0.23577620089054108,-0.0016307756304740906,0.0017645061016082764,0.004797370173037052,0.06173110008239746
bird_03,N3,2,0.4,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.08523856103420258,0.06258881092071533,0.24589404463768005,0.26060378551483154,0.022649750113487244,-0.01470974087715149,0.004797370173037052,0.0487748384475708
