image,eps,q,dists,lpips,psnr,ssim,rms,linf
task_env_weather_112463,500.0,501.0,0.379861,0.752051,20.8839,0.557704,0.090325,0.847059
task_env_weather_112463,1000.0,1001.0,0.42422,0.77761,15.691,0.43495,0.16423,0.965018
task_env_weather_246440,20.0,21.0,0.004071,0.030114,34.9475,0.988346,0.01789,0.102761
task_env_weather_246440,60.0,61.0,0.032683,0.138265,27.2325,0.940913,0.043489,0.344508
task_env_weather_246440,100.0,101.0,0.049376,0.240153,23.9461,0.889125,0.063488,0.48529
task_env_weather_246440,150.0,151.0,0.098303,0.339232,21.596,0.818707,0.083215,0.6663
task_env_weather_246440,220.0,221.0,0.151369,0.444291,19.5921,0.729517,0.104808,0.845248
task_env_weather_246440,500.0,501.0,0.335501,0.666397,16.2295,0.478819,0.154356,0.996078
task_env_weather_246440,1000.0,1001.0,0.44933,0.755201,13.7289,0.289457,0.205852,1.0
task_env_weather_63722,20.0,21.0,0.031301,0.148183,36.675,0.982157,0.014663,0.105656
task_env_weather_63722,60.0,61.0,0.082999,0.310771,30.2229,0.942621,0.030821,0.321559
task_env_weather_63722,100.0,101.0,0.125202,0.390218,27.4379,0.908926,0.042472,0.474458
task_env_weather_63722,150.0,151.0,0.161225,0.451932,25.2534,0.871119,0.054617,0.564604
task_env_weather_63722,220.0,221.0,0.20493,0.518266,23.29,0.82155,0.06847,0.611238
task_env_weather_63722,500.0,501.0,0.275675,0.626181,19.3607,0.666284,0.107638,0.796078
task_env_weather_63722,1000.0,1001.0,0.329293,0.73111,14.8048,0.422284,0.181869,0.902449
task_obj_add_40931,20.0,21.0,0.017478,0.106373,35.7302,0.985284,0.016349,0.092825
task_obj_add_40931,60.0,61.0,0.092424,0.3003,29.4079,0.937024,0.033853,0.243104
task_obj_add_40931,100.0,101.0,0.177339,0.414965,26.9128,0.881499,0.045119,0.404017
task_obj_add_40931,150.0,151.0,0.244901,0.496214,25.0753,0.817268,0.055748,0.446322
task_obj_add_40931,220.0,221.0,0.321633,0.573965,23.3439,0.748119,0.068047,0.560784
task_obj_add_40931,500.0,501.0,0.403256,0.648583,19.569,0.565652,0.105087,0.759063
task_obj_add_40931,1000.0,1001.0,0.461126,0.682641,15.7574,0.367157,0.162979,0.854921
task_obj_remove_380621,20.0,21.0,0.019481,0.128042,36.546,0.980133,0.014883,0.096332
task_obj_remove_380621,60.0,61.0,0.103189,0.37284,29.7371,0.917431,0.032594,0.297729
task_obj_remove_380621,100.0,101.0,0.179044,0.496919,26.9816,0.853608,0.044763,0.59796
task_obj_remove_380621,150.0,151.0,0.261388,0.577528,24.9999,0.783026,0.056234,0.77009
task_obj_remove_380621,220.0,221.0,0.31298,0.630065,23.2739,0.710116,0.068597,0.868997
task_obj_remove_380621,500.0,501.0,0.404908,0.711219,19.5619,0.520527,0.105173,0.992157
task_obj_remove_380621,1000.0,1001.0,0.421733,0.717816,16.1274,0.373424,0.156182,0.988725
task_obj_swap_joint_mask_276754,20.0,21.0,0.018044,0.069163,34.3563,0.981712,0.01915,0.109949
task_obj_swap_joint_mask_276754,60.0,61.0,0.081912,0.289996,26.7198,0.891133,0.046133,0.359188
task_obj_swap_joint_mask_276754,100.0,101.0,0.161616,0.422564,24.2109,0.74386,0.061582,0.555149
task_obj_swap_joint_mask_276754,150.0,151.0,0.233194,0.531839,22.8403,0.64596,0.072108,0.752386
task_obj_swap_joint_mask_276754,220.0,221.0,0.310879,0.621892,21.869,0.548416,0.08064,0.824564
task_obj_swap_joint_mask_276754,500.0,501.0,0.407398,0.7056,19.4341,0.344465,0.106732,0.983341
task_obj_swap_joint_mask_276754,1000.0,1001.0,0.413056,0.662964,16.3189,0.219982,0.152776,0.988725
task_obj_swap_joint_mask_533428,20.0,21.0,0.012548,0.102051,35.1652,0.978866,0.017447,0.11116
task_obj_swap_joint_mask_533428,60.0,61.0,0.079313,0.307374,28.7994,0.914061,0.03631,0.282065
task_obj_swap_joint_mask_533428,100.0,101.0,0.124195,0.414524,26.2128,0.859726,0.048905,0.398817
task_obj_swap_joint_mask_533428,150.0,151.0,0.161276,0.490303,24.2566,0.802576,0.061259,0.605736
task_obj_swap_joint_mask_533428,220.0,221.0,0.238287,0.560483,22.4984,0.743693,0.075003,0.786226
task_obj_swap_joint_mask_533428,500.0,501.0,0.370343,0.700454,18.7431,0.549364,0.115569,0.900296
task_obj_swap_joint_mask_533428,1000.0,1001.0,0.43696,0.765651,14.6749,0.338167,0.18461,0.986406
task_obj_swap_rand_mask_417469,20.0,21.0,0.018607,0.109719,36.9384,0.979137,0.014226,0.127404
task_obj_swap_rand_mask_417469,60.0,61.0,0.086147,0.289866,30.1641,0.918171,0.031031,0.364835
task_obj_swap_rand_mask_417469,100.0,101.0,0.156803,0.398513,27.2319,0.853896,0.043492,0.624884
task_obj_swap_rand_mask_417469,150.0,151.0,0.208864,0.477168,25.1319,0.78714,0.055387,0.699019
task_obj_swap_rand_mask_417469,220.0,221.0,0.263105,0.559023,23.205,0.708223,0.069144,0.825458
task_obj_swap_rand_mask_417469,500.0,501.0,0.36799,0.673795,19.4474,0.491613,0.106568,0.932858
task_obj_swap_rand_mask_417469,1000.0,1001.0,0.406613,0.701541,16.0627,0.29419,0.157349,0.988725
