method,model,edit_method,image_id,prompt_idx,psnr,ssim,vifp,fsim,lpips,clip,peak_memory_mb,elapsed_sec
apa,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,0,18.688697814941406,0.6880473494529724,0.27074360847473145,0.8110713362693787,0.3209783434867859,0.2859759032726288,21215.152128,167.68
hybrid,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,0,20.814773559570312,0.7656456232070923,0.3551393449306488,0.8628249168395996,0.23912650346755981,0.29747331142425537,21212.936192,155.92
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,1,15.129680633544922,0.47668999433517456,0.16364231705665588,0.7178309559822083,0.5266985893249512,0.31793349981307983,8120.451584,14.7
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,1,14.448071479797363,0.41492176055908203,0.12510259449481964,0.6457294225692749,0.5463820099830627,0.3142581880092621,32952.005632,2691.62
advdiff,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,1,14.625345230102539,0.34921514987945557,0.05622176080942154,0.5709750056266785,0.6399831771850586,0.3434339761734009,6864.201728,8.94
apa,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,1,17.223209381103516,0.5784177184104919,0.18142485618591309,0.7594152688980103,0.4744381308555603,0.260625422000885,21215.152128,167.68
hybrid,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,1,19.130638122558594,0.6568037867546082,0.2122003436088562,0.7856383323669434,0.4200855791568756,0.2950400710105896,21212.936192,155.92
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,0,12.050633430480957,0.28316637873649597,0.0966816321015358,0.5914719104766846,0.6800416111946106,0.29844802618026733,8120.451584,14.71
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,0,13.006625175476074,0.31542882323265076,0.057472553104162216,0.5545763969421387,0.7112598419189453,0.28849315643310547,32952.005632,2694.22
advdiff,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,0,14.553852081298828,0.4525894522666931,0.11673212796449661,0.6696058511734009,0.6144680976867676,0.29507336020469666,6864.201728,8.93
apa,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,0,18.49156951904297,0.6396613717079163,0.2840748429298401,0.8042104840278625,0.46237945556640625,0.2789532542228699,21215.152128,168.74
hybrid,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,0,19.08710289001465,0.7486783862113953,0.29897788166999817,0.8300461173057556,0.3501838445663452,0.24021278321743011,21212.936192,155.41
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,1,15.66074275970459,0.5325766801834106,0.2281973958015442,0.6978275179862976,0.5176159143447876,0.3281415104866028,8120.451584,14.71
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,1,15.320623397827148,0.5246046781539917,0.15072903037071228,0.7019618153572083,0.560706615447998,0.3276061415672302,32952.005632,2694.22
advdiff,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,1,17.435062408447266,0.6201211810112,0.13294574618339539,0.7377117276191711,0.5303318500518799,0.3274102210998535,6864.201728,8.93
apa,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,1,21.85283660888672,0.7785587310791016,0.2353660762310028,0.8201152086257935,0.3358895778656006,0.31930533051490784,21215.152128,168.74
hybrid,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,1,19.8936824798584,0.7336901426315308,0.1640973687171936,0.7901022434234619,0.41845494508743286,0.3354150950908661,21212.936192,155.41
