image,q_alg,eps,proxy,fid_dists,fid_lpips,fid_psnr,rms
task_obj_swap_joint_mask_533428,0.3,0.15,saturated_random_sign,0.090838,0.403702,22.8096,0.072363
task_obj_swap_joint_mask_533428,0.3,0.25,saturated_random_sign,0.146237,0.49975,19.3121,0.108242
task_obj_swap_joint_mask_533428,0.3,0.4,saturated_random_sign,0.212881,0.591301,15.9274,0.15982
task_obj_swap_rand_mask_417469,0.85,0.6,saturated_random_sign,0.056866,0.38237,26.4359,0.047666
task_obj_swap_rand_mask_417469,0.85,1.0,saturated_random_sign,0.109643,0.479244,22.4937,0.075043
task_obj_swap_rand_mask_417469,0.85,1.5,saturated_random_sign,0.161376,0.565052,19.3497,0.107774
task_obj_swap_rand_mask_417469,0.85,2.2,saturated_random_sign,0.219562,0.649053,16.4327,0.150788
task_obj_swap_rand_mask_417469,0.75,0.4,saturated_random_sign,0.066004,0.409456,25.3611,0.053944
task_obj_swap_rand_mask_417469,0.75,0.6,saturated_random_sign,0.109856,0.486209,22.3435,0.076353
task_obj_swap_rand_mask_417469,0.75,1.0,saturated_random_sign,0.176048,0.593028,18.4611,0.119384
task_obj_swap_rand_mask_417469,0.75,1.5,saturated_random_sign,0.239466,0.679945,15.4203,0.169428
task_obj_swap_rand_mask_417469,0.5,0.15,saturated_random_sign,0.05386,0.379075,26.5822,0.046869
task_obj_swap_rand_mask_417469,0.5,0.25,saturated_random_sign,0.092454,0.464135,23.3927,0.067665
task_obj_swap_rand_mask_417469,0.5,0.4,saturated_random_sign,0.149179,0.554232,20.0397,0.099544
task_obj_swap_rand_mask_417469,0.5,0.6,saturated_random_sign,0.204175,0.639403,17.0543,0.140373
task_obj_swap_rand_mask_417469,0.3,0.08,saturated_random_sign,0.059374,0.384483,26.3394,0.048198
task_obj_swap_rand_mask_417469,0.3,0.15,saturated_random_sign,0.098945,0.481114,23.0399,0.07047
task_obj_swap_rand_mask_417469,0.3,0.25,saturated_random_sign,0.156014,0.574098,19.6071,0.104627
task_obj_swap_rand_mask_417469,0.3,0.4,saturated_random_sign,0.223088,0.6678,16.2356,0.154249
