image,q_alg,fid_dists,fid_lpips,fid_psnr,fid_ssim,fid_vif_p,fid_linf,rms
task_obj_remove_380621,0.95,0.002678,0.020098,43.8756,0.997561,0.895933,0.090494,0.0064
task_obj_remove_380621,0.85,0.007382,0.05465,37.7394,0.993317,0.756914,0.127158,0.012972
task_obj_remove_380621,0.75,0.012624,0.084736,34.7925,0.988358,0.687529,0.186155,0.018213
task_obj_remove_380621,0.6,0.030033,0.127183,32.3779,0.980839,0.627514,0.282398,0.024049
task_obj_remove_380621,0.5,0.037689,0.153776,31.3138,0.975702,0.598499,0.297826,0.027184
task_obj_remove_380621,0.4,0.041546,0.187718,30.3458,0.96906,0.568234,0.380388,0.030388
task_obj_remove_380621,0.3,0.06679,0.237962,29.2043,0.95852,0.530246,0.390853,0.034657
task_obj_swap_joint_mask_276754,0.95,0.003218,0.012012,41.8701,0.998004,0.846193,0.088737,0.008062
task_obj_swap_joint_mask_276754,0.85,0.009668,0.051413,34.3786,0.992366,0.607307,0.1375,0.019101
task_obj_swap_joint_mask_276754,0.75,0.017651,0.097093,31.2423,0.98479,0.502838,0.20248,0.027408
task_obj_swap_joint_mask_276754,0.6,0.030048,0.150234,29.0167,0.972715,0.428958,0.266,0.035413
task_obj_swap_joint_mask_276754,0.5,0.032775,0.186988,28.1386,0.964727,0.399398,0.274807,0.039181
task_obj_swap_joint_mask_276754,0.4,0.049883,0.211071,27.3474,0.952551,0.372936,0.360024,0.042917
task_obj_swap_joint_mask_276754,0.3,0.05254,0.243421,26.4838,0.938078,0.340848,0.386397,0.047403
task_obj_swap_joint_mask_533428,0.95,0.002746,0.016567,41.2048,0.997175,0.883124,0.084651,0.008704
task_obj_swap_joint_mask_533428,0.85,0.005751,0.054229,35.7799,0.991534,0.728332,0.137199,0.016255
task_obj_swap_joint_mask_533428,0.75,0.009705,0.084772,33.469,0.985593,0.661922,0.175087,0.02121
task_obj_swap_joint_mask_533428,0.6,0.015474,0.123402,31.6574,0.977259,0.607498,0.227194,0.026129
task_obj_swap_joint_mask_533428,0.5,0.01851,0.144342,30.8502,0.971552,0.581998,0.240038,0.028674
task_obj_swap_joint_mask_533428,0.4,0.031448,0.167941,30.0256,0.964072,0.556299,0.277473,0.03153
task_obj_swap_joint_mask_533428,0.3,0.043821,0.204307,29.0334,0.952582,0.524449,0.302327,0.035345
task_obj_swap_rand_mask_417469,0.95,0.001418,0.015922,41.0896,0.995284,0.902992,0.166514,0.00882
task_obj_swap_rand_mask_417469,0.85,0.003685,0.043256,36.719,0.988182,0.765012,0.200406,0.01459
task_obj_swap_rand_mask_417469,0.75,0.010338,0.06998,34.2483,0.980484,0.691434,0.297075,0.01939
task_obj_swap_rand_mask_417469,0.6,0.013966,0.107305,32.1102,0.969726,0.625773,0.35398,0.024802
task_obj_swap_rand_mask_417469,0.5,0.021738,0.12909,31.1776,0.963245,0.594909,0.361881,0.027613
task_obj_swap_rand_mask_417469,0.4,0.031411,0.157979,30.2975,0.95543,0.562269,0.394767,0.030558
task_obj_swap_rand_mask_417469,0.3,0.047482,0.203041,29.1977,0.94136,0.52069,0.399887,0.034683
