image,kind,param,r_lo,r_hi,energy_frac,energy_keep
task_attr_mod_color_32648,residual,,0.5303,0.7071,0.128268,
task_attr_mod_color_32648,residual,,0.7071,0.8839,0.173944,
task_attr_mod_color_32648,residual,,0.8839,1.0607,0.128173,
task_attr_mod_color_32648,residual,,1.0607,1.2374,0.027002,
task_attr_mod_color_32648,residual,,1.2374,1.4142,0.004349,
task_attr_mod_color_32648,blur_survived,1.0,0.0,0.1768,0.564539,0.324216
task_attr_mod_color_32648,blur_survived,1.0,0.1768,0.3536,0.370347,0.324216
task_attr_mod_color_32648,blur_survived,1.0,0.3536,0.5303,0.053691,0.324216
task_attr_mod_color_32648,blur_survived,1.0,0.5303,0.7071,0.009932,0.324216
task_attr_mod_color_32648,blur_survived,1.0,0.7071,0.8839,0.001397,0.324216
task_attr_mod_color_32648,blur_survived,1.0,0.8839,1.0607,9.3e-05,0.324216
task_attr_mod_color_32648,blur_survived,1.0,1.0607,1.2374,1e-06,0.324216
task_attr_mod_color_32648,blur_survived,1.0,1.2374,1.4142,0.0,0.324216
task_attr_mod_color_32648,blur_survived,2.0,0.0,0.1768,0.813165,0.143526
task_attr_mod_color_32648,blur_survived,2.0,0.1768,0.3536,0.185588,0.143526
task_attr_mod_color_32648,blur_survived,2.0,0.3536,0.5303,0.001202,0.143526
task_attr_mod_color_32648,blur_survived,2.0,0.5303,0.7071,2.2e-05,0.143526
task_attr_mod_color_32648,blur_survived,2.0,0.7071,0.8839,1.5e-05,0.143526
task_attr_mod_color_32648,blur_survived,2.0,0.8839,1.0607,9e-06,0.143526
task_attr_mod_color_32648,blur_survived,2.0,1.0607,1.2374,0.0,0.143526
task_attr_mod_color_32648,blur_survived,2.0,1.2374,1.4142,0.0,0.143526
task_attr_mod_color_32648,crop_warped,0.1,0.0,0.1768,0.369443,
task_attr_mod_color_32648,crop_warped,0.1,0.1768,0.3536,0.226009,
task_attr_mod_color_32648,crop_warped,0.1,0.3536,0.5303,0.140706,
task_attr_mod_color_32648,crop_warped,0.1,0.5303,0.7071,0.15718,
task_attr_mod_color_32648,crop_warped,0.1,0.7071,0.8839,0.073489,
task_attr_mod_color_32648,crop_warped,0.1,0.8839,1.0607,0.029624,
task_attr_mod_color_32648,crop_warped,0.1,1.0607,1.2374,0.003291,
task_attr_mod_color_32648,crop_warped,0.1,1.2374,1.4142,0.000257,
task_attr_mod_color_32648,crop_warped,0.15,0.0,0.1768,0.424259,
task_attr_mod_color_32648,crop_warped,0.15,0.1768,0.3536,0.213443,
task_attr_mod_color_32648,crop_warped,0.15,0.3536,0.5303,0.175071,
task_attr_mod_color_32648,crop_warped,0.15,0.5303,0.7071,0.132775,
task_attr_mod_color_32648,crop_warped,0.15,0.7071,0.8839,0.04325,
task_attr_mod_color_32648,crop_warped,0.15,0.8839,1.0607,0.010342,
task_attr_mod_color_32648,crop_warped,0.15,1.0607,1.2374,0.000816,
task_attr_mod_color_32648,crop_warped,0.15,1.2374,1.4142,4.4e-05,
task_attr_mod_color_6205,residual,,0.0,0.1768,0.185684,
task_attr_mod_color_6205,residual,,0.1768,0.3536,0.299816,
task_attr_mod_color_6205,residual,,0.3536,0.5303,0.169028,
task_attr_mod_color_6205,residual,,0.5303,0.7071,0.156316,
task_attr_mod_color_6205,residual,,0.7071,0.8839,0.118394,
task_attr_mod_color_6205,residual,,0.8839,1.0607,0.055997,
task_attr_mod_color_6205,residual,,1.0607,1.2374,0.012734,
task_attr_mod_color_6205,residual,,1.2374,1.4142,0.002031,
task_attr_mod_color_6205,blur_survived,1.0,0.0,0.1768,0.452646,0.382698
task_attr_mod_color_6205,blur_survived,1.0,0.1768,0.3536,0.453829,0.382698
task_attr_mod_color_6205,blur_survived,1.0,0.3536,0.5303,0.080329,0.382698
task_attr_mod_color_6205,blur_survived,1.0,0.5303,0.7071,0.012123,0.382698
task_attr_mod_color_6205,blur_survived,1.0,0.7071,0.8839,0.001014,0.382698
task_attr_mod_color_6205,blur_survived,1.0,0.8839,1.0607,5.9e-05,0.382698
task_attr_mod_color_6205,blur_survived,1.0,1.0607,1.2374,1e-06,0.382698
task_attr_mod_color_6205,blur_survived,1.0,1.2374,1.4142,0.0,0.382698
task_attr_mod_color_6205,blur_survived,2.0,0.0,0.1768,0.758237,0.149998
task_attr_mod_color_6205,blur_survived,2.0,0.1768,0.3536,0.239231,0.149998
task_attr_mod_color_6205,blur_survived,2.0,0.3536,0.5303,0.002261,0.149998
task_attr_mod_color_6205,blur_survived,2.0,0.5303,0.7071,0.000124,0.149998
task_attr_mod_color_6205,blur_survived,2.0,0.7071,0.8839,9.1e-05,0.149998
task_attr_mod_color_6205,blur_survived,2.0,0.8839,1.0607,5.5e-05,0.149998
task_attr_mod_color_6205,blur_survived,2.0,1.0607,1.2374,0.0,0.149998
task_attr_mod_color_6205,blur_survived,2.0,1.2374,1.4142,0.0,0.149998
task_attr_mod_color_6205,crop_warped,0.1,0.0,0.1768,0.311856,
task_attr_mod_color_6205,crop_warped,0.1,0.1768,0.3536,0.339532,
task_attr_mod_color_6205,crop_warped,0.1,0.3536,0.5303,0.187235,
task_attr_mod_color_6205,crop_warped,0.1,0.5303,0.7071,0.114555,
task_attr_mod_color_6205,crop_warped,0.1,0.7071,0.8839,0.031016,
task_attr_mod_color_6205,crop_warped,0.1,0.8839,1.0607,0.013917,
task_attr_mod_color_6205,crop_warped,0.1,1.0607,1.2374,0.001759,
task_attr_mod_color_6205,crop_warped,0.1,1.2374,1.4142,0.000129,
task_attr_mod_color_6205,crop_warped,0.15,0.0,0.1768,0.3775,
task_attr_mod_color_6205,crop_warped,0.15,0.1768,0.3536,0.328514,
task_attr_mod_color_6205,crop_warped,0.15,0.3536,0.5303,0.196413,
task_attr_mod_color_6205,crop_warped,0.15,0.5303,0.7071,0.07264,
task_attr_mod_color_6205,crop_warped,0.15,0.7071,0.8839,0.016839,
task_attr_mod_color_6205,crop_warped,0.15,0.8839,1.0607,0.007603,
task_attr_mod_color_6205,crop_warped,0.15,1.0607,1.2374,0.000461,
task_attr_mod_color_6205,crop_warped,0.15,1.2374,1.4142,2.8e-05,
task_env_weather_112463,residual,,0.0,0.1768,0.331919,
task_env_weather_112463,residual,,0.1768,0.3536,0.418593,
task_env_weather_112463,residual,,0.3536,0.5303,0.121822,
task_env_weather_112463,residual,,0.5303,0.7071,0.069376,
task_env_weather_112463,residual,,0.7071,0.8839,0.03965,
task_env_weather_112463,residual,,0.8839,1.0607,0.015348,
task_env_weather_112463,residual,,1.0607,1.2374,0.002884,
task_env_weather_112463,residual,,1.2374,1.4142,0.000407,
task_env_weather_112463,blur_survived,1.0,0.0,0.1768,0.52045,0.537328
task_env_weather_112463,blur_survived,1.0,0.1768,0.3536,0.432646,0.537328
task_env_weather_112463,blur_survived,1.0,0.3536,0.5303,0.040886,0.537328
task_env_weather_112463,blur_survived,1.0,0.5303,0.7071,0.00466,0.537328
task_env_weather_112463,blur_survived,1.0,0.7071,0.8839,0.000909,0.537328
task_env_weather_112463,blur_survived,1.0,0.8839,1.0607,0.000446,0.537328
task_env_weather_112463,blur_survived,1.0,1.0607,1.2374,2e-06,0.537328
task_env_weather_112463,blur_survived,1.0,1.2374,1.4142,0.0,0.537328
task_env_weather_112463,blur_survived,2.0,0.0,0.1768,0.759173,0.224448
task_env_weather_112463,blur_survived,2.0,0.1768,0.3536,0.233682,0.224448
task_env_weather_112463,blur_survived,2.0,0.3536,0.5303,0.003736,0.224448
task_env_weather_112463,blur_survived,2.0,0.5303,0.7071,0.001555,0.224448
task_env_weather_112463,blur_survived,2.0,0.7071,0.8839,0.001148,0.224448
task_env_weather_112463,blur_survived,2.0,0.8839,1.0607,0.000703,0.224448
task_env_weather_112463,blur_survived,2.0,1.0607,1.2374,2e-06,0.224448
task_env_weather_112463,blur_survived,2.0,1.2374,1.4142,0.0,0.224448
task_env_weather_112463,crop_warped,0.1,0.0,0.1768,0.469278,
task_env_weather_112463,crop_warped,0.1,0.1768,0.3536,0.361976,
task_env_weather_112463,crop_warped,0.1,0.3536,0.5303,0.11085,
task_env_weather_112463,crop_warped,0.1,0.5303,0.7071,0.043216,
task_env_weather_112463,crop_warped,0.1,0.7071,0.8839,0.009494,
task_env_weather_112463,crop_warped,0.1,0.8839,1.0607,0.004714,
task_env_weather_112463,crop_warped,0.1,1.0607,1.2374,0.000442,
task_env_weather_112463,crop_warped,0.1,1.2374,1.4142,3e-05,
task_env_weather_112463,crop_warped,0.15,0.0,0.1768,0.57019,
task_env_weather_112463,crop_warped,0.15,0.1768,0.3536,0.308507,
task_env_weather_112463,crop_warped,0.15,0.3536,0.5303,0.090774,
task_env_weather_112463,crop_warped,0.15,0.5303,0.7071,0.022695,
task_env_weather_112463,crop_warped,0.15,0.7071,0.8839,0.004881,
task_env_weather_112463,crop_warped,0.15,0.8839,1.0607,0.002816,
task_env_weather_112463,crop_warped,0.15,1.0607,1.2374,0.000128,
task_env_weather_112463,crop_warped,0.15,1.2374,1.4142,9e-06,
task_obj_remove_380621,residual,,0.0,0.1768,0.094117,
task_obj_remove_380621,residual,,0.1768,0.3536,0.235456,
task_obj_remove_380621,residual,,0.3536,0.5303,0.214569,
task_obj_remove_380621,residual,,0.5303,0.7071,0.186874,
task_obj_remove_380621,residual,,0.7071,0.8839,0.132155,
task_obj_remove_380621,residual,,0.8839,1.0607,0.081373,
task_obj_remove_380621,residual,,1.0607,1.2374,0.036819,
task_obj_remove_380621,residual,,1.2374,1.4142,0.018636,
task_obj_remove_380621,blur_survived,1.0,0.0,0.1768,0.338526,0.23741
task_obj_remove_380621,blur_survived,1.0,0.1768,0.3536,0.495418,0.23741
task_obj_remove_380621,blur_survived,1.0,0.3536,0.5303,0.142074,0.23741
task_obj_remove_380621,blur_survived,1.0,0.5303,0.7071,0.021842,0.23741
task_obj_remove_380621,blur_survived,1.0,0.7071,0.8839,0.001889,0.23741
task_obj_remove_380621,blur_survived,1.0,0.8839,1.0607,0.000247,0.23741
task_obj_remove_380621,blur_survived,1.0,1.0607,1.2374,4e-06,0.23741
task_obj_remove_380621,blur_survived,1.0,1.2374,1.4142,0.0,0.23741
task_obj_remove_380621,blur_survived,2.0,0.0,0.1768,0.709604,0.074182
task_obj_remove_380621,blur_survived,2.0,0.1768,0.3536,0.283662,0.074182
task_obj_remove_380621,blur_survived,2.0,0.3536,0.5303,0.005185,0.074182
task_obj_remove_380621,blur_survived,2.0,0.5303,0.7071,0.000708,0.074182
task_obj_remove_380621,blur_survived,2.0,0.7071,0.8839,0.00052,0.074182
task_obj_remove_380621,blur_survived,2.0,0.8839,1.0607,0.000321,0.074182
task_obj_remove_380621,blur_survived,2.0,1.0607,1.2374,0.0,0.074182
task_obj_remove_380621,blur_survived,2.0,1.2374,1.4142,0.0,0.074182
task_obj_remove_380621,crop_warped,0.1,0.0,0.1768,0.171332,
task_obj_remove_380621,crop_warped,0.1,0.1768,0.3536,0.34047,
task_obj_remove_380621,crop_warped,0.1,0.3536,0.5303,0.263215,
task_obj_remove_380621,crop_warped,0.1,0.5303,0.7071,0.141389,
task_obj_remove_380621,crop_warped,0.1,0.7071,0.8839,0.050081,
task_obj_remove_380621,crop_warped,0.1,0.8839,1.0607,0.026497,
task_obj_remove_380621,crop_warped,0.1,1.0607,1.2374,0.006457,
task_obj_remove_380621,crop_warped,0.1,1.2374,1.4142,0.00056,
task_obj_remove_380621,crop_warped,0.15,0.0,0.1768,0.219948,
task_obj_remove_380621,crop_warped,0.15,0.1768,0.3536,0.37129,
task_obj_remove_380621,crop_warped,0.15,0.3536,0.5303,0.259759,
task_obj_remove_380621,crop_warped,0.15,0.5303,0.7071,0.099075,
task_obj_remove_380621,crop_warped,0.15,0.7071,0.8839,0.032979,
task_obj_remove_380621,crop_warped,0.15,0.8839,1.0607,0.015497,
task_obj_remove_380621,crop_warped,0.15,1.0607,1.2374,0.001397,
task_obj_remove_380621,crop_warped,0.15,1.2374,1.4142,5.5e-05,
task_obj_swap_joint_mask_276754,residual,,0.0,0.1768,0.060608,
task_obj_swap_joint_mask_276754,residual,,0.1768,0.3536,0.117944,
task_obj_swap_joint_mask_276754,residual,,0.3536,0.5303,0.150737,
task_obj_swap_joint_mask_276754,residual,,0.5303,0.7071,0.203782,
task_obj_swap_joint_mask_276754,residual,,0.7071,0.8839,0.238652,
task_obj_swap_joint_mask_276754,residual,,0.8839,1.0607,0.176882,
task_obj_swap_joint_mask_276754,residual,,1.0607,1.2374,0.045261,
task_obj_swap_joint_mask_276754,residual,,1.2374,1.4142,0.006125,
task_obj_swap_joint_mask_276754,blur_survived,1.0,0.0,0.1768,0.385649,0.142455
task_obj_swap_joint_mask_276754,blur_survived,1.0,0.1768,0.3536,0.406362,0.142455
task_obj_swap_joint_mask_276754,blur_survived,1.0,0.3536,0.5303,0.165525,0.142455
task_obj_swap_joint_mask_276754,blur_survived,1.0,0.5303,0.7071,0.037193,0.142455
task_obj_swap_joint_mask_276754,blur_survived,1.0,0.7071,0.8839,0.004749,0.142455
task_obj_swap_joint_mask_276754,blur_survived,1.0,0.8839,1.0607,0.000514,0.142455
task_obj_swap_joint_mask_276754,blur_survived,1.0,1.0607,1.2374,7e-06,0.142455
task_obj_swap_joint_mask_276754,blur_survived,1.0,1.2374,1.4142,0.0,0.142455
task_obj_swap_joint_mask_276754,blur_survived,2.0,0.0,0.1768,0.809409,0.051211
task_obj_swap_joint_mask_276754,blur_survived,2.0,0.1768,0.3536,0.1842,0.051211
task_obj_swap_joint_mask_276754,blur_survived,2.0,0.3536,0.5303,0.005087,0.051211
task_obj_swap_joint_mask_276754,blur_survived,2.0,0.5303,0.7071,0.00061,0.051211
task_obj_swap_joint_mask_276754,blur_survived,2.0,0.7071,0.8839,0.000431,0.051211
task_obj_swap_joint_mask_276754,blur_survived,2.0,0.8839,1.0607,0.000264,0.051211
task_obj_swap_joint_mask_276754,blur_survived,2.0,1.0607,1.2374,0.0,0.051211
task_obj_swap_joint_mask_276754,blur_survived,2.0,1.2374,1.4142,0.0,0.051211
task_obj_swap_joint_mask_276754,crop_warped,0.1,0.0,0.1768,0.119999,
task_obj_swap_joint_mask_276754,crop_warped,0.1,0.1768,0.3536,0.215396,
task_obj_swap_joint_mask_276754,crop_warped,0.1,0.3536,0.5303,0.25186,
task_obj_swap_joint_mask_276754,crop_warped,0.1,0.5303,0.7071,0.248955,
task_obj_swap_joint_mask_276754,crop_warped,0.1,0.7071,0.8839,0.113627,
task_obj_swap_joint_mask_276754,crop_warped,0.1,0.8839,1.0607,0.043775,
task_obj_swap_joint_mask_276754,crop_warped,0.1,1.0607,1.2374,0.00595,
task_obj_swap_joint_mask_276754,crop_warped,0.1,1.2374,1.4142,0.000438,
task_obj_swap_joint_mask_276754,crop_warped,0.15,0.0,0.1768,0.155015,
task_obj_swap_joint_mask_276754,crop_warped,0.15,0.1768,0.3536,0.244981,
task_obj_swap_joint_mask_276754,crop_warped,0.15,0.3536,0.5303,0.302122,
task_obj_swap_joint_mask_276754,crop_warped,0.15,0.5303,0.7071,0.214684,
task_obj_swap_joint_mask_276754,crop_warped,0.15,0.7071,0.8839,0.063538,
task_obj_swap_joint_mask_276754,crop_warped,0.15,0.8839,1.0607,0.018086,
task_obj_swap_joint_mask_276754,crop_warped,0.15,1.0607,1.2374,0.001483,
task_obj_swap_joint_mask_276754,crop_warped,0.15,1.2374,1.4142,9.2e-05,
task_obj_swap_joint_mask_533428,residual,,0.0,0.1768,0.160105,
task_obj_swap_joint_mask_533428,residual,,0.1768,0.3536,0.225816,
task_obj_swap_joint_mask_533428,residual,,0.3536,0.5303,0.209918,
task_obj_swap_joint_mask_533428,residual,,0.5303,0.7071,0.201484,
task_obj_swap_joint_mask_533428,residual,,0.7071,0.8839,0.135089,
task_obj_swap_joint_mask_533428,residual,,0.8839,1.0607,0.054989,
task_obj_swap_joint_mask_533428,residual,,1.0607,1.2374,0.011143,
task_obj_swap_joint_mask_533428,residual,,1.2374,1.4142,0.001458,
task_obj_swap_joint_mask_533428,blur_survived,1.0,0.0,0.1768,0.468035,0.298214
task_obj_swap_joint_mask_533428,blur_survived,1.0,0.1768,0.3536,0.395465,0.298214
task_obj_swap_joint_mask_533428,blur_survived,1.0,0.3536,0.5303,0.114697,0.298214
task_obj_swap_joint_mask_533428,blur_survived,1.0,0.5303,0.7071,0.019642,0.298214
task_obj_swap_joint_mask_533428,blur_survived,1.0,0.7071,0.8839,0.001817,0.298214
task_obj_swap_joint_mask_533428,blur_survived,1.0,0.8839,1.0607,0.000341,0.298214
task_obj_swap_joint_mask_533428,blur_survived,1.0,1.0607,1.2374,3e-06,0.298214
task_obj_swap_joint_mask_533428,blur_survived,1.0,1.2374,1.4142,0.0,0.298214
task_obj_swap_joint_mask_533428,blur_survived,2.0,0.0,0.1768,0.79627,0.115454
task_obj_swap_joint_mask_533428,blur_survived,2.0,0.1768,0.3536,0.197229,0.115454
task_obj_swap_joint_mask_533428,blur_survived,2.0,0.3536,0.5303,0.004446,0.115454
task_obj_swap_joint_mask_533428,blur_survived,2.0,0.5303,0.7071,0.000945,0.115454
task_obj_swap_joint_mask_533428,blur_survived,2.0,0.7071,0.8839,0.000688,0.115454
task_obj_swap_joint_mask_533428,blur_survived,2.0,0.8839,1.0607,0.000422,0.115454
task_obj_swap_joint_mask_533428,blur_survived,2.0,1.0607,1.2374,1e-06,0.115454
task_obj_swap_joint_mask_533428,blur_survived,2.0,1.2374,1.4142,0.0,0.115454
task_obj_swap_joint_mask_533428,crop_warped,0.1,0.0,0.1768,0.250666,
task_obj_swap_joint_mask_533428,crop_warped,0.1,0.1768,0.3536,0.310834,
task_obj_swap_joint_mask_533428,crop_warped,0.1,0.3536,0.5303,0.260642,
task_obj_swap_joint_mask_533428,crop_warped,0.1,0.5303,0.7071,0.132605,
task_obj_swap_joint_mask_533428,crop_warped,0.1,0.7071,0.8839,0.029959,
task_obj_swap_joint_mask_533428,crop_warped,0.1,0.8839,1.0607,0.013563,
task_obj_swap_joint_mask_533428,crop_warped,0.1,1.0607,1.2374,0.001628,
task_obj_swap_joint_mask_533428,crop_warped,0.1,1.2374,1.4142,0.000102,
