image,block,theta,r_lo,r_hi,t_frac,t_step,unet_move,latent_move,dists_cost,move_per_dists
task_obj_remove_380621,32,1.0,0.5303,0.7071,0.95,949,1.045,19.4213,0.01149,90.9225
task_obj_remove_380621,32,1.0,0.7071,0.8839,0.05,50,31.22425,16.882,0.00225,13872.2029
task_obj_remove_380621,32,1.0,0.7071,0.8839,0.2,200,19.68185,16.882,0.00225,8744.1832
task_obj_remove_380621,32,1.0,0.7071,0.8839,0.4,400,11.36061,16.882,0.00225,5047.2537
task_obj_remove_380621,32,1.0,0.7071,0.8839,0.6,599,6.29356,16.882,0.00225,2796.0821
task_obj_remove_380621,32,1.0,0.7071,0.8839,0.8,799,2.57233,16.882,0.00225,1142.8253
task_obj_remove_380621,32,1.0,0.7071,0.8839,0.95,949,0.95972,16.882,0.00225,426.3818
task_obj_remove_380621,32,1.0,0.8839,1.0607,0.05,50,22.56391,10.9281,0.00072,31350.6875
task_obj_remove_380621,32,1.0,0.8839,1.0607,0.2,200,12.24999,10.9281,0.00072,17020.3521
task_obj_remove_380621,32,1.0,0.8839,1.0607,0.4,400,8.23083,10.9281,0.00072,11436.058
task_obj_remove_380621,32,1.0,0.8839,1.0607,0.6,599,3.94908,10.9281,0.00072,5486.9207
task_obj_remove_380621,32,1.0,0.8839,1.0607,0.8,799,1.59842,10.9281,0.00072,2220.8785
task_obj_remove_380621,32,1.0,0.8839,1.0607,0.95,949,0.67732,10.9281,0.00072,941.0783
task_obj_remove_380621,32,1.0,1.0607,1.2374,0.05,50,9.13413,3.1576,5e-05,197991.2558
task_obj_remove_380621,32,1.0,1.0607,1.2374,0.2,200,4.55498,3.1576,5e-05,98733.6331
task_obj_remove_380621,32,1.0,1.0607,1.2374,0.4,400,2.26488,3.1576,5e-05,49093.5142
task_obj_remove_380621,32,1.0,1.0607,1.2374,0.6,599,1.17987,3.1576,5e-05,25574.876
task_obj_remove_380621,32,1.0,1.0607,1.2374,0.8,799,0.48323,3.1576,5e-05,10474.4089
task_obj_remove_380621,32,1.0,1.0607,1.2374,0.95,949,0.19221,3.1576,5e-05,4166.3492
task_obj_remove_380621,32,1.0,1.2374,1.4142,0.05,50,1.68379,0.5825,1e-05,243528.9828
task_obj_remove_380621,32,1.0,1.2374,1.4142,0.2,200,0.8468,0.5825,1e-05,122473.6034
task_obj_remove_380621,32,1.0,1.2374,1.4142,0.4,400,0.43568,0.5825,1e-05,63013.5259
task_obj_remove_380621,32,1.0,1.2374,1.4142,0.6,599,0.22251,0.5825,1e-05,32182.3405
task_obj_remove_380621,32,1.0,1.2374,1.4142,0.8,799,0.08693,0.5825,1e-05,12572.6013
task_obj_remove_380621,32,1.0,1.2374,1.4142,0.95,949,0.02967,0.5825,1e-05,4291.267
