image,condition,purifier,energy_ratio,cosine,cos_vs_warped
task_attr_mod_color_184837,ours_ph_n,crop_resize0.1,0.66028,0.00227,0.99986
task_attr_mod_color_184837,ours_ph_n,crop_resize0.15,0.46803,-0.00347,0.99988
task_attr_mod_color_32648,ours_ph_n,identity,1.0,0.99996,
task_attr_mod_color_32648,ours_ph_n,jpeg75,0.66882,0.39598,
task_attr_mod_color_32648,ours_ph_n,jpeg50,0.37033,0.19136,
task_attr_mod_color_32648,ours_ph_n,jpeg30,0.26087,0.11672,
task_attr_mod_color_32648,ours_ph_n,blur1,0.02227,0.3768,
task_attr_mod_color_32648,ours_ph_n,blur2,0.00708,0.1455,
task_attr_mod_color_32648,ours_ph_n,crop_resize0.1,0.6081,-0.00164,0.99979
task_attr_mod_color_32648,ours_ph_n,crop_resize0.15,0.66464,0.00258,0.9998
task_attr_mod_color_6205,ours_ph_n,identity,1.0,0.99996,
task_attr_mod_color_6205,ours_ph_n,jpeg75,1.03147,0.53862,
task_attr_mod_color_6205,ours_ph_n,jpeg50,0.63573,0.31054,
task_attr_mod_color_6205,ours_ph_n,jpeg30,0.55112,0.22929,
task_attr_mod_color_6205,ours_ph_n,blur1,0.07723,0.43925,
task_attr_mod_color_6205,ours_ph_n,blur2,0.02961,0.29664,
task_attr_mod_color_6205,ours_ph_n,crop_resize0.1,0.74618,0.00054,0.99976
task_attr_mod_color_6205,ours_ph_n,crop_resize0.15,0.83189,0.00123,0.99978
task_env_weather_112463,ours_ph_n,identity,1.0,1.0,
task_env_weather_112463,ours_ph_n,jpeg75,0.88881,0.53693,
task_env_weather_112463,ours_ph_n,jpeg50,0.48789,0.31881,
task_env_weather_112463,ours_ph_n,jpeg30,0.46994,0.24031,
task_env_weather_112463,ours_ph_n,blur1,0.08205,0.43609,
task_env_weather_112463,ours_ph_n,blur2,0.03397,0.30801,
task_env_weather_112463,ours_ph_n,crop_resize0.1,0.58255,0.00219,0.99993
task_env_weather_112463,ours_ph_n,crop_resize0.15,0.57305,0.00649,0.99996
task_obj_remove_380621,ours_ph_n,identity,1.0,0.99998,
task_obj_remove_380621,ours_ph_n,jpeg75,1.31945,0.5839,
task_obj_remove_380621,ours_ph_n,jpeg50,1.30523,0.40545,
task_obj_remove_380621,ours_ph_n,jpeg30,1.18105,0.30834,
task_obj_remove_380621,ours_ph_n,blur1,0.06309,0.47949,
task_obj_remove_380621,ours_ph_n,blur2,0.01714,0.26406,
task_obj_remove_380621,ours_ph_n,crop_resize0.1,0.7103,-0.00515,0.99875
task_obj_remove_380621,ours_ph_n,crop_resize0.15,0.75306,0.00233,0.9985
task_obj_swap_joint_mask_276754,ours_ph_n,identity,1.0,0.99996,
task_obj_swap_joint_mask_276754,ours_ph_n,jpeg75,1.84419,0.62015,
task_obj_swap_joint_mask_276754,ours_ph_n,jpeg50,1.66927,0.41137,
task_obj_swap_joint_mask_276754,ours_ph_n,jpeg30,1.30743,0.29825,
task_obj_swap_joint_mask_276754,ours_ph_n,blur1,0.0617,0.48652,
task_obj_swap_joint_mask_276754,ours_ph_n,blur2,0.0203,0.24302,
task_obj_swap_joint_mask_276754,ours_ph_n,crop_resize0.1,0.67835,0.00041,0.9995
task_obj_swap_joint_mask_276754,ours_ph_n,crop_resize0.15,0.72774,0.00053,0.99955
task_attr_mod_color_11699,ours_pg_q20,identity,1.0,0.99984,
task_attr_mod_color_11699,ours_pg_q20,jpeg75,1.4867,0.92619,
task_attr_mod_color_11699,ours_pg_q20,jpeg50,1.13447,0.7658,
task_attr_mod_color_11699,ours_pg_q20,jpeg30,0.99718,0.65023,
task_attr_mod_color_11699,ours_pg_q20,blur1,0.2049,0.63874,
task_attr_mod_color_11699,ours_pg_q20,blur2,0.0767,0.48678,
task_attr_mod_color_11699,ours_pg_q20,crop_resize0.1,0.81497,0.00601,0.99976
task_attr_mod_color_11699,ours_pg_q20,crop_resize0.15,0.97381,-0.00232,0.99975
task_attr_mod_color_136767,ours_pg_q20,identity,1.0,0.99984,
task_attr_mod_color_136767,ours_pg_q20,jpeg75,1.47203,0.9319,
task_attr_mod_color_136767,ours_pg_q20,jpeg50,1.13331,0.7804,
task_attr_mod_color_136767,ours_pg_q20,jpeg30,0.97573,0.66676,
task_attr_mod_color_136767,ours_pg_q20,blur1,0.21772,0.64034,
task_attr_mod_color_136767,ours_pg_q20,blur2,0.09887,0.48783,
task_attr_mod_color_136767,ours_pg_q20,crop_resize0.1,0.877,0.00632,0.99961
task_attr_mod_color_136767,ours_pg_q20,crop_resize0.15,0.99628,0.00232,0.99959
task_attr_mod_color_184837,ours_pg_q20,identity,1.0,1.00017,
task_attr_mod_color_184837,ours_pg_q20,jpeg75,1.3388,0.94204,
task_attr_mod_color_184837,ours_pg_q20,jpeg50,1.28027,0.83756,
task_attr_mod_color_184837,ours_pg_q20,jpeg30,1.1963,0.72895,
task_attr_mod_color_184837,ours_pg_q20,blur1,0.24062,0.67976,
task_attr_mod_color_184837,ours_pg_q20,blur2,0.09389,0.52737,
task_attr_mod_color_184837,ours_pg_q20,crop_resize0.1,0.70644,0.00637,0.99995
task_attr_mod_color_184837,ours_pg_q20,crop_resize0.15,0.48447,0.00039,0.99994
task_attr_mod_color_32648,ours_pg_q20,identity,1.0,1.00001,
task_attr_mod_color_32648,ours_pg_q20,jpeg75,1.756,0.92487,
task_attr_mod_color_32648,ours_pg_q20,jpeg50,0.79967,0.61217,
task_attr_mod_color_32648,ours_pg_q20,jpeg30,0.57089,0.46793,
task_attr_mod_color_32648,ours_pg_q20,blur1,0.08748,0.46568,
task_attr_mod_color_32648,ours_pg_q20,blur2,0.04538,0.29477,
task_attr_mod_color_32648,ours_pg_q20,crop_resize0.1,0.71665,0.01294,0.99943
task_attr_mod_color_32648,ours_pg_q20,crop_resize0.15,0.81742,0.01138,0.99935
task_attr_mod_color_6205,ours_pg_q20,identity,1.0,0.99979,
task_attr_mod_color_6205,ours_pg_q20,jpeg75,1.6794,0.92375,
task_attr_mod_color_6205,ours_pg_q20,jpeg50,0.96354,0.69586,
task_attr_mod_color_6205,ours_pg_q20,jpeg30,0.78493,0.57143,
task_attr_mod_color_6205,ours_pg_q20,blur1,0.19906,0.60933,
task_attr_mod_color_6205,ours_pg_q20,blur2,0.08656,0.4756,
task_attr_mod_color_6205,ours_pg_q20,crop_resize0.1,0.9138,0.00649,0.9998
task_attr_mod_color_6205,ours_pg_q20,crop_resize0.15,1.02794,-0.00346,0.99978
task_env_weather_112463,ours_pg_q20,identity,1.0,0.99978,
task_env_weather_112463,ours_pg_q20,jpeg75,1.78332,0.94312,
task_env_weather_112463,ours_pg_q20,jpeg50,0.85547,0.68058,
task_env_weather_112463,ours_pg_q20,jpeg30,0.68697,0.56535,
task_env_weather_112463,ours_pg_q20,blur1,0.22175,0.62009,
task_env_weather_112463,ours_pg_q20,blur2,0.09973,0.50723,
task_env_weather_112463,ours_pg_q20,crop_resize0.1,0.70704,-0.00256,0.9999
task_env_weather_112463,ours_pg_q20,crop_resize0.15,0.70181,-0.0003,0.99992
task_obj_remove_380621,ours_pg_q20,identity,1.0,0.99981,
task_obj_remove_380621,ours_pg_q20,jpeg75,1.51785,0.92818,
task_obj_remove_380621,ours_pg_q20,jpeg50,1.18522,0.75818,
task_obj_remove_380621,ours_pg_q20,jpeg30,1.14052,0.64284,
task_obj_remove_380621,ours_pg_q20,blur1,0.12028,0.549,
task_obj_remove_380621,ours_pg_q20,blur2,0.04953,0.35175,
task_obj_remove_380621,ours_pg_q20,crop_resize0.1,0.77945,0.02373,0.99895
task_obj_remove_380621,ours_pg_q20,crop_resize0.15,0.85765,0.01509,0.99888
task_obj_swap_joint_mask_276754,ours_pg_q20,identity,1.0,1.00009,
task_obj_swap_joint_mask_276754,ours_pg_q20,jpeg75,1.37849,0.90974,
task_obj_swap_joint_mask_276754,ours_pg_q20,jpeg50,1.45484,0.79089,
task_obj_swap_joint_mask_276754,ours_pg_q20,jpeg30,1.39564,0.66148,
task_obj_swap_joint_mask_276754,ours_pg_q20,blur1,0.10955,0.53027,
task_obj_swap_joint_mask_276754,ours_pg_q20,blur2,0.05423,0.3235,
task_obj_swap_joint_mask_276754,ours_pg_q20,crop_resize0.1,0.75853,0.02748,0.99942
task_obj_swap_joint_mask_276754,ours_pg_q20,crop_resize0.15,0.84752,0.02068,0.9994
task_attr_mod_color_11699,dct_aj85,identity,1.0,0.99979,
task_attr_mod_color_11699,dct_aj85,jpeg75,2.05296,0.85472,
task_attr_mod_color_11699,dct_aj85,jpeg50,0.44884,0.22483,
task_attr_mod_color_11699,dct_aj85,jpeg30,0.24833,0.09797,
task_attr_mod_color_11699,dct_aj85,blur1,0.02447,0.36257,
task_attr_mod_color_11699,dct_aj85,blur2,0.00713,0.15374,
task_attr_mod_color_11699,dct_aj85,crop_resize0.1,0.53464,0.00278,0.99985
task_attr_mod_color_11699,dct_aj85,crop_resize0.15,0.56551,0.00208,0.99982
task_attr_mod_color_136767,dct_aj85,identity,1.0,0.99982,
task_attr_mod_color_136767,dct_aj85,jpeg75,1.6997,0.79577,
task_attr_mod_color_136767,dct_aj85,jpeg50,0.49832,0.29569,
task_attr_mod_color_136767,dct_aj85,jpeg30,0.29031,0.18046,
task_attr_mod_color_136767,dct_aj85,blur1,0.05889,0.38628,
task_attr_mod_color_136767,dct_aj85,blur2,0.03981,0.23244,
task_attr_mod_color_136767,dct_aj85,crop_resize0.1,0.57066,0.0218,0.99938
task_attr_mod_color_136767,dct_aj85,crop_resize0.15,0.59823,0.00574,0.99939
task_attr_mod_color_184837,dct_aj85,identity,1.0,0.99978,
task_attr_mod_color_184837,dct_aj85,jpeg75,2.01228,0.85212,
task_attr_mod_color_184837,dct_aj85,jpeg50,0.78372,0.29891,
task_attr_mod_color_184837,dct_aj85,jpeg30,0.44016,0.13171,
task_attr_mod_color_184837,dct_aj85,blur1,0.02368,0.36285,
task_attr_mod_color_184837,dct_aj85,blur2,0.00852,0.14755,
task_attr_mod_color_184837,dct_aj85,crop_resize0.1,0.52158,0.00184,0.9998
task_attr_mod_color_184837,dct_aj85,crop_resize0.15,0.49441,0.00243,0.99982
task_attr_mod_color_32648,dct_aj85,identity,1.0,0.99991,
task_attr_mod_color_32648,dct_aj85,jpeg75,1.09913,0.6642,
task_attr_mod_color_32648,dct_aj85,jpeg50,0.23564,0.26025,
task_attr_mod_color_32648,dct_aj85,jpeg30,0.13861,0.17712,
task_attr_mod_color_32648,dct_aj85,blur1,0.06022,0.40139,
task_attr_mod_color_32648,dct_aj85,blur2,0.0402,0.23265,
task_attr_mod_color_32648,dct_aj85,crop_resize0.1,0.57575,0.03806,0.99954
task_attr_mod_color_32648,dct_aj85,crop_resize0.15,0.61071,0.03006,0.99958
task_attr_mod_color_6205,dct_aj85,identity,1.0,0.9998,
task_attr_mod_color_6205,dct_aj85,jpeg75,2.03228,0.8338,
task_attr_mod_color_6205,dct_aj85,jpeg50,0.21836,0.15774,
task_attr_mod_color_6205,dct_aj85,jpeg30,0.13724,0.08074,
task_attr_mod_color_6205,dct_aj85,blur1,0.02731,0.37085,
task_attr_mod_color_6205,dct_aj85,blur2,0.00922,0.15944,
task_attr_mod_color_6205,dct_aj85,crop_resize0.1,0.54976,0.00236,0.99985
task_attr_mod_color_6205,dct_aj85,crop_resize0.15,0.57029,0.00087,0.99982
task_env_weather_112463,dct_aj85,identity,1.0,0.99979,
task_env_weather_112463,dct_aj85,jpeg75,2.14407,0.86511,
task_env_weather_112463,dct_aj85,jpeg50,0.13645,0.11956,
task_env_weather_112463,dct_aj85,jpeg30,0.10389,0.06017,
task_env_weather_112463,dct_aj85,blur1,0.01894,0.3578,
task_env_weather_112463,dct_aj85,blur2,0.00669,0.12857,
task_env_weather_112463,dct_aj85,crop_resize0.1,0.52221,0.00099,0.99993
task_env_weather_112463,dct_aj85,crop_resize0.15,0.5349,0.00243,0.99996
task_obj_remove_380621,dct_aj85,identity,1.0,0.9998,
task_obj_remove_380621,dct_aj85,jpeg75,1.97408,0.82404,
task_obj_remove_380621,dct_aj85,jpeg50,0.60973,0.25837,
task_obj_remove_380621,dct_aj85,jpeg30,0.37949,0.12415,
task_obj_remove_380621,dct_aj85,blur1,0.01696,0.37081,
task_obj_remove_380621,dct_aj85,blur2,0.006,0.11772,
task_obj_remove_380621,dct_aj85,crop_resize0.1,0.53001,0.00019,0.99964
task_obj_remove_380621,dct_aj85,crop_resize0.15,0.53942,0.00141,0.99953
task_obj_swap_joint_mask_276754,dct_aj85,identity,1.0,0.99982,
task_obj_swap_joint_mask_276754,dct_aj85,jpeg75,1.64189,0.77399,
task_obj_swap_joint_mask_276754,dct_aj85,jpeg50,1.33144,0.39703,
task_obj_swap_joint_mask_276754,dct_aj85,jpeg30,0.6859,0.1889,
task_obj_swap_joint_mask_276754,dct_aj85,blur1,0.03981,0.36401,
task_obj_swap_joint_mask_276754,dct_aj85,blur2,0.02471,0.18896,
task_obj_swap_joint_mask_276754,dct_aj85,crop_resize0.1,0.59628,0.01455,0.99945
task_obj_swap_joint_mask_276754,dct_aj85,crop_resize0.15,0.63975,0.00828,0.99949
