image,mode,gate,theta,dists,lpips,psnr,ssim,rms,linf,clip_fraction,degenerate_fraction,n_params
task_attr_mod_color_11699,gain,texture,0.4,0.013085,0.028113,36.6869,0.994313,0.014644,0.289818,0.004203,0.0,774144
task_attr_mod_color_11699,gain,texture,0.7,0.041462,0.071013,31.828,0.98325,0.025621,0.486274,0.008507,0.0,774144
task_attr_mod_color_11699,gain,texture,1.1,0.083288,0.133034,27.8584,0.960636,0.040465,0.753388,0.016285,0.0,774144
task_attr_mod_color_11699,gain,texture,1.6,0.128097,0.206785,24.4674,0.919893,0.05979,0.878707,0.02855,0.0,774144
task_attr_mod_color_11699,gain,texture,2.2,0.170157,0.290078,21.5433,0.850163,0.083721,1.0,0.046693,0.0,774144
task_attr_mod_color_11699,gain,texture,3.141592653589793,0.231371,0.404144,18.3109,0.696101,0.121466,1.0,0.080963,0.0,774144
task_attr_mod_color_11699,gain,band,0.1,0.006943,0.015686,39.3018,0.997009,0.010837,0.124674,0.002858,0.0,774144
task_attr_mod_color_11699,gain,band,0.2,0.031451,0.050939,33.2978,0.988324,0.021632,0.247059,0.005939,0.0,774144
task_attr_mod_color_11699,gain,band,0.4,0.094556,0.127131,27.3373,0.957313,0.042967,0.442427,0.017225,0.0,774144
task_attr_mod_color_11699,gain,band,0.7,0.163089,0.222156,22.5365,0.890937,0.074675,0.68658,0.043228,0.0,774144
task_attr_mod_color_11699,gain,band,1.1,0.22741,0.317883,18.6317,0.791576,0.117061,0.984314,0.089399,0.0,774144
task_attr_mod_color_11699,gain,band,1.6,0.284638,0.409324,15.4734,0.669527,0.168394,1.0,0.160909,0.0,774144
task_attr_mod_color_11699,gain,band,2.2,0.337017,0.498527,13.0554,0.528845,0.222449,1.0,0.252989,0.0,774144
task_attr_mod_color_11699,gain,band,3.141592653589793,0.392654,0.610896,10.7988,0.332694,0.288444,1.0,0.381026,0.0,774144
task_attr_mod_color_136767,plane,texture,0.1,5.4e-05,7.8e-05,62.1038,0.999994,0.000779,0.021983,0.004069,0.0,1560576
task_attr_mod_color_136767,plane,texture,0.2,0.000188,0.000328,56.1516,0.999975,0.001554,0.043563,0.004172,0.0,1560576
task_attr_mod_color_136767,plane,texture,0.4,0.000351,0.001412,50.1967,0.999897,0.00309,0.08559,0.004537,0.0,1560576
task_attr_mod_color_136767,plane,texture,0.7,0.000739,0.004571,45.4415,0.999688,0.005344,0.151437,0.005305,0.0,1560576
task_attr_mod_color_136767,plane,texture,1.1,0.00161,0.011296,41.6749,0.999243,0.008246,0.23834,0.006332,0.0,1560576
task_attr_mod_color_136767,plane,texture,1.6,0.003757,0.022406,38.6753,0.998456,0.011647,0.315665,0.007577,0.0,1560576
task_attr_mod_color_136767,plane,texture,2.2,0.007435,0.037123,36.3004,0.997276,0.01531,0.431552,0.008873,0.0,1560576
task_attr_mod_color_136767,plane,texture,3.141592653589793,0.014476,0.05836,34.0177,0.995287,0.019912,0.498641,0.010601,0.0,1560576
task_attr_mod_color_136767,plane,band,0.1,7.6e-05,0.000659,54.957,0.999967,0.001784,0.044137,0.004332,0.0,1560576
task_attr_mod_color_136767,plane,band,0.2,0.000261,0.003092,49.0028,0.999868,0.003546,0.087822,0.005192,0.0,1560576
task_attr_mod_color_136767,plane,band,0.4,0.001416,0.012717,43.1241,0.999477,0.006978,0.172098,0.00727,0.0,1560576
task_attr_mod_color_136767,plane,band,0.7,0.005795,0.033872,38.4821,0.99843,0.011909,0.284584,0.010165,0.0,1560576
task_attr_mod_color_136767,plane,band,1.1,0.017009,0.065203,34.9105,0.996269,0.017967,0.439601,0.013309,0.0,1560576
task_attr_mod_color_136767,plane,band,1.6,0.037085,0.100014,32.2172,0.992748,0.024498,0.595661,0.016029,0.0,1560576
task_attr_mod_color_136767,plane,band,2.2,0.060058,0.130754,30.3526,0.98846,0.030365,0.668113,0.018127,0.0,1560576
task_attr_mod_color_136767,plane,band,3.141592653589793,0.073314,0.148513,29.3474,0.985248,0.03409,0.650118,0.01916,0.0,1560576
task_attr_mod_color_136767,shared_plane,texture,0.1,6e-06,6.4e-05,62.8727,0.999995,0.000711,0.013548,0.004054,0.0,381
task_attr_mod_color_136767,shared_plane,texture,0.2,2.5e-05,0.000267,56.9297,0.999982,0.001421,0.02714,0.00418,0.0,381
task_attr_mod_color_136767,shared_plane,texture,0.4,0.000107,0.001144,50.9674,0.999927,0.002827,0.054074,0.004532,0.0,381
task_attr_mod_color_136767,shared_plane,texture,0.7,0.000376,0.003626,46.2002,0.999775,0.004897,0.092421,0.005332,0.0,381
task_attr_mod_color_136767,shared_plane,texture,1.1,0.00122,0.008904,42.4303,0.999447,0.007559,0.135972,0.006395,0.0,381
task_attr_mod_color_136767,shared_plane,texture,1.6,0.003273,0.017891,39.4207,0.998844,0.010689,0.186315,0.00762,0.0,381
task_attr_mod_color_136767,shared_plane,texture,2.2,0.006637,0.030465,37.0301,0.997894,0.014076,0.249803,0.009008,0.0,381
task_attr_mod_color_136767,shared_plane,texture,3.141592653589793,0.012241,0.049715,34.7157,0.996193,0.018374,0.298391,0.010768,0.0,381
task_attr_mod_color_136767,shared_plane,band,0.1,2.4e-05,0.000476,55.9788,0.999978,0.001586,0.0252,0.004339,0.0,381
task_attr_mod_color_136767,shared_plane,band,0.2,0.000136,0.002143,50.0225,0.999909,0.003152,0.049123,0.005216,0.0,381
task_attr_mod_color_136767,shared_plane,band,0.4,0.001069,0.008773,44.1319,0.999635,0.006214,0.092199,0.007285,0.0,381
task_attr_mod_color_136767,shared_plane,band,0.7,0.003978,0.024373,39.4928,0.998883,0.010601,0.151869,0.010109,0.0,381
task_attr_mod_color_136767,shared_plane,band,1.1,0.0109,0.049728,35.9109,0.99728,0.016012,0.23467,0.01314,0.0,381
task_attr_mod_color_136767,shared_plane,band,1.6,0.023951,0.080592,33.2071,0.994539,0.02186,0.309899,0.015959,0.0,381
task_attr_mod_color_136767,shared_plane,band,2.2,0.04344,0.108956,31.3348,0.990978,0.027118,0.34649,0.018177,0.0,381
task_attr_mod_color_136767,shared_plane,band,3.141592653589793,0.065184,0.12642,30.3226,0.98806,0.03047,0.450166,0.019568,0.0,381
task_attr_mod_color_136767,gain,texture,0.1,0.001177,0.002208,47.3982,0.999376,0.004266,0.073774,0.005192,0.0,774144
task_attr_mod_color_136767,gain,texture,0.2,0.005386,0.008317,41.4475,0.997546,0.008464,0.147695,0.007493,0.0,774144
task_attr_mod_color_136767,gain,texture,0.4,0.019951,0.028863,35.518,0.990528,0.016753,0.297601,0.012569,0.0,774144
task_attr_mod_color_136767,gain,texture,0.7,0.051671,0.070488,30.7105,0.972507,0.029139,0.486275,0.021084,0.0,774144
task_attr_mod_color_136767,gain,texture,1.1,0.09011,0.131454,26.7341,0.936885,0.046057,0.78275,0.033943,0.0,774144
task_attr_mod_color_136767,gain,texture,1.6,0.133607,0.202545,23.3137,0.878521,0.068283,1.0,0.054146,0.0,774144
task_attr_mod_color_136767,gain,texture,2.2,0.172469,0.276975,20.3476,0.796621,0.096077,1.0,0.085711,0.0,774144
task_attr_mod_color_136767,gain,texture,3.141592653589793,0.221442,0.370066,17.062,0.661694,0.140249,1.0,0.149054,0.0,774144
task_attr_mod_color_136767,gain,band,0.1,0.009992,0.01571,40.1881,0.996553,0.009785,0.116034,0.010572,0.0,774144
task_attr_mod_color_136767,gain,band,0.2,0.039934,0.048398,34.348,0.987023,0.019169,0.228761,0.018583,0.0,774144
task_attr_mod_color_136767,gain,band,0.4,0.120296,0.119754,28.5341,0.953617,0.037436,0.448786,0.034102,0.0,774144
task_attr_mod_color_136767,gain,band,0.7,0.191802,0.211515,23.7308,0.878898,0.065081,0.782616,0.059043,0.0,774144
task_attr_mod_color_136767,gain,band,1.1,0.260495,0.302772,19.6604,0.757852,0.103988,0.996078,0.098307,0.0,774144
task_attr_mod_color_136767,gain,band,1.6,0.311284,0.384009,16.2364,0.609682,0.154233,1.0,0.161303,0.0,774144
task_attr_mod_color_136767,gain,band,2.2,0.350065,0.460918,13.3575,0.467095,0.214845,1.0,0.257806,0.0,774144
task_attr_mod_color_136767,gain,band,3.141592653589793,0.399873,0.555371,10.376,0.30925,0.302832,1.0,0.440701,0.0,774144
task_attr_mod_color_184837,plane,texture,0.1,1.3e-05,0.000107,58.1359,0.999989,0.001235,0.019587,0.001095,0.0,1560576
task_attr_mod_color_184837,plane,texture,0.2,4.8e-05,0.000464,52.1458,0.999958,0.002468,0.039611,0.001181,0.0,1560576
task_attr_mod_color_184837,plane,texture,0.4,0.000187,0.002065,46.1578,0.999831,0.004921,0.080526,0.001419,0.0,1560576
task_attr_mod_color_184837,plane,texture,0.7,0.000598,0.006776,41.3637,0.999488,0.008546,0.14236,0.001881,0.0,1560576
task_attr_mod_color_184837,plane,texture,1.1,0.001653,0.016954,37.5722,0.998758,0.013225,0.2209,0.002632,0.0,1560576
task_attr_mod_color_184837,plane,texture,1.6,0.004576,0.033903,34.5529,0.997456,0.018722,0.309537,0.003667,0.0,1560576
task_attr_mod_color_184837,plane,texture,2.2,0.009258,0.056661,32.1654,0.995458,0.024645,0.4054,0.004785,0.0,1560576
task_attr_mod_color_184837,plane,texture,3.141592653589793,0.017797,0.089302,29.8764,0.99199,0.032076,0.4918,0.006327,0.0,1560576
task_attr_mod_color_184837,plane,band,0.1,6.4e-05,0.000625,52.2412,0.999956,0.002441,0.029111,0.001177,0.0,1560576
task_attr_mod_color_184837,plane,band,0.2,0.000297,0.002863,46.2434,0.999826,0.004872,0.058835,0.001427,0.0,1560576
task_attr_mod_color_184837,plane,band,0.4,0.00165,0.012119,40.284,0.999307,0.009678,0.120221,0.002153,0.0,1560576
task_attr_mod_color_184837,plane,band,0.7,0.006852,0.034332,35.5738,0.997916,0.016646,0.211728,0.003452,0.0,1560576
task_attr_mod_color_184837,plane,band,1.1,0.01889,0.070582,31.9517,0.995057,0.025259,0.32006,0.00538,0.0,1560576
task_attr_mod_color_184837,plane,band,1.6,0.037959,0.114724,29.24,0.99037,0.034514,0.42404,0.007477,0.0,1560576
task_attr_mod_color_184837,plane,band,2.2,0.055444,0.154799,27.3835,0.984572,0.042739,0.51669,0.009511,0.0,1560576
task_attr_mod_color_184837,plane,band,3.141592653589793,0.067422,0.178872,26.3968,0.980139,0.047881,0.690702,0.010717,0.0,1560576
task_attr_mod_color_184837,shared_plane,texture,0.1,8e-06,0.000102,58.4898,0.999992,0.001186,0.016103,0.00117,0.0,381
task_attr_mod_color_184837,shared_plane,texture,0.2,3.2e-05,0.000447,52.4985,0.999967,0.00237,0.032037,0.001247,0.0,381
task_attr_mod_color_184837,shared_plane,texture,0.4,0.00012,0.002009,46.5086,0.999869,0.004726,0.062977,0.001516,0.0,381
task_attr_mod_color_184837,shared_plane,texture,0.7,0.000476,0.006499,41.7115,0.999599,0.008211,0.110236,0.001972,0.0,381
task_attr_mod_color_184837,shared_plane,texture,1.1,0.001647,0.015887,37.913,0.999015,0.012716,0.170948,0.002728,0.0,381
task_attr_mod_color_184837,shared_plane,texture,1.6,0.004481,0.031492,34.885,0.997951,0.01802,0.23445,0.00375,0.0,381
task_attr_mod_color_184837,shared_plane,texture,2.2,0.009429,0.052682,32.4877,0.996278,0.023747,0.281327,0.005035,0.0,381
task_attr_mod_color_184837,shared_plane,texture,3.141592653589793,0.018029,0.084509,30.1789,0.993278,0.030978,0.371504,0.006664,0.0,381
task_attr_mod_color_184837,shared_plane,band,0.1,5.4e-05,0.000646,52.3273,0.999964,0.002417,0.025287,0.001231,0.0,381
task_attr_mod_color_184837,shared_plane,band,0.2,0.000317,0.003064,46.3276,0.999857,0.004825,0.050487,0.001537,0.0,381
task_attr_mod_color_184837,shared_plane,band,0.4,0.001864,0.012619,40.3651,0.999428,0.009588,0.099626,0.002211,0.0,381
task_attr_mod_color_184837,shared_plane,band,0.7,0.007656,0.035095,35.6519,0.998259,0.016497,0.166553,0.003654,0.0,381
task_attr_mod_color_184837,shared_plane,band,1.1,0.019227,0.071224,32.0272,0.995796,0.02504,0.23409,0.005699,0.0,381
task_attr_mod_color_184837,shared_plane,band,1.6,0.039235,0.1152,29.3132,0.991628,0.034225,0.319541,0.008212,0.0,381
task_attr_mod_color_184837,shared_plane,band,2.2,0.058622,0.155976,27.4497,0.986284,0.042415,0.4174,0.010352,0.0,381
task_attr_mod_color_184837,shared_plane,band,3.141592653589793,0.071761,0.181226,26.457,0.9821,0.04755,0.478603,0.011522,0.0,381
task_attr_mod_color_184837,gain,texture,0.1,0.001463,0.003254,43.3256,0.998991,0.006818,0.070029,0.001794,0.0,774144
task_attr_mod_color_184837,gain,texture,0.2,0.005958,0.012366,37.3136,0.996012,0.013624,0.138299,0.00331,0.0,774144
task_attr_mod_color_184837,gain,texture,0.4,0.024038,0.042578,31.3017,0.984654,0.027221,0.271499,0.008115,0.0,774144
task_attr_mod_color_184837,gain,texture,0.7,0.063189,0.101109,26.4392,0.956448,0.047647,0.470059,0.019588,0.0,774144
task_attr_mod_color_184837,gain,texture,1.1,0.113287,0.177752,22.4768,0.904248,0.07519,0.756563,0.041752,0.0,774144
task_attr_mod_color_184837,gain,texture,1.6,0.160863,0.260183,19.1771,0.826885,0.109937,0.9507,0.079843,0.0,774144
task_attr_mod_color_184837,gain,texture,2.2,0.211272,0.339604,16.4527,0.73086,0.150441,1.0,0.138114,0.0,774144
task_attr_mod_color_184837,gain,texture,3.141592653589793,0.26818,0.440319,13.6532,0.597,0.207654,1.0,0.245405,0.0,774144
task_attr_mod_color_184837,gain,band,0.1,0.008156,0.014633,37.4114,0.995828,0.013472,0.118684,0.003188,0.0,774144
task_attr_mod_color_184837,gain,band,0.2,0.033528,0.047857,31.4025,0.983841,0.026907,0.239822,0.008129,0.0,774144
task_attr_mod_color_184837,gain,band,0.4,0.100349,0.132628,25.4043,0.941663,0.053677,0.390541,0.025283,0.0,774144
task_attr_mod_color_184837,gain,band,0.7,0.187073,0.247557,20.5204,0.850832,0.094185,0.702623,0.065278,0.0,774144
task_attr_mod_color_184837,gain,band,1.1,0.251337,0.356591,16.5265,0.715273,0.149168,0.972549,0.142644,0.0,774144
task_attr_mod_color_184837,gain,band,1.6,0.30904,0.445548,13.3696,0.5667,0.214546,1.0,0.268785,0.0,774144
task_attr_mod_color_184837,gain,band,2.2,0.352903,0.52754,11.0176,0.43515,0.281269,1.0,0.428312,0.0,774144
task_attr_mod_color_184837,gain,band,3.141592653589793,0.403365,0.618277,8.8553,0.31251,0.360774,1.0,0.636791,0.0,774144
task_attr_mod_color_32648,plane,texture,0.1,9e-06,4e-05,70.7705,0.999998,0.000272,0.020012,0.000337,0.0,1560576
task_attr_mod_color_32648,plane,texture,0.2,3.6e-05,0.000166,65.1695,0.999991,0.000542,0.039937,0.000346,0.0,1560576
task_attr_mod_color_32648,plane,texture,0.4,0.000143,0.000638,59.2948,0.999965,0.00108,0.079145,0.000387,0.0,1560576
task_attr_mod_color_32648,plane,texture,0.7,0.000324,0.001818,54.5457,0.999895,0.001871,0.134966,0.000465,0.0,1560576
task_attr_mod_color_32648,plane,texture,1.1,0.000682,0.004255,50.7776,0.99975,0.00289,0.197849,0.000544,0.0,1560576
task_attr_mod_color_32648,plane,texture,1.6,0.001634,0.008556,47.7687,0.999494,0.004087,0.25666,0.000646,0.0,1560576
task_attr_mod_color_32648,plane,texture,2.2,0.002975,0.014966,45.3539,0.999111,0.005398,0.304603,0.000772,0.0,1560576
task_attr_mod_color_32648,plane,texture,3.141592653589793,0.005478,0.024992,43.0083,0.99848,0.007072,0.399224,0.000968,0.0,1560576
task_attr_mod_color_32648,plane,band,0.1,3.7e-05,0.000202,62.9641,0.999991,0.000704,0.028985,0.000379,0.0,1560576
task_attr_mod_color_32648,plane,band,0.2,0.000194,0.000828,57.0602,0.999965,0.001399,0.057697,0.000474,0.0,1560576
task_attr_mod_color_32648,plane,band,0.4,0.000564,0.003107,51.1843,0.999865,0.002757,0.113157,0.000688,0.0,1560576
task_attr_mod_color_32648,plane,band,0.7,0.001894,0.008491,46.5358,0.999601,0.004711,0.185767,0.000997,0.0,1560576
task_attr_mod_color_32648,plane,band,1.1,0.005867,0.018084,42.9446,0.999064,0.007124,0.277769,0.001298,0.0,1560576
task_attr_mod_color_32648,plane,band,1.6,0.011984,0.031602,40.231,0.998197,0.009737,0.374894,0.001658,0.0,1560576
task_attr_mod_color_32648,plane,band,2.2,0.019121,0.045335,38.369,0.997138,0.012065,0.428982,0.001944,0.0,1560576
task_attr_mod_color_32648,plane,band,3.141592653589793,0.024389,0.054431,37.3656,0.996283,0.013543,0.618072,0.002178,0.0,1560576
task_attr_mod_color_32648,shared_plane,texture,0.1,8e-06,3e-05,71.1765,0.999998,0.000257,0.012562,0.000353,0.0,381
task_attr_mod_color_32648,shared_plane,texture,0.2,3.1e-05,0.000124,65.6193,0.999993,0.000514,0.025136,0.000361,0.0,381
task_attr_mod_color_32648,shared_plane,texture,0.4,0.000253,0.000501,59.749,0.999972,0.001024,0.050081,0.000397,0.0,381
task_attr_mod_color_32648,shared_plane,texture,0.7,0.000853,0.001503,54.98,0.999915,0.00178,0.086104,0.000431,0.0,381
task_attr_mod_color_32648,shared_plane,texture,1.1,0.00135,0.00367,51.1812,0.999791,0.002758,0.129171,0.000515,0.0,381
task_attr_mod_color_32648,shared_plane,texture,1.6,0.002277,0.007597,48.1494,0.999567,0.003912,0.170538,0.000599,0.0,381
task_attr_mod_color_32648,shared_plane,texture,2.2,0.003807,0.013591,45.7555,0.99923,0.005154,0.195719,0.000712,0.0,381
task_attr_mod_color_32648,shared_plane,texture,3.141592653589793,0.00653,0.023333,43.4384,0.998686,0.00673,0.257891,0.000874,0.0,381
task_attr_mod_color_32648,shared_plane,band,0.1,3.2e-05,0.000164,62.8713,0.999993,0.000712,0.021955,0.000393,0.0,381
task_attr_mod_color_32648,shared_plane,band,0.2,0.000191,0.000722,56.9534,0.999973,0.001417,0.044203,0.000483,0.0,381
task_attr_mod_color_32648,shared_plane,band,0.4,0.001236,0.002921,51.0405,0.999894,0.002803,0.08869,0.000619,0.0,381
task_attr_mod_color_32648,shared_plane,band,0.7,0.002876,0.008136,46.3729,0.999675,0.0048,0.152328,0.000909,0.0,381
task_attr_mod_color_32648,shared_plane,band,1.1,0.006315,0.016952,42.7872,0.999213,0.007254,0.224607,0.00128,0.0,381
task_attr_mod_color_32648,shared_plane,band,1.6,0.012754,0.02891,40.085,0.998426,0.009902,0.278287,0.001701,0.0,381
task_attr_mod_color_32648,shared_plane,band,2.2,0.021937,0.041913,38.222,0.99741,0.012271,0.365389,0.002051,0.0,381
task_attr_mod_color_32648,shared_plane,band,3.141592653589793,0.029383,0.050561,37.2339,0.996606,0.01375,0.446957,0.002232,0.0,381
task_attr_mod_color_32648,gain,texture,0.1,0.000924,0.001664,56.7641,0.999788,0.001448,0.054099,0.000427,0.0,774144
task_attr_mod_color_32648,gain,texture,0.2,0.003733,0.006422,50.8159,0.999153,0.002877,0.10846,0.000609,0.0,774144
task_attr_mod_color_32648,gain,texture,0.4,0.011362,0.024171,44.847,0.996624,0.005723,0.21885,0.001053,0.0,774144
task_attr_mod_color_32648,gain,texture,0.7,0.032544,0.066389,39.9631,0.989643,0.010042,0.391965,0.002,0.0,774144
task_attr_mod_color_32648,gain,texture,1.1,0.076945,0.136366,35.7806,0.973485,0.016254,0.579383,0.003984,0.0,774144
task_attr_mod_color_32648,gain,texture,1.6,0.13348,0.216026,32.0176,0.940253,0.025068,0.697226,0.008369,0.0,774144
task_attr_mod_color_32648,gain,texture,2.2,0.192909,0.297297,28.5053,0.87913,0.037561,0.976471,0.019249,0.0,774144
task_attr_mod_color_32648,gain,texture,3.141592653589793,0.263799,0.406095,24.0294,0.736702,0.062883,0.996078,0.059339,0.0,774144
task_attr_mod_color_32648,gain,band,0.1,0.004575,0.006492,48.3977,0.999076,0.003802,0.108358,0.000959,0.0,774144
task_attr_mod_color_32648,gain,band,0.2,0.016382,0.022398,42.6026,0.996462,0.00741,0.21321,0.001846,0.0,774144
task_attr_mod_color_32648,gain,band,0.4,0.059044,0.069711,36.8979,0.986963,0.014292,0.416569,0.003972,0.0,774144
task_attr_mod_color_32648,gain,band,0.7,0.118053,0.155269,32.2121,0.963018,0.024513,0.720966,0.008575,0.0,774144
task_attr_mod_color_32648,gain,band,1.1,0.191346,0.251718,28.1736,0.913,0.039023,0.904829,0.017719,0.0,774144
task_attr_mod_color_32648,gain,band,1.6,0.267742,0.340614,24.5367,0.821234,0.059315,1.0,0.038253,0.0,774144
task_attr_mod_color_32648,gain,band,2.2,0.338251,0.429704,21.1683,0.678294,0.087415,1.0,0.084789,0.0,774144
task_attr_mod_color_32648,gain,band,3.141592653589793,0.405647,0.541193,16.7108,0.439693,0.146035,1.0,0.217574,0.0,774144
task_attr_mod_color_6205,plane,texture,0.1,4e-06,3.5e-05,65.4886,0.999994,0.000522,0.016312,0.001046,0.0,1560576
task_attr_mod_color_6205,plane,texture,0.2,1.4e-05,0.000158,59.5911,0.999979,0.001043,0.032646,0.001072,0.0,1560576
task_attr_mod_color_6205,plane,texture,0.4,6.6e-05,0.0008,53.622,0.999927,0.002082,0.065213,0.001172,0.0,1560576
task_attr_mod_color_6205,plane,texture,0.7,0.000276,0.003016,48.8263,0.999787,0.003618,0.113208,0.001358,0.0,1560576
task_attr_mod_color_6205,plane,texture,1.1,0.001042,0.008156,45.0235,0.9995,0.005607,0.17394,0.001662,0.0,1560576
task_attr_mod_color_6205,plane,texture,1.6,0.002585,0.016973,41.9737,0.998991,0.007967,0.250424,0.002051,0.0,1560576
task_attr_mod_color_6205,plane,texture,2.2,0.006031,0.028983,39.5296,0.998214,0.010556,0.338058,0.00253,0.0,1560576
task_attr_mod_color_6205,plane,texture,3.141592653589793,0.013115,0.047172,37.101,0.996822,0.013962,0.438852,0.003137,0.0,1560576
task_attr_mod_color_6205,plane,band,0.1,3.9e-05,0.000434,57.15,0.999964,0.001385,0.032701,0.001092,0.0,1560576
task_attr_mod_color_6205,plane,band,0.2,0.000229,0.002411,51.1647,0.999861,0.002764,0.065323,0.001278,0.0,1560576
task_attr_mod_color_6205,plane,band,0.4,0.001555,0.012298,45.211,0.999465,0.005488,0.129028,0.001762,0.0,1560576
task_attr_mod_color_6205,plane,band,0.7,0.007243,0.036557,40.5044,0.998417,0.009435,0.217172,0.0026,0.0,1560576
task_attr_mod_color_6205,plane,band,1.1,0.022888,0.072804,36.8875,0.996304,0.014309,0.314713,0.003717,0.0,1560576
task_attr_mod_color_6205,plane,band,1.6,0.046469,0.110679,34.1767,0.992921,0.01955,0.419141,0.004862,0.0,1560576
task_attr_mod_color_6205,plane,band,2.2,0.068992,0.141936,32.3197,0.988817,0.024211,0.523335,0.005981,0.0,1560576
task_attr_mod_color_6205,plane,band,3.141592653589793,0.081971,0.160129,31.3268,0.985618,0.027143,0.673892,0.006641,0.0,1560576
task_attr_mod_color_6205,shared_plane,texture,0.1,5e-06,2.9e-05,66.1887,0.999995,0.00048,0.020053,0.000996,0.0,381
task_attr_mod_color_6205,shared_plane,texture,0.2,1.7e-05,0.000128,60.3106,0.999985,0.00096,0.039872,0.001022,0.0,381
