image,mode,gate,theta,dists,lpips,psnr,ssim,rms,linf,clip_fraction,degenerate_fraction,plane_init,n_params
task_obj_remove_380621,plane,texture,0.1,0.000762,0.003736,45.8562,0.999587,0.005095,0.084303,0.002799,0.0,aligned,1560576
task_obj_remove_380621,plane,texture,0.2,0.002724,0.016453,39.8826,0.998342,0.010136,0.170539,0.003704,0.0,aligned,1560576
task_obj_remove_380621,plane,texture,0.4,0.011206,0.064195,33.9787,0.993292,0.020001,0.346505,0.005906,0.0,aligned,1560576
task_obj_remove_380621,plane,texture,0.7,0.037309,0.149598,29.2795,0.978569,0.034358,0.610402,0.009071,0.0,aligned,1560576
task_obj_remove_380621,plane,texture,1.1,0.079669,0.247621,25.5301,0.94222,0.052905,0.92549,0.011902,0.0,aligned,1560576
task_obj_remove_380621,plane,texture,1.6,0.129399,0.338529,22.5207,0.864761,0.074811,1.0,0.013652,0.0,aligned,1560576
task_obj_remove_380621,plane,texture,2.2,0.182934,0.415289,20.2443,0.739501,0.097227,1.0,0.014202,0.0,aligned,1560576
task_obj_remove_380621,plane,texture,3.141592653589793,0.229566,0.487437,18.396,0.558912,0.120282,1.0,0.015062,0.0,aligned,1560576
task_obj_remove_380621,plane,band,0.1,0.005116,0.022894,41.2703,0.998802,0.008639,0.12185,0.003479,0.0,aligned,1560576
task_obj_remove_380621,plane,band,0.2,0.023027,0.08184,35.3266,0.99518,0.017126,0.246548,0.005155,0.0,aligned,1560576
task_obj_remove_380621,plane,band,0.4,0.078041,0.197848,29.4516,0.98011,0.033684,0.49949,0.008546,0.0,aligned,1560576
task_obj_remove_380621,plane,band,0.7,0.163719,0.331847,24.7563,0.933421,0.057834,0.868861,0.012374,0.0,aligned,1560576
task_obj_remove_380621,plane,band,1.1,0.246796,0.470583,21.0771,0.812312,0.088337,1.0,0.014793,0.0,aligned,1560576
task_obj_remove_380621,plane,band,1.6,0.316353,0.578488,18.3374,0.575982,0.121095,1.0,0.015188,0.0,aligned,1560576
task_obj_remove_380621,plane,band,2.2,0.322953,0.583082,16.5948,0.308295,0.148,1.0,0.015489,0.0,aligned,1560576
task_obj_remove_380621,plane,band,3.141592653589793,0.325406,0.512625,15.7987,0.152659,0.162206,1.0,0.016956,0.0,aligned,1560576
task_obj_swap_joint_mask_276754,plane,texture,0.1,0.001926,0.007467,42.6121,0.998543,0.007402,0.078943,0.042288,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,texture,0.2,0.005984,0.026035,36.6331,0.994168,0.014735,0.157801,0.045643,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,texture,0.4,0.019846,0.081235,30.7122,0.97637,0.029133,0.312178,0.053123,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,texture,0.7,0.05865,0.184595,26.0218,0.924075,0.049993,0.524219,0.06362,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,texture,1.1,0.122726,0.306555,22.3398,0.795086,0.076385,0.761772,0.072731,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,texture,1.6,0.189653,0.38463,19.4697,0.538929,0.106296,0.977532,0.075715,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,texture,2.2,0.22921,0.439274,17.5411,0.232925,0.132722,1.0,0.075935,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,texture,3.141592653589793,0.231527,0.443462,16.4378,-0.00089,0.150699,1.0,0.074142,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,band,0.1,0.004818,0.01167,40.9446,0.998148,0.008969,0.119887,0.044862,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,band,0.2,0.016725,0.039625,34.9783,0.992565,0.017827,0.241608,0.048003,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,band,0.4,0.058252,0.116142,29.073,0.969624,0.035184,0.485677,0.054951,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,band,0.7,0.141166,0.247904,24.397,0.901004,0.060277,0.835183,0.065945,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,band,1.1,0.246954,0.378918,20.7586,0.730491,0.091636,0.996078,0.074459,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,band,1.6,0.30592,0.436704,18.0131,0.408917,0.125702,1.0,0.076834,0.092611,aligned,1560576
task_obj_swap_joint_mask_276754,plane,band,2.2,0.281471,0.470375,16.3412,0.084198,0.152384,1.0,0.075251,0.092611,aligned,1560576
