image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.12894,0.95348,27.613,0.61805,0.05141,0.17615,0.87339,23.161,0.45362,0.06683,0.52318,0.04162,38.9
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.25083,0.92816,25.635,0.51682,0.06321,0.43008,0.43834,13.651,0.07337,0.25075,0.50565,0.05227,38.8
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.23545,0.95534,32.83,0.58788,0.08798,0.25693,0.87632,27.027,0.39103,0.11015,0.29621,0.02283,39.0
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.23167,0.94488,29.126,0.55151,0.08576,0.31358,0.75839,20.326,0.32676,0.14495,0.62266,0.03497,38.9
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.22243,0.90211,25.003,0.42888,0.07414,0.25494,0.75878,21.168,0.28704,0.0948,0.5236,0.05622,38.8
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.13037,0.96616,35.716,0.68254,0.07492,0.29816,0.80946,20.644,0.58439,0.18941,0.21167,0.01638,38.9
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.39068,0.89593,27.273,0.33511,0.10057,0.18376,0.8021,21.377,0.28131,0.20375,0.35557,0.04329,38.8
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.22791,0.92139,25.941,0.44954,0.06592,0.30626,0.68887,17.604,0.25499,0.15179,0.48026,0.05046,38.8
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.31225,0.9165,30.61,0.41938,0.13305,0.37509,0.7473,18.167,0.25646,0.24516,0.33566,0.02948,38.8
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.31708,0.90762,27.071,0.43503,0.09843,0.44655,0.61023,18.975,0.206,0.205,0.54438,0.04431,38.8
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.0,False,0.0,0.08,100,7.5,1.5,20260812,False,0.17893,0.9399,28.919,0.51278,0.05874,0.20463,0.79061,22.53,0.36056,0.10056,0.49261,0.03582,39.2
