image,condition,displacement,acutance_ratio,matched_sigma,blur_control_lpips,blur_explained,sigma_reachable
task_env_weather_112463,y_e20_a,0.84675,0.1157,3.6136,0.36088,0.4262,True
task_env_weather_112463,y_e30_a,0.86343,0.0993,3.912,0.38199,0.4424,True
task_env_weather_133752,base_s025,0.42968,0.2603,1.993,0.29571,0.6882,True
task_env_weather_133752,base_s050,0.48287,0.1949,2.5618,0.34977,0.7244,True
task_env_weather_133752,dct_s0100,0.52992,0.1686,2.887,0.37256,0.703,True
task_env_weather_133752,pgx_g78,0.57117,0.1029,4.2426,0.45001,0.7879,True
task_env_weather_133752,phase_s0100,0.21625,0.6918,0.6502,0.0532,0.246,True
task_env_weather_133752,phase_s1000,0.17714,0.7135,0.619,0.04576,0.2583,True
task_env_weather_133752,q00_e10_r127,0.25196,0.7313,0.5952,0.03999,0.1587,True
task_env_weather_133752,y_e10_a,0.46808,0.1658,2.927,0.37516,0.8015,True
task_env_weather_133752,y_e20_a,0.63407,0.2718,1.9138,0.28619,0.4514,True
task_env_weather_133752,y_e30_a,0.7489,1.1296,0.0,0.0,0.0,True
task_env_weather_181583,base_s025,0.64425,0.1139,3.6048,0.37335,0.5795,True
task_env_weather_181583,base_s050,0.6856,0.1153,3.572,0.37067,0.5406,True
task_env_weather_181583,dct_s0100,0.70728,0.1398,3.1198,0.33019,0.4668,True
task_env_weather_181583,pgx_g78,0.66022,0.1072,3.7577,0.38579,0.5843,True
task_env_weather_181583,phase_s0100,0.59244,0.3652,1.5478,0.14054,0.2372,True
task_env_weather_181583,phase_s1000,0.55557,0.4199,1.3715,0.11528,0.2075,True
task_env_weather_181583,q00_e10_r127,0.65077,0.1833,2.586,0.27484,0.4223,True
task_env_weather_181583,y_e10_a,0.68802,0.1143,3.5957,0.37261,0.5416,True
task_env_weather_181583,y_e20_a,0.79531,1.099,0.0,0.0,0.0,True
task_env_weather_181583,y_e30_a,0.8008,1.0775,0.0,0.0,0.0,True
task_env_weather_246440,base_s025,0.4402,0.6574,0.6162,0.05805,0.1319,True
task_env_weather_246440,base_s050,0.44366,0.5879,0.702,0.08352,0.1883,True
task_env_weather_246440,dct_s0100,0.44768,0.5523,0.7514,0.09719,0.2171,True
task_env_weather_246440,pgx_g78,0.50724,0.284,1.2888,0.22529,0.4441,True
task_env_weather_246440,phase_s0100,0.36511,0.5407,0.7683,0.10173,0.2786,True
task_env_weather_246440,phase_s1000,0.32263,0.5957,0.6917,0.08061,0.2499,True
task_env_weather_246440,q00_e10_r127,0.43886,0.5022,0.8269,0.11706,0.2667,True
task_env_weather_246440,y_e10_a,0.38845,0.6647,0.608,0.05552,0.1429,True
task_env_weather_246440,y_e20_a,0.47067,0.4091,0.9903,0.15733,0.3343,True
task_env_weather_246440,y_e30_a,0.51655,0.3196,1.1894,0.20318,0.3933,True
task_env_weather_63722,base_s025,0.38235,0.1438,1.9059,0.33807,0.8842,True
task_env_weather_63722,base_s050,0.43616,0.1049,2.2378,0.38193,0.8757,True
task_env_weather_63722,dct_s0100,0.46577,0.0702,2.7132,0.42878,0.9206,True
task_env_weather_63722,pgx_g78,0.39077,0.0889,2.4252,0.4023,1.0295,True
task_env_weather_63722,phase_s0100,0.199,0.4152,0.972,0.16566,0.8325,True
task_env_weather_63722,phase_s1000,0.16124,0.5136,0.8032,0.12369,0.7671,True
task_env_weather_63722,q00_e10_r127,0.26598,0.317,1.1899,0.2151,0.8087,True
task_env_weather_63722,y_e10_a,0.43601,0.0849,2.4789,0.40759,0.9348,True
task_env_weather_63722,y_e20_a,0.50517,0.0436,3.3895,0.479,0.9482,True
task_env_weather_63722,y_e30_a,0.63736,0.1177,2.1118,0.36637,0.5748,True
task_obj_add_13726,base_s025,0.40749,0.1494,1.6489,0.3447,0.8459,True
task_obj_add_13726,base_s050,0.67456,0.0336,3.7913,0.52909,0.7844,True
task_obj_add_13726,dct_s0100,0.7444,0.0214,4.8744,0.57413,0.7713,True
task_obj_add_13726,pgx_g78,0.71685,0.0148,5.9931,0.61329,0.8555,True
task_obj_add_13726,phase_s0100,0.3089,0.2218,1.303,0.28064,0.9085,True
task_obj_add_13726,phase_s1000,0.26839,0.5031,0.7218,0.10993,0.4096,True
task_obj_add_13726,q00_e10_r127,0.41001,0.2136,1.3333,0.2875,0.7012,True
task_obj_add_13726,y_e10_a,0.56197,0.075,2.4319,0.43561,0.7752,True
task_obj_add_13726,y_e20_a,0.67387,0.034,3.7691,0.528,0.7835,True
task_obj_add_13726,y_e30_a,0.73638,0.0339,3.7713,0.52811,0.7172,True
task_obj_add_340466,base_s025,0.44435,0.1745,2.2879,0.31088,0.6996,True
task_obj_add_340466,base_s050,0.50756,0.1498,2.5676,0.33692,0.6638,True
task_obj_add_340466,dct_s0100,0.53795,0.1269,2.908,0.36448,0.6775,True
task_obj_add_340466,pgx_g78,0.43755,0.173,2.3026,0.31234,0.7138,True
task_obj_add_340466,phase_s0100,0.21181,0.5506,0.8294,0.08601,0.4061,True
task_obj_add_340466,phase_s1000,0.17384,0.723,0.5797,0.03248,0.1868,True
task_obj_add_340466,q00_e10_r127,0.24017,0.508,0.9085,0.10264,0.4274,True
task_obj_add_340466,y_e10_a,0.4833,0.1315,2.8301,0.35849,0.7417,True
task_obj_add_340466,y_e20_a,0.65466,0.1228,2.9817,0.37005,0.5652,True
task_obj_add_340466,y_e30_a,0.74503,0.1389,2.7146,0.34929,0.4688,True
task_obj_add_40931,base_s025,0.40631,0.2076,1.9472,0.27475,0.6762,True
task_obj_add_40931,base_s050,0.45304,0.1518,2.3084,0.31765,0.7012,True
task_obj_add_40931,dct_s0100,0.48801,0.1085,2.7304,0.35972,0.7371,True
task_obj_add_40931,pgx_g78,0.56762,0.0963,2.8938,0.37445,0.6597,True
task_obj_add_40931,phase_s0100,0.30975,0.3285,1.4591,0.20378,0.6579,True
task_obj_add_40931,phase_s1000,0.26373,0.533,0.9668,0.11894,0.451,True
task_obj_add_40931,q00_e10_r127,0.35456,0.2413,1.7819,0.25247,0.7121,True
task_obj_add_40931,y_e10_a,0.41597,0.1523,2.3046,0.31724,0.7627,True
task_obj_add_40931,y_e20_a,0.51981,0.0802,3.1565,0.39643,0.7626,True
task_obj_add_40931,y_e30_a,0.59167,0.0777,3.2035,0.40027,0.6765,True
task_obj_add_581286,base_s025,0.37803,0.186,2.8851,0.28808,0.7621,True
task_obj_add_581286,base_s050,0.50091,0.1715,3.0644,0.30257,0.604,True
task_obj_add_581286,dct_s0100,0.72452,1.6077,0.0,0.0,0.0,True
task_obj_add_581286,pgx_g78,0.49582,0.9422,0.3985,0.0021,0.0042,True
task_obj_add_581286,phase_s0100,0.136,0.4713,1.2746,0.11926,0.8769,True
task_obj_add_581286,phase_s1000,0.12034,0.4926,1.2125,0.11123,0.9244,True
task_obj_add_581286,q00_e10_r127,0.15907,0.4177,1.4463,0.14097,0.8862,True
task_obj_add_581286,y_e10_b,0.50085,0.1406,3.5603,0.33866,0.6762,True
task_obj_add_581286,y_e20_b,0.74554,1.6365,0.0,0.0,0.0,True
task_obj_add_581286,y_e30_b,0.76457,2.35,0.0,0.0,0.0,True
task_obj_add_692065,base_s025,0.30308,0.3528,1.3895,0.1432,0.4725,True
task_obj_add_692065,base_s050,0.34319,0.1969,1.9762,0.22989,0.6698,True
task_obj_add_692065,dct_s0100,0.35985,0.1717,2.1169,0.24837,0.6902,True
task_obj_add_692065,pgx_g78,0.37564,0.1054,2.6544,0.3105,0.8266,True
task_obj_add_692065,phase_s0100,0.18435,0.7817,0.5756,0.02188,0.1187,True
task_obj_add_692065,phase_s1000,0.16637,0.803,0.5487,0.01785,0.1073,True
task_obj_add_692065,q00_e10_r127,0.22662,0.7456,0.6251,0.02934,0.1295,True
task_obj_add_692065,y_e10_b,0.28696,0.3385,1.4303,0.14956,0.5212,True
task_obj_add_692065,y_e20_b,0.40764,0.1082,2.6233,0.30715,0.7535,True
task_obj_add_692065,y_e30_b,0.47289,0.0648,3.2499,0.37386,0.7906,True
task_obj_remove_10197,base_s025,0.4877,0.9494,0.3447,0.00125,0.0026,True
task_obj_remove_10197,base_s050,0.50733,0.9098,0.3733,0.00409,0.0081,True
task_obj_remove_10197,dct_s0100,0.53412,0.857,0.404,0.01058,0.0198,True
task_obj_remove_10197,pgx_g78,0.46793,1.1552,0.0,0.0,0.0,True
task_obj_remove_10197,phase_s0100,0.44009,1.1413,0.0,0.0,0.0,True
task_obj_remove_10197,phase_s1000,0.40795,1.3354,0.0,0.0,0.0,True
task_obj_remove_10197,q00_e10_r127,0.44258,1.3269,0.0,0.0,0.0,True
task_obj_remove_10197,y_e10_b,0.46735,1.0553,0.0,0.0,0.0,True
task_obj_remove_10197,y_e20_b,0.53419,0.4558,0.6819,0.19292,0.3611,True
task_obj_remove_10197,y_e30_b,0.54016,0.3548,0.8188,0.28002,0.5184,True
task_obj_remove_257910,base_s025,0.50715,0.2083,2.422,0.37825,0.7458,True
task_obj_remove_257910,base_s050,0.59679,0.4077,1.2387,0.25852,0.4332,True
task_obj_remove_257910,dct_s0100,0.66255,0.8104,0.4976,0.03855,0.0582,True
task_obj_remove_257910,pgx_g78,0.43698,0.1813,2.7547,0.40125,0.9182,True
task_obj_remove_257910,phase_s0100,0.20015,0.4576,1.0904,0.23394,1.1688,True
task_obj_remove_257910,phase_s1000,0.16875,0.5439,0.888,0.19198,1.1376,True
task_obj_remove_257910,q00_e10_r127,0.27743,0.4172,1.2082,0.25377,0.9147,True
task_obj_remove_257910,y_e10_b,0.6407,0.6716,0.6623,0.11692,0.1825,True
task_obj_remove_257910,y_e20_b,0.7007,1.1759,0.0,0.0,0.0,True
task_obj_remove_257910,y_e30_b,0.71485,1.6425,0.0,0.0,0.0,True
task_obj_remove_380621,base_s025,0.45026,0.1192,1.7503,0.32726,0.7268,True
task_obj_remove_380621,base_s050,0.56732,0.2326,1.1678,0.2229,0.3929,True
task_obj_remove_380621,dct_s0100,0.68206,0.4254,0.7674,0.12379,0.1815,True
task_obj_remove_380621,pgx_g78,0.69933,0.4452,0.7399,0.11548,0.1651,True
task_obj_remove_380621,phase_s0100,0.4073,0.4459,0.7389,0.11518,0.2828,True
task_obj_remove_380621,phase_s1000,0.26183,0.3646,0.8632,0.15087,0.5762,True
task_obj_remove_380621,q00_e10_r127,0.42481,0.4182,0.7778,0.12681,0.2985,True
task_obj_remove_380621,y_e10_b,0.6604,0.3553,0.8796,0.15528,0.2351,True
task_obj_remove_380621,y_e20_b,0.71596,0.4269,0.7653,0.12318,0.1721,True
task_obj_remove_380621,y_e30_b,0.72363,0.3634,0.8653,0.15145,0.2093,True
task_obj_remove_509477,base_s025,0.32509,0.3275,1.2674,0.17021,0.5236,True
task_obj_remove_509477,base_s050,0.35968,0.2653,1.4954,0.20903,0.5812,True
task_obj_remove_509477,dct_s0100,0.38281,0.2313,1.6611,0.23546,0.6151,True
task_obj_remove_509477,pgx_g78,0.54404,0.063,4.1065,0.48729,0.8957,True
task_obj_remove_509477,phase_s0100,0.25489,0.4595,0.942,0.10934,0.429,True
task_obj_remove_509477,phase_s1000,0.20796,0.5452,0.7894,0.07878,0.3788,True
task_obj_remove_509477,q00_e10_r127,0.29465,0.4056,1.0569,0.13151,0.4463,True
task_obj_remove_509477,y_e10_b,0.30434,0.2989,1.3626,0.18684,0.6139,True
task_obj_remove_509477,y_e20_b,0.45125,0.126,2.5757,0.35609,0.7891,True
task_obj_remove_509477,y_e30_b,0.53078,0.0754,3.6564,0.45317,0.8538,True
task_obj_remove_657585,base_s025,0.72612,3.2102,0.0,0.0,0.0,True
task_obj_remove_657585,base_s050,0.79208,4.7672,0.0,0.0,0.0,True
task_obj_remove_657585,dct_s0100,0.80476,4.5692,0.0,0.0,0.0,True
task_obj_remove_657585,pgx_g78,0.47215,0.2898,3.6667,0.33721,0.7142,True
task_obj_remove_657585,phase_s0100,0.26115,0.3182,3.2895,0.31454,1.2044,True
task_obj_remove_657585,phase_s1000,0.244,0.2846,3.7421,0.34167,1.4003,True
task_obj_remove_657585,q00_e10_r127,0.28595,0.3171,3.3041,0.31545,1.1032,True
task_obj_remove_657585,y_e10_b,0.79287,4.7324,0.0,0.0,0.0,True
task_obj_remove_657585,y_e20_b,0.81799,4.4256,0.0,0.0,0.0,True
task_obj_remove_657585,y_e30_b,0.82424,4.1056,0.0,0.0,0.0,True
task_obj_swap_joint_mask_276754,base_s025,0.56222,0.6172,0.771,0.10222,0.1818,True
task_obj_swap_joint_mask_276754,base_s050,0.59438,0.6285,0.751,0.09875,0.1661,True
task_obj_swap_joint_mask_276754,dct_s0100,0.63428,0.8122,0.5052,0.03696,0.0583,True
task_obj_swap_joint_mask_276754,pgx_g78,0.20086,0.4609,1.1084,0.14351,0.7145,True
task_obj_swap_joint_mask_276754,phase_s0100,0.19562,0.461,1.1082,0.14349,0.7335,True
task_obj_swap_joint_mask_276754,phase_s1000,0.192,0.4014,1.2864,0.15678,0.8166,True
task_obj_swap_joint_mask_276754,q00_e10_r127,0.20006,0.4995,1.0115,0.13462,0.6729,True
task_obj_swap_joint_mask_276754,y_e10_b,0.59814,0.5826,0.8348,0.11249,0.1881,True
task_obj_swap_joint_mask_276754,y_e20_b,0.70383,1.8182,0.0,0.0,0.0,True
task_obj_swap_joint_mask_276754,y_e30_b,0.70289,1.6344,0.0,0.0,0.0,True
task_obj_swap_joint_mask_533428,base_s025,0.48875,0.391,1.3811,0.18494,0.3784,True
task_obj_swap_joint_mask_533428,base_s050,0.55295,0.4572,1.1656,0.14935,0.2701,True
task_obj_swap_joint_mask_533428,dct_s0100,0.53637,0.3007,1.7985,0.24445,0.4557,True
task_obj_swap_joint_mask_533428,pgx_g78,0.55139,0.2804,1.9258,0.26045,0.4724,True
task_obj_swap_joint_mask_533428,phase_s0100,0.31351,0.6388,0.7561,0.07295,0.2327,True
task_obj_swap_joint_mask_533428,phase_s1000,0.27524,0.6525,0.7317,0.06793,0.2468,True
task_obj_swap_joint_mask_533428,q00_e10_r127,0.4223,0.6649,0.7104,0.06345,0.1502,True
task_obj_swap_joint_mask_533428,y_e10_b,0.48608,0.3394,1.5975,0.21717,0.4468,True
task_obj_swap_joint_mask_533428,y_e20_b,0.53552,0.5602,0.9107,0.10301,0.1924,True
task_obj_swap_joint_mask_533428,y_e30_b,0.6139,0.2817,1.917,0.25938,0.4225,True
task_obj_swap_joint_mask_75733,base_s025,0.45185,0.1783,2.4433,0.36982,0.8185,True
task_obj_swap_joint_mask_75733,base_s050,0.46147,0.1325,3.0963,0.42286,0.9164,True
task_obj_swap_joint_mask_75733,dct_s0100,0.47767,0.0949,4.034,0.47386,0.992,True
task_obj_swap_joint_mask_75733,pgx_g78,0.51626,0.0757,4.8332,0.50686,0.9818,True
task_obj_swap_joint_mask_75733,phase_s0100,0.34459,0.2496,1.863,0.30015,0.871,True
task_obj_swap_joint_mask_75733,phase_s1000,0.30357,0.3083,1.562,0.25971,0.8555,True
task_obj_swap_joint_mask_75733,q00_e10_r127,0.35475,0.1938,2.2889,0.35333,0.996,True
task_obj_swap_joint_mask_75733,y_e10_b,0.4795,0.0974,3.9584,0.4703,0.9808,True
task_obj_swap_joint_mask_75733,y_e20_b,0.57616,0.5101,0.9708,0.16432,0.2852,True
task_obj_swap_joint_mask_75733,y_e30_b,0.62307,0.4348,1.1444,0.19818,0.3181,True
task_obj_swap_rand_mask_298147,base_s025,0.46539,0.1503,1.5173,0.29808,0.6405,True
task_obj_swap_rand_mask_298147,base_s050,0.50619,0.0986,1.8875,0.35936,0.7099,True
task_obj_swap_rand_mask_298147,dct_s0100,0.53863,0.0843,2.0422,0.38059,0.7066,True
task_obj_swap_rand_mask_298147,pgx_g78,0.73691,0.0377,3.0382,0.48936,0.6641,True
task_obj_swap_rand_mask_298147,phase_s0100,0.56649,0.0982,1.8916,0.35996,0.6354,True
task_obj_swap_rand_mask_298147,phase_s1000,0.4183,0.2134,1.2553,0.24355,0.5822,True
task_obj_swap_rand_mask_298147,q00_e10_r127,0.58409,0.1112,1.774,0.34215,0.5858,True
task_obj_swap_rand_mask_298147,y_e10_b,0.45832,0.1147,1.7465,0.3378,0.737,True
task_obj_swap_rand_mask_298147,y_e20_b,0.70739,0.0439,2.823,0.46873,0.6626,True
task_obj_swap_rand_mask_298147,y_e30_b,0.80849,0.0574,2.4742,0.43272,0.5352,True
task_obj_swap_rand_mask_417469,base_s025,0.44244,0.1114,1.9347,0.24208,0.5471,True
task_obj_swap_rand_mask_417469,base_s050,0.52826,0.07,2.5573,0.3228,0.6111,True
task_obj_swap_rand_mask_417469,dct_s0100,0.62489,0.0474,3.2333,0.39026,0.6245,True
task_obj_swap_rand_mask_417469,pgx_g78,0.5713,0.0396,3.604,0.42115,0.7372,True
task_obj_swap_rand_mask_417469,phase_s0100,0.22925,0.339,0.979,0.08621,0.3761,True
task_obj_swap_rand_mask_417469,phase_s1000,0.17565,0.4547,0.7859,0.05455,0.3105,True
task_obj_swap_rand_mask_417469,q00_e10_r127,0.2875,0.255,1.1779,0.12023,0.4182,True
task_obj_swap_rand_mask_417469,y_e10_b,0.57781,0.0443,3.3632,0.40171,0.6952,True
task_obj_swap_rand_mask_417469,y_e20_b,0.77186,0.0539,2.9972,0.36815,0.477,True
task_obj_swap_rand_mask_417469,y_e30_b,0.77878,0.0547,2.9684,0.36541,0.4692,True
