image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
dog_00,L,16,a cat sitting on the grass,25,20,10,1,297.9,11510.8,1.15,512.0,343.3333333333333,168.66666666666666,,,,0.991376519203186,0.46519744396209717,0.5261790752410889,0.03480256348848343,51.0965690612793,0.0625813901424408,29.849407196044922,0.4364249110221863,0.9117130041122437,0.17975297570228577
dog_01,P,1,a cat sitting on the grass,25,20,10,1,96.8,11504.0,21.55,84.33333333333333,1.0,1.0,1.0,1.0,0.0021146140061318874,0.4328191578388214,0.4193095564842224,0.013509614393115044,0.08069044351577759,50.87811279296875,0.023202497512102127,50.87811279296875,0.023202497512102127,0.9987071752548218,0.012216789647936821
dog_01,P,4,a cat sitting on the grass,25,20,10,1,97.0,11507.2,11.58,110.66666666666667,4.333333333333333,4.0,4.0,4.0,0.0031840007286518812,0.30417317152023315,0.26828479766845703,0.035888366401195526,0.23171520233154297,46.223670959472656,0.04316979646682739,46.223670959472656,0.04316979646682739,0.9962405562400818,0.03212892264127731
dog_01,P,16,a cat sitting on the grass,25,20,10,1,96.9,11507.6,8.59,146.33333333333334,16.0,13.0,16.0,16.0,0.0045674643479287624,0.16105087101459503,0.08849668502807617,0.07255418598651886,0.41150331497192383,42.39158248901367,0.058197975158691406,42.39158248901367,0.058197975158691406,0.9911205768585205,0.06367476284503937
dog_01,L,1,a cat sitting on the grass,25,20,10,1,298.0,11513.3,0.67,512.0,307.3333333333333,150.66666666666666,,,,0.7556798458099365,0.42189735174179077,0.33378249406814575,0.07810265570878983,59.437171936035156,0.04577380418777466,27.568035125732422,0.743858814239502,0.8735994696617126,0.2073819786310196
dog_01,L,4,a cat sitting on the grass,25,20,10,1,297.7,11509.4,0.66,512.0,307.3333333333333,150.66666666666666,,,,0.74855637550354,0.41754183173179626,0.3310145139694214,0.08245816826820374,55.37092590332031,0.05926743149757385,27.56797981262207,0.7581005096435547,0.8739435076713562,0.20495803654193878
dog_01,L,16,a cat sitting on the grass,25,20,10,1,297.4,11510.8,0.67,512.0,307.3333333333333,150.66666666666666,,,,2.0486299991607666,0.420729398727417,1.6279006004333496,0.07927059382200241,52.09779357910156,0.07293295860290527,27.558507919311523,0.7495554685592651,0.8729003667831421,0.20750492811203003
person_00,P,1,an elderly person with gray hair,25,20,10,1,96.8,11504.0,17.53,53.333333333333336,1.0,1.0,1.0,1.0,0.00067138671875,0.43563586473464966,0.41291943192481995,0.02271643653512001,0.08708056062459946,47.2486457824707,0.028528213500976562,47.2486457824707,0.028528213500976562,0.9965012073516846,0.01921764388680458
person_00,P,4,an elderly person with gray hair,25,20,10,1,96.9,11507.2,10.59,92.66666666666667,4.0,4.0,4.0,4.0,0.001628875732421875,0.29175299406051636,0.24040311574935913,0.051349885761737823,0.25959688425064087,43.540138244628906,0.047194890677928925,43.540138244628906,0.047194890677928925,0.9915403127670288,0.04289019852876663
person_00,P,16,an elderly person with gray hair,25,20,10,1,96.8,11507.6,7.86,173.66666666666666,16.0,12.0,16.0,16.0,0.003692626953125,0.5841802358627319,0.1225162148475647,0.46166402101516724,0.3774837851524353,39.62874984741211,0.06362221390008926,39.62874984741211,0.06362221390008926,0.9803935885429382,0.07983608543872833
person_00,L,1,an elderly person with gray hair,25,20,10,1,297.1,11513.3,1.31,512.0,287.3333333333333,105.66666666666667,,,,0.6197788119316101,0.4104211628437042,0.20935764908790588,0.08957882970571518,51.61745071411133,0.05932915210723877,31.181041717529297,0.3824188709259033,0.9386677742004395,0.14802542328834534
person_00,L,4,an elderly person with gray hair,25,20,10,1,297.3,11509.4,1.32,512.0,287.3333333333333,105.66666666666667,,,,2.053528308868408,0.405771940946579,1.6477563381195068,0.09422805905342102,53.31964111328125,0.07439866662025452,31.172035217285156,0.3783662021160126,0.938720166683197,0.14660978317260742
person_00,L,16,an elderly person with gray hair,25,20,10,1,297.4,11510.8,1.3,512.0,288.0,106.0,,,,0.581037163734436,0.38414403796195984,0.19689315557479858,0.11585595458745956,47.97708511352539,0.05797818303108215,31.23232078552246,0.38513022661209106,0.9398821592330933,0.13677531480789185
person_01,P,1,an elderly person with gray hair,25,20,10,1,96.8,11504.0,18.21,200.33333333333334,1.0,1.0,1.0,1.0,0.005259196273982525,0.41726526618003845,0.40106290578842163,0.016202352941036224,0.09893710166215897,49.773773193359375,0.027451615780591965,49.773773193359375,0.027451615780591965,0.9971418380737305,0.013344191946089268
person_01,P,4,an elderly person with gray hair,25,20,10,1,96.8,11507.2,10.31,224.33333333333334,4.0,4.0,4.0,4.0,0.006319682113826275,0.3135885000228882,0.2760562300682068,0.037532273679971695,0.2239437699317932,45.7578125,0.048505693674087524,45.7578125,0.048505693674087524,0.9926673769950867,0.030199650675058365
person_01,P,16,an elderly person with gray hair,25,20,10,1,96.8,11507.6,7.97,265.3333333333333,16.0,12.0,16.0,16.0,0.008152008056640625,0.40636345744132996,0.02753269672393799,0.37883076071739197,0.472467303276062,40.56444549560547,0.06274491548538208,40.56444549560547,0.06274491548538208,0.9762412309646606,0.08058032393455505
person_01,L,1,an elderly person with gray hair,25,20,10,1,297.6,11513.3,0.7,512.0,322.6666666666667,165.33333333333334,,,,0.7168340086936951,0.43725723028182983,0.27957677841186523,0.06274276971817017,58.0858154296875,0.03702080249786377,29.213436126708984,0.7110422849655151,0.9097158908843994,0.18929266929626465
person_01,L,4,an elderly person with gray hair,25,20,10,1,297.4,11509.4,0.7,512.0,322.6666666666667,165.33333333333334,,,,0.7023040056228638,0.42633625864982605,0.27596771717071533,0.07366374880075455,51.17397689819336,0.05332291126251221,29.225271224975586,0.710814356803894,0.9104326963424683,0.1864004284143448
person_01,L,16,an elderly person with gray hair,25,20,10,1,297.9,11510.8,0.71,512.0,322.0,165.0,,,,0.7533494234085083,0.43623241782188416,0.31711703538894653,0.06376758962869644,54.46845626831055,0.060371994972229004,29.208887100219727,0.708649218082428,0.9090238809585571,0.18894129991531372
