image,prompt,label,guidance_scale,strength,n_edit,clip_orig,clip_edit,d_clip,siglip_orig,siglip_edit,d_siglip,lpips_to_orig,psnr_to_orig,seconds
dog_00,a cat sitting on the grass,w7.5_s0.5（標準攻擊）,7.5,0.5,10,0.16961881518363953,0.24158509075641632,0.0719662755727768,0.01096988096833229,0.054151784628629684,0.043181903660297394,0.40109556913375854,20.189128875732422,67.33699010000055
dog_00,a cat sitting on the grass,w7.5_s0.7,7.5,0.7,10,0.16961881518363953,0.2877243161201477,0.11810550093650818,0.01096988096833229,0.1251506358385086,0.11418075487017632,0.5956867933273315,16.251567840576172,72.93587079999998
dog_01,a cat sitting on the grass,w1.0_s0.5（現行設定）,1.0,0.5,10,0.17371027171611786,0.17461255192756653,0.0009022802114486694,0.0008462471887469292,0.0063011664897203445,0.005454919300973415,0.48635831475257874,18.403621673583984,44.48833559999912
dog_01,a cat sitting on the grass,w3.0_s0.5,3.0,0.5,10,0.17371027171611786,0.18481923639774323,0.011108964681625366,0.0008462471887469292,0.040966860949993134,0.040120613761246204,0.4816822111606598,18.307586669921875,84.51708379999945
dog_01,a cat sitting on the grass,w7.5_s0.5（標準攻擊）,7.5,0.5,10,0.17371027171611786,0.24507054686546326,0.0713602751493454,0.0008462471887469292,0.04619069769978523,0.0453444505110383,0.49688804149627686,17.98560333251953,84.02028960000098
dog_01,a cat sitting on the grass,w7.5_s0.7,7.5,0.7,10,0.17371027171611786,0.2733529210090637,0.09964264929294586,0.0008462471887469292,0.08094459772109985,0.08009835053235292,0.6574946045875549,13.245756149291992,74.22835189999932
person_00,an elderly person with gray hair,w1.0_s0.5（現行設定）,1.0,0.5,10,0.19879433512687683,0.24186019599437714,0.043065860867500305,0.011981284245848656,0.08185578882694244,0.06987450458109379,0.4867645502090454,18.575328826904297,41.11761169999954
person_00,an elderly person with gray hair,w3.0_s0.5,3.0,0.5,10,0.19879433512687683,0.2877890467643738,0.08899471163749695,0.011981284245848656,0.10085950791835785,0.0888782236725092,0.4973747134208679,18.480499267578125,66.8462299999992
person_00,an elderly person with gray hair,w7.5_s0.5（標準攻擊）,7.5,0.5,10,0.19879433512687683,0.28142720460891724,0.0826328694820404,0.011981284245848656,0.10769268870353699,0.09571140445768833,0.5127224326133728,18.029468536376953,66.88865050000095
person_00,an elderly person with gray hair,w7.5_s0.7,7.5,0.7,10,0.19879433512687683,0.28509172797203064,0.08629739284515381,0.011981284245848656,0.11624719947576523,0.10426591522991657,0.6181373596191406,14.941776275634766,65.53108400000019
person_01,an elderly person with gray hair,w1.0_s0.5（現行設定）,1.0,0.5,10,0.17114758491516113,0.1708635687828064,-0.00028401613235473633,-0.03145933896303177,-0.004528788849711418,0.02693055011332035,0.4741218090057373,20.4368896484375,38.51949799999966
person_01,an elderly person with gray hair,w3.0_s0.5,3.0,0.5,10,0.17114758491516113,0.22623977065086365,0.055092185735702515,-0.03145933896303177,0.08847714960575104,0.1199364885687828,0.5184165835380554,20.00401496887207,66.48397809999915
person_01,an elderly person with gray hair,w7.5_s0.5（標準攻擊）,7.5,0.5,10,0.17114758491516113,0.23154792189598083,0.0604003369808197,-0.03145933896303177,0.094089075922966,0.12554841488599777,0.5423480272293091,19.588605880737305,65.31582610000078
person_01,an elderly person with gray hair,w7.5_s0.7,7.5,0.7,10,0.17114758491516113,0.26391351222991943,0.0927659273147583,-0.03145933896303177,0.08743780851364136,0.11889714747667313,0.6343222856521606,16.741846084594727,66.47736959999929
