    [phase] step 5735 loss 68.112976 |p| 0.94366
    [phase] step 5920 loss 67.955925 |p| 0.94709
    [phase] step 6105 loss 67.820107 |p| 0.95033
    [phase] step 6290 loss 67.683167 |p| 0.95339
    [phase] step 6475 loss 67.548668 |p| 0.95630
    [phase] step 6660 loss 67.426575 |p| 0.95913
    [phase] step 6845 loss 67.306107 |p| 0.96189
    [phase] step 7030 loss 67.201958 |p| 0.96457
    [phase] step 7215 loss 67.094238 |p| 0.96716
    [phase] step 7400 loss 66.989067 |p| 0.96968
    [phase] step 7412 loss 66.986244 |p| 0.96984
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 398/398 [00:00<00:00, 14370.48it/s]
[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.

Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]
Loading weights:  87%|████████▋ | 356/408 [00:00<00:00, 3545.62it/s]
Loading weights: 100%|██████████| 408/408 [00:00<00:00, 3475.56it/s]
task_attr_mod_color_11699        phase_gain     r=2.5000 dists=0.0751 lpips=0.2593 effect=0.4049 (2497s)
    [phase] step    0 loss 133.485077 |p| 0.00118
    [phase] step  185 loss 122.341637 |p| 0.16729
    [phase] step  370 loss 115.146851 |p| 0.30198
    [phase] step  555 loss 110.236763 |p| 0.41232
    [phase] step  740 loss 106.531479 |p| 0.50547
    [phase] step  925 loss 103.555748 |p| 0.58508
    [phase] step 1110 loss 101.102966 |p| 0.65340
    [phase] step 1295 loss 99.059418 |p| 0.71078
    [phase] step 1480 loss 97.367989 |p| 0.75934
    [phase] step 1665 loss 95.897827 |p| 0.80166
    [phase] step 1850 loss 94.613533 |p| 0.83869
    [phase] step 2035 loss 93.909615 |p| 0.85951
    [phase] step 2220 loss 93.359833 |p| 0.87670
    [phase] step 2405 loss 92.893684 |p| 0.89168
    [phase] step 2590 loss 92.497780 |p| 0.90499
    [phase] step 2775 loss 92.152931 |p| 0.91696
    [phase] step 2960 loss 91.852356 |p| 0.92770
    [phase] step 3145 loss 91.567940 |p| 0.93745
    [phase] step 3330 loss 91.320633 |p| 0.94628
    [phase] step 3515 loss 91.088394 |p| 0.95434
    [phase] step 3700 loss 90.880157 |p| 0.96193
    [phase] step 3885 loss 90.663811 |p| 0.96903
    [phase] step 4070 loss 90.459488 |p| 0.97565
    [phase] step 4255 loss 90.266022 |p| 0.98182
    [phase] step 4440 loss 90.115005 |p| 0.98750
    [phase] step 4625 loss 89.946899 |p| 0.99286
    [phase] step 4810 loss 89.803322 |p| 0.99790
    [phase] step 4995 loss 89.661133 |p| 1.00280
