image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.19999,0.93646,27.69,0.4799,0.08479,0.31202,0.69911,20.223,0.20399,0.21225,0.59226,0.04126,40.0
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.12477,0.9726,31.305,0.62835,0.07357,0.28772,0.83004,17.118,0.44244,0.16968,0.38531,0.02721,39.9
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.28957,0.9351,27.757,0.49125,0.07338,0.31328,0.69981,20.259,0.28705,0.18036,0.39501,0.04094,40.1
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.11262,0.97739,36.768,0.72997,0.04183,0.14973,0.90915,28.9,0.60755,0.09388,0.36302,0.01451,40.0
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.13059,0.95701,28.271,0.63799,0.0533,0.19141,0.86901,23.163,0.44498,0.06729,0.41887,0.03859,39.9
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.25264,0.94122,26.41,0.54992,0.05422,0.46761,0.43383,14.773,0.06599,0.25505,0.58475,0.04781,39.7
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.19039,0.97762,34.926,0.69349,0.03551,0.19952,0.88192,26.216,0.43689,0.09065,0.31229,0.01793,39.6
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.19708,0.9587,29.439,0.61315,0.075,0.37713,0.70384,17.427,0.26085,0.19791,0.59537,0.03373,39.3
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.23099,0.9293,26.628,0.47497,0.09361,0.29039,0.73607,20.455,0.30026,0.15593,0.50718,0.04662,39.2
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.09973,0.98449,38.552,0.80101,0.03885,0.24912,0.83607,21.88,0.62646,0.1623,0.2409,0.01181,39.5
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.3695,0.89168,27.155,0.32963,0.09723,0.38082,0.75883,17.505,0.14718,0.26813,0.40146,0.04388,39.4
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.2448,0.9294,26.164,0.4761,0.08751,0.4537,0.5146,15.452,0.1605,0.25201,0.50992,0.04918,39.6
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.24331,0.96055,34.123,0.55917,0.08225,0.35886,0.7677,17.13,0.32079,0.24822,0.29028,0.01967,39.5
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.34227,0.8983,26.967,0.41865,0.11443,0.47954,0.55431,18.728,0.18114,0.25882,0.64753,0.04484,39.5
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.2,False,0.0,0.12,0,32,latent_norm,100,7.5,1.5,20260812,False,0.20145,0.94551,29.071,0.52271,0.06216,0.29523,0.72842,20.193,0.34544,0.16242,0.67902,0.03519,39.8
