image,condition,budget_target,variant,effect_mean,effect_sd,fid_lpips,fid_dists,fid_psnr,fid_ssim,fid_linf,fid_rms,amp_dev,clip_fraction,clip_mean,clip_max,scale,unreachable,edit_strength,seconds
shiba_00,phase,human,full,0.60708,0.04696,0.18322,0.02679,31.423,0.96015,0.30196,0.02685,0.032987,0.0,0.0,0.0,1.0,False,0.7,17.7
shiba_00,phase,human,amp,0.28095,0.11957,0.18137,0.03785,34.59,0.94906,0.17038,0.01864,0.032987,1.4e-05,7e-08,0.016862,1.0,False,0.7,34.4
shiba_00,phase,human,pha,0.44733,0.14477,0.24344,0.04169,32.981,0.93267,0.2361,0.02243,0.000484,0.000375,5.54e-06,0.069039,1.0,False,0.7,51.2
shiba_00,phase,human,amp_s,0.24875,0.12016,0.14029,0.0268,36.31,0.96525,0.13976,0.01529,0.027059,8e-06,4e-08,0.013832,0.82031,False,0.7,67.9
shiba_00,phase,human,pha_s,0.35725,0.10978,0.17832,0.0268,35.355,0.95968,0.17961,0.01707,0.004545,0.000211,2.69e-06,0.052521,0.76074,False,0.7,84.7
shiba_00,phase_rand,human,full,0.09689,0.03818,0.05856,0.04071,32.176,0.96385,0.31765,0.02461,0.031051,0.0,0.0,0.0,1.0,False,0.7,17.9
shiba_00,phase_rand,human,amp,0.20947,0.08037,0.1565,0.03832,35.115,0.9556,0.17556,0.01755,0.03105,5e-05,4.9e-07,0.037391,1.0,False,0.7,34.8
shiba_00,phase_rand,human,pha,0.22165,0.09546,0.18811,0.04793,33.905,0.94025,0.22281,0.02017,0.000361,0.000345,3.97e-06,0.059193,1.0,False,0.7,51.7
shiba_00,phase_rand,human,amp_s,0.21426,0.08075,0.16378,0.0407,34.807,0.95244,0.18191,0.01818,0.032171,5.3e-05,5.5e-07,0.039168,1.03613,False,0.7,68.6
shiba_00,phase_rand,human,pha_s,0.20801,0.0944,0.169,0.0407,34.732,0.94995,0.20258,0.01834,0.001623,0.000276,2.85e-06,0.050967,0.90918,False,0.7,85.5
raccoon_00,apa_weak,native,full,0.3393,0.06056,0.29909,0.19606,16.33,0.60052,0.7098,0.15259,0.296014,0.0,0.0,0.0,1.0,False,0.7,18.0
raccoon_00,apa_weak,native,amp,0.51929,0.05381,0.43284,0.2522,17.075,0.69003,0.40599,0.14004,0.296014,0.0,0.0,0.0,1.0,False,0.7,34.9
raccoon_00,apa_weak,native,pha,0.4743,0.07937,0.4912,0.16983,20.596,0.61021,0.8584,0.09337,0.010998,0.007483,0.0004735,0.382884,1.0,False,0.7,51.8
raccoon_00,apa_weak,native,amp_s,0.47368,0.06308,0.3694,0.19619,18.362,0.76335,0.35009,0.12076,0.255255,0.0,0.0,0.0,0.8623,False,0.7,68.7
raccoon_00,apa_weak,native,pha_s,0.48762,0.07423,0.51871,0.19608,19.452,0.53871,0.96321,0.10652,0.02417,0.009457,0.00064246,0.440804,1.14258,False,0.7,85.6
raccoon_00,mist,native,full,0.65634,0.03406,0.5746,0.14143,26.474,0.81854,0.06275,0.04746,0.071643,0.0,0.0,0.0,1.0,False,0.7,18.1
raccoon_00,mist,native,amp,0.45727,0.06725,0.34796,0.09406,29.402,0.89447,0.15842,0.03388,0.0716,0.001064,1.706e-05,0.086146,1.0,False,0.7,35.1
raccoon_00,mist,native,pha,0.57749,0.01959,0.40385,0.09088,29.453,0.87378,0.14193,0.03368,0.000924,0.001102,1.54e-05,0.066344,1.0,False,0.7,52.1
raccoon_00,mist,native,amp_s,0.57374,0.05001,0.45046,0.1414,26.073,0.81496,0.23252,0.0497,0.104034,0.001895,4.436e-05,0.137449,1.46777,False,0.7,69.1
raccoon_00,mist,native,pha_s,0.6099,0.00427,0.51706,0.14144,26.039,0.78144,0.21041,0.04989,0.021033,0.002234,4.892e-05,0.102134,1.48242,False,0.7,86.0
raccoon_00,dia_r,native,full,0.36769,0.05367,0.2197,0.03235,40.091,0.9854,0.02353,0.0099,0.014746,0.0,0.0,0.0,1.0,False,0.7,18.0
raccoon_00,dia_r,native,amp,0.32782,0.07316,0.14445,0.01765,43.128,0.99257,0.03111,0.00698,0.014743,0.000474,1.67e-06,0.018203,1.0,False,0.7,35.0
raccoon_00,dia_r,native,pha,0.33756,0.06068,0.148,0.01731,43.029,0.99238,0.03085,0.00706,0.000122,0.000353,1.17e-06,0.012524,1.0,False,0.7,51.9
raccoon_00,dia_r,native,amp_s,0.37974,0.03006,0.19432,0.03235,39.039,0.98146,0.04982,0.01117,0.023551,0.000753,4.19e-06,0.031513,1.60156,False,0.7,68.8
raccoon_00,dia_r,native,pha_s,0.39607,0.02721,0.20311,0.03235,38.751,0.9802,0.05049,0.01155,0.00258,0.000561,3.02e-06,0.025026,1.63672,False,0.7,85.7
shiba_00,apa_weak,native,full,0.26101,0.06453,0.21016,0.15555,19.235,0.76052,0.59216,0.10921,0.179617,0.0,0.0,0.0,1.0,False,0.7,18.1
shiba_00,apa_weak,native,amp,0.48211,0.13671,0.3376,0.20809,19.87,0.78994,0.37947,0.10151,0.179617,0.0,0.0,0.0,1.0,False,0.7,35.1
shiba_00,apa_weak,native,pha,0.39986,0.08932,0.36743,0.12509,23.894,0.74442,0.62159,0.06387,0.00965,0.00636,0.00044476,0.35753,1.0,False,0.7,52.0
shiba_00,apa_weak,native,amp_s,0.43567,0.13689,0.2691,0.15559,21.137,0.84472,0.32796,0.08773,0.155236,0.0,0.0,0.0,0.86426,False,0.7,69.0
shiba_00,apa_weak,native,pha_s,0.42909,0.0946,0.41207,0.1556,22.285,0.6665,0.6839,0.07687,0.019314,0.007893,0.00064146,0.439281,1.20605,False,0.7,85.9
shiba_00,mist,native,full,0.7341,0.03046,0.64141,0.12142,26.464,0.77775,0.06275,0.04751,0.063392,0.0,0.0,0.0,1.0,False,0.7,17.8
shiba_00,mist,native,amp,0.49449,0.12601,0.37408,0.07681,28.923,0.87897,0.27451,0.0358,0.063333,0.000621,1.518e-05,0.201602,1.0,False,0.7,34.7
shiba_00,mist,native,pha,0.50183,0.12676,0.41045,0.08255,30.689,0.85405,0.1677,0.02921,0.000318,0.000314,3.41e-06,0.042297,1.0,False,0.7,51.6
shiba_00,mist,native,amp_s,0.58561,0.08976,0.48627,0.12143,25.542,0.78119,0.37604,0.05283,0.092902,0.001532,5.041e-05,0.30654,1.47754,False,0.7,68.4
shiba_00,mist,native,pha_s,0.63328,0.02794,0.5161,0.12142,27.611,0.7545,0.23911,0.04163,0.014595,0.000821,1.482e-05,0.070176,1.42578,False,0.7,85.2
shiba_00,dia_r,native,full,0.27427,0.10713,0.26131,0.02564,40.385,0.98402,0.02353,0.00957,0.011925,0.0,0.0,0.0,1.0,False,0.7,17.9
shiba_00,dia_r,native,amp,0.19219,0.10771,0.11451,0.00921,43.427,0.99199,0.03377,0.00674,0.011924,0.000123,5.2e-07,0.016229,1.0,False,0.7,34.8
shiba_00,dia_r,native,pha,0.20066,0.11672,0.1252,0.008,43.375,0.99175,0.03091,0.00678,3.7e-05,4.8e-05,1.3e-07,0.01708,1.0,False,0.7,51.7
shiba_00,dia_r,native,amp_s,0.26774,0.11076,0.18864,0.02564,39.175,0.97914,0.05511,0.011,0.019326,0.000214,1.44e-06,0.027057,1.63184,False,0.7,68.5
shiba_00,dia_r,native,pha_s,0.2777,0.10607,0.20921,0.02565,38.902,0.97745,0.05174,0.01135,0.003542,8.3e-05,4.5e-07,0.028589,1.67383,False,0.7,85.3
shiba_00,photoguard_c,native,full,0.46539,0.03262,0.36055,0.01989,40.827,0.98496,0.23137,0.00909,0.011728,0.0,0.0,0.0,1.0,False,0.7,17.9
shiba_00,photoguard_c,native,amp,0.18532,0.07647,0.13876,0.00743,43.571,0.99233,0.1104,0.00663,0.011728,2.7e-05,7e-08,0.007201,1.0,False,0.7,34.8
shiba_00,photoguard_c,native,pha,0.18039,0.0629,0.16395,0.00831,44.025,0.99195,0.1196,0.00629,3.5e-05,6.9e-05,1.8e-07,0.012545,1.0,False,0.7,51.7
shiba_00,photoguard_c,native,amp_s,0.22833,0.06723,0.21611,0.01988,40.021,0.98313,0.16613,0.00997,0.017577,3.9e-05,1.3e-07,0.010837,1.50488,False,0.7,68.6
shiba_00,photoguard_c,native,pha_s,0.23432,0.07006,0.24203,0.01988,40.722,0.98326,0.17496,0.0092,0.002142,9e-05,3.6e-07,0.018352,1.46289,False,0.7,85.6
raccoon_00,photoguard_c,native,full,0.35587,0.09115,0.28285,0.03127,40.826,0.98476,0.2,0.00909,0.014182,0.0,0.0,0.0,1.0,False,0.7,18.0
raccoon_00,photoguard_c,native,amp,0.29626,0.10698,0.17876,0.01865,43.466,0.99303,0.10751,0.00671,0.014181,0.000256,6.9e-07,0.013609,1.0,False,0.7,34.9
raccoon_00,photoguard_c,native,pha,0.2851,0.10577,0.1843,0.0172,44.161,0.99284,0.09671,0.00619,0.000141,0.000566,1.76e-06,0.01208,1.0,False,0.7,51.9
raccoon_00,photoguard_c,native,amp_s,0.35644,0.08819,0.23878,0.03127,39.52,0.9834,0.16935,0.01057,0.022289,0.000334,1.33e-06,0.021711,1.5752,False,0.7,68.9
raccoon_00,photoguard_c,native,pha_s,0.36055,0.09414,0.25438,0.03127,39.801,0.9814,0.1598,0.01023,0.002532,0.000786,3.99e-06,0.021594,1.65234,False,0.7,85.8
