image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
cat_03,phase_rand,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04516,False,1.01612,11.2,0.0822,0.9558,0.0452,27.3364,0.996,5.1448,0.6746,0.1721,0.2622,0.2713,-0.009,0.0853,0.0892,-0.0039,0.04573,0.6238
dog_00,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04295,False,1.5958,40.7,0.3221,0.9388,0.043,31.591,0.9963,4.5965,0.6943,0.5462,0.2675,0.2898,-0.0224,0.0695,0.095,-0.0254,0.02422,0.5002
dog_00,phase_rand,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.0423,False,1.69241,11.3,0.0992,0.9346,0.0423,31.2174,0.996,4.5395,0.696,0.3901,0.2675,0.2648,0.0026,0.0695,0.0788,-0.0092,0.02741,0.5002
dog_01,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04333,False,1.98225,70.3,0.2586,0.9464,0.0433,32.5192,0.9953,5.2807,0.6351,0.5476,0.2742,0.2861,-0.0119,0.0908,0.0986,-0.0079,0.02564,0.4066
dog_01,phase_rand,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04326,False,1.78902,11.3,0.0818,0.9546,0.0433,32.9694,0.9956,5.4678,0.5607,0.0745,0.2742,0.275,-0.0008,0.0908,0.0905,0.0003,0.02501,0.4066
dog_02,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04356,False,1.45088,114.6,0.2439,0.8971,0.0436,24.006,0.9919,5.0746,0.7153,0.5029,0.2628,0.2577,0.0051,0.0796,0.0945,-0.0149,0.05745,0.6177
dog_02,phase_rand,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04193,False,1.06443,11.3,0.0742,0.957,0.0419,27.8585,0.9965,5.1087,0.6766,0.2501,0.2628,0.2519,0.0109,0.0796,0.0752,0.0044,0.03575,0.6177
dog_03,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04314,False,1.5958,40.7,0.2686,0.93,0.0431,28.7973,0.989,4.8541,0.6576,0.5686,0.2573,0.291,-0.0336,0.0807,0.1008,-0.0201,0.02839,0.4764
dog_03,phase_rand,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04503,False,1.49918,11.3,0.1019,0.9375,0.045,29.2502,0.9835,4.84,0.6167,0.3929,0.2573,0.251,0.0063,0.0807,0.0802,0.0006,0.02818,0.4764
horse_00,phase,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04501,False,1.11273,99.9,0.2281,0.9621,0.045,34.6351,0.9914,5.8717,0.6795,0.4406,0.306,0.3101,-0.0041,0.119,0.1164,0.0026,0.01529,0.4655
horse_00,phase_rand,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04447,False,1.06443,11.3,0.0379,0.9743,0.0445,36.6749,0.9955,5.7898,0.6695,0.0613,0.306,0.3031,0.0029,0.119,0.1168,0.0022,0.01347,0.4655
horse_01,phase,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.0417,False,0.8229,55.4,0.2738,0.9563,0.0417,27.9156,0.9955,4.8488,0.7004,0.4935,0.323,0.3087,0.0143,0.1175,0.1016,0.0159,0.03263,0.6331
horse_01,phase_rand,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04516,False,0.8712,11.3,0.0603,0.9708,0.0452,29.6036,0.996,4.9838,0.6981,0.2088,0.323,0.3262,-0.0032,0.1175,0.1209,-0.0035,0.02866,0.6331
horse_02,phase,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04271,False,1.01612,85.0,0.313,0.9401,0.0427,28.5697,0.9941,6.1318,0.7051,0.5425,0.3079,0.318,-0.0102,0.1074,0.1136,-0.0062,0.04203,0.5906
horse_02,phase_rand,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04313,False,1.01612,11.2,0.0583,0.9602,0.0431,30.6203,0.9963,6.0725,0.7114,0.183,0.3079,0.3132,-0.0053,0.1074,0.1052,0.0021,0.03647,0.5906
horse_03,phase,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04358,False,1.25765,114.7,0.255,0.9499,0.0436,31.0618,0.9979,4.9784,0.7213,0.4927,0.3151,0.3205,-0.0055,0.1182,0.1197,-0.0015,0.02317,0.4573
horse_03,phase_rand,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04345,False,1.20935,11.2,0.0783,0.9588,0.0435,31.9301,0.998,4.9269,0.7207,0.1377,0.3151,0.3147,0.0004,0.1182,0.1246,-0.0063,0.02259,0.4573
man_00,phase,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04479,False,1.78902,85.0,0.1416,0.9823,0.0448,37.4592,0.9984,4.4033,0.6704,0.3753,0.2819,0.3082,-0.0263,0.1079,0.138,-0.0301,0.00942,0.279
man_00,phase_rand,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.0449,False,1.49918,11.3,0.0594,0.9831,0.0449,38.2626,0.9977,4.35,0.6176,0.2089,0.2819,0.3009,-0.019,0.1079,0.1184,-0.0105,0.00854,0.279
man_01,phase,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04179,False,1.01612,85.1,0.2366,0.9494,0.0418,27.3244,0.9931,5.0627,0.6568,0.435,0.2814,0.2724,0.009,0.1091,0.1217,-0.0126,0.04805,0.5691
man_01,phase_rand,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04186,False,0.96782,11.4,0.0768,0.9649,0.0419,29.3404,0.9969,4.8548,0.6374,0.117,0.2814,0.2658,0.0156,0.1091,0.1006,0.0085,0.04043,0.5691
man_02,phase,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04476,False,1.30596,99.9,0.2076,0.9278,0.0448,23.0917,0.9923,5.2586,0.6778,0.4973,0.2748,0.2895,-0.0147,0.1256,0.1063,0.0193,0.0526,0.468
man_02,phase_rand,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04255,False,0.96782,11.4,0.0633,0.9653,0.0425,26.9265,0.9971,5.0687,0.6805,0.1616,0.2748,0.2839,-0.0091,0.1256,0.1266,-0.001,0.03578,0.468
man_03,phase,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04305,False,1.25765,114.7,0.3732,0.9106,0.0431,26.8211,0.9962,5.5109,0.696,0.5512,0.2729,0.281,-0.0081,0.101,0.096,0.005,0.04025,0.6829
man_03,phase_rand,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04396,False,1.35427,11.4,0.111,0.9218,0.044,27.8513,0.9948,5.5773,0.6696,0.2467,0.2729,0.2632,0.0096,0.101,0.0981,0.0029,0.03965,0.6829
woman_00,phase,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04358,False,1.01612,85.1,0.1752,0.9653,0.0436,30.9395,0.9953,4.7016,0.5248,0.4619,0.237,0.2355,0.0015,0.0488,0.0664,-0.0175,0.02787,0.4544
woman_00,phase_rand,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04488,False,0.8712,11.5,0.0518,0.9796,0.0449,33.5229,0.9976,4.5793,0.4926,0.1065,0.237,0.2368,0.0002,0.0488,0.0418,0.0071,0.02127,0.4544
woman_01,phase,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04179,False,1.40257,85.1,0.1342,0.9825,0.0418,39.0128,0.9976,3.5347,0.3364,0.355,0.208,0.2156,-0.0075,0.0388,0.0268,0.012,0.00703,0.3817
woman_01,phase_rand,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04434,False,1.69241,11.4,0.0832,0.9738,0.0443,37.0859,0.9973,3.5343,0.3558,0.0581,0.208,0.2056,0.0025,0.0388,0.0346,0.0042,0.00896,0.3817
woman_02,phase,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04322,False,1.5958,40.7,0.2368,0.9598,0.0432,32.3235,0.9956,4.0337,0.6622,0.4276,0.2026,0.2403,-0.0377,0.0577,0.0754,-0.0177,0.01892,0.4311
woman_02,phase_rand,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.0432,False,1.35427,11.4,0.0639,0.9683,0.0432,33.1324,0.9947,4.0874,0.6558,0.0826,0.2026,0.2028,-0.0002,0.0577,0.0535,0.0042,0.01607,0.4311
woman_03,phase,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04203,False,1.25765,114.6,0.1224,0.9751,0.042,36.1533,0.9904,4.8157,0.6765,0.4109,0.2464,0.2405,0.0059,0.0748,0.0784,-0.0035,0.01119,0.5233
woman_03,phase_rand,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04371,False,0.96782,11.3,0.0399,0.9864,0.0437,38.7127,0.9972,4.6369,0.6826,0.0636,0.2464,0.2299,0.0165,0.0748,0.0825,-0.0077,0.00873,0.5233
