image,variant,gate,sign,theta,gate_mean,dists,lpips,psnr,ssim,rms,linf,zero_pair_frac,delta_within_1
task_attr_mod_color_136767,pre_float,band,random,2.0,1.0,0.400193,0.520949,16.264,0.481637,0.153744,1.0,,
task_attr_mod_color_136767,pre_float,band,random,3.1416,1.0,0.385745,0.480715,14.7764,0.338205,0.182465,1.0,,
task_attr_mod_color_136767,pre_float,band,coherent,0.08,1.0,0.015768,0.017325,41.6898,0.997666,0.008231,0.175534,,
task_attr_mod_color_136767,pre_float,band,coherent,0.3,1.0,0.169583,0.130831,31.1693,0.97416,0.02764,0.429956,,
task_attr_mod_color_136767,pre_float,band,coherent,0.6,1.0,0.276949,0.271837,25.3935,0.908744,0.053743,0.83429,,
task_attr_mod_color_136767,pre_float,band,coherent,1.2,1.0,0.372773,0.446646,19.8325,0.721648,0.101948,1.0,,
task_attr_mod_color_136767,pre_float,band,coherent,2.0,1.0,0.396003,0.522601,16.352,0.482233,0.152195,1.0,,
task_attr_mod_color_136767,pre_float,band,coherent,3.1416,1.0,0.385745,0.480715,14.7764,0.338205,0.182465,1.0,,
task_attr_mod_color_136767,pre_deliver,band,random,0.08,1.0,0.017828,0.055406,36.7986,0.990543,0.014456,0.259437,,
task_attr_mod_color_136767,pre_deliver,band,random,0.3,1.0,0.156461,0.147186,30.4764,0.96774,0.029935,0.433289,,
task_attr_mod_color_136767,pre_deliver,band,random,0.6,1.0,0.274441,0.279727,25.2143,0.903393,0.054864,0.82606,,
task_attr_mod_color_136767,pre_deliver,band,random,1.2,1.0,0.373338,0.444428,19.7272,0.717725,0.103191,1.0,,
task_attr_mod_color_136767,pre_deliver,band,random,2.0,1.0,0.400422,0.517769,16.2659,0.481906,0.153712,1.0,,
task_attr_mod_color_136767,pre_deliver,band,random,3.1416,1.0,0.384619,0.481691,14.782,0.339777,0.182347,1.0,,
task_attr_mod_color_136767,pre_deliver,band,coherent,0.08,1.0,0.020539,0.05701,36.813,0.990542,0.014432,0.265979,,
task_attr_mod_color_136767,pre_deliver,band,coherent,0.3,1.0,0.17085,0.154097,30.4733,0.967637,0.029946,0.436944,,
task_attr_mod_color_136767,pre_deliver,band,coherent,0.6,1.0,0.277852,0.288637,25.2161,0.903131,0.054852,0.82606,,
task_attr_mod_color_136767,pre_deliver,band,coherent,1.2,1.0,0.373528,0.449447,19.791,0.718074,0.102435,1.0,,
task_attr_mod_color_136767,pre_deliver,band,coherent,2.0,1.0,0.395332,0.518748,16.352,0.482312,0.152195,1.0,,
task_attr_mod_color_136767,pre_deliver,band,coherent,3.1416,1.0,0.384619,0.481691,14.782,0.339777,0.182347,1.0,,
task_attr_mod_color_136767,post_int,band,random,0.08,1.0,0.018554,0.054563,36.7634,0.990537,0.014515,0.244425,0.776704,0.989479
task_attr_mod_color_136767,post_int,band,random,0.3,1.0,0.160218,0.152365,30.1629,0.965871,0.031035,0.477094,0.776704,0.961885
task_attr_mod_color_136767,post_int,band,random,0.6,1.0,0.278021,0.301718,24.7304,0.895859,0.058007,0.906615,0.776704,0.93444
