image,k_inv,t_max,psnr,linf,ssim,lpips,dists,niqe_recon
person_00,10,200,32.557212829589844,0.38266727328300476,0.9518828392028809,0.12993592023849487,0.07520359754562378,5.243567195882504
person_00,20,200,33.12708282470703,0.3926332890987396,0.9573092460632324,0.1098874881863594,0.05784761905670166,5.02782983842318
person_00,5,300,29.319555282592773,0.3760254979133606,0.900946855545044,0.22590750455856323,0.14183324575424194,6.700554818957641
person_00,10,300,31.52419090270996,0.38159066438674927,0.9390753507614136,0.15962456166744232,0.09573805332183838,5.569289639356301
person_00,20,300,32.72304916381836,0.389634370803833,0.9534243941307068,0.12268637865781784,0.06698131561279297,5.2231208733978045
person_00,5,400,27.25436782836914,0.39010947942733765,0.8509694337844849,0.2807692289352417,0.1809452772140503,7.710908416168074
person_00,10,400,30.251619338989258,0.38228505849838257,0.9207298159599304,0.1890183687210083,0.11309194564819336,5.961518389177536
person_00,20,400,32.12751007080078,0.3860064446926117,0.9474455714225769,0.13673634827136993,0.07609117031097412,5.329953019177585
person_00,5,500,24.695297241210938,0.4358168840408325,0.7659329175949097,0.35711318254470825,0.2209729552268982,9.024194377340812
person_00,10,500,28.243900299072266,0.37665343284606934,0.8859604597091675,0.23143652081489563,0.14606553316116333,6.438525454204964
person_00,20,500,31.00847053527832,0.38136589527130127,0.9360749125480652,0.1573963761329651,0.09602600336074829,5.2470066031532365
person_00,5,700,19.59311294555664,0.6824487447738647,0.522924542427063,0.6012636423110962,0.43690788745880127,15.084902253006225
person_00,10,700,22.584548950195312,0.6080465316772461,0.6983327865600586,0.4399729073047638,0.2970331907272339,11.254858374182847
person_00,20,700,27.432964324951172,0.3955809473991394,0.8805617094039917,0.21945448219776154,0.1340646743774414,6.34913798964088
person_00,5,999,14.173816680908203,0.8169025182723999,0.3581250309944153,0.7700361013412476,0.6621379256248474,19.89368571727044
person_00,10,999,18.478757858276367,0.7014328241348267,0.4972187876701355,0.6428024768829346,0.45717179775238037,16.026003116600894
person_00,20,999,22.573442459106445,0.6106348037719727,0.7390507459640503,0.39419400691986084,0.2749999761581421,10.2704170332158
person_01,0,0,29.858097076416016,0.7019079327583313,0.9255501627922058,0.12644647061824799,0.0406489372253418,4.822864383522597
person_01,5,200,29.21699333190918,0.7169239521026611,0.9114529490470886,0.1976361870765686,0.09766417741775513,6.840731694101647
person_01,10,200,29.695310592651367,0.7115031480789185,0.9230059385299683,0.15635976195335388,0.07039773464202881,6.16076835481221
person_01,20,200,29.859268188476562,0.7111929655075073,0.9264840483665466,0.13684198260307312,0.052598536014556885,5.6718276699418615
person_01,5,300,28.3311767578125,0.7304220199584961,0.8858444094657898,0.25745275616645813,0.13745605945587158,7.658040085360995
person_01,10,300,29.337646484375,0.7103564739227295,0.9136018753051758,0.18745234608650208,0.09916281700134277,6.669271637963632
person_01,20,300,29.75651741027832,0.7075761556625366,0.9238686561584473,0.1490451991558075,0.06933403015136719,6.046059452983378
person_01,5,400,27.196338653564453,0.7058881521224976,0.8537737131118774,0.30812859535217285,0.16117644309997559,8.122892620237506
person_01,10,400,28.68074607849121,0.7069289088249207,0.8958222270011902,0.2274949699640274,0.11757886409759521,6.984494880296555
person_01,20,400,29.48451805114746,0.7074401378631592,0.9158958196640015,0.1741374433040619,0.08682042360305786,6.367088299426133
person_01,5,500,25.479917526245117,0.6878452301025391,0.8057831525802612,0.38033968210220337,0.23548734188079834,11.811051219483858
person_01,10,500,28.01349639892578,0.6997847557067871,0.8775402903556824,0.25883057713508606,0.14084267616271973,7.994395873044196
person_01,20,500,29.18798065185547,0.7103479504585266,0.9088228940963745,0.19176174700260162,0.09280681610107422,6.555316377041056
person_01,5,700,21.266042709350586,0.944206953048706,0.6797018051147461,0.5873702168464661,0.47808587551116943,14.524016902514798
person_01,10,700,23.392051696777344,0.9134793877601624,0.7586444616317749,0.5085079669952393,0.3563978672027588,11.451101103407249
person_01,20,700,26.265396118164062,0.7504844665527344,0.8605126142501831,0.28303050994873047,0.1706256866455078,7.352636849958735
person_01,5,999,17.878910064697266,0.9388356804847717,0.6043524742126465,0.6863307952880859,0.5758073329925537,17.194020726491804
person_01,10,999,17.744029998779297,0.8892712593078613,0.5910772681236267,0.6648520231246948,0.556143045425415,19.47943815318305
person_01,20,999,20.69860076904297,0.9613516330718994,0.6741721034049988,0.603799045085907,0.4519228935241699,11.787344686539651
