image,condition,verdict,displacement,dists_displacement,drift,dists_drift,drift_ratio,acutance,clip_sim,siglip_sim,clip_to_orig,siglip_to_orig,clip_to_orig_base,siglip_to_orig_base,siglip_to_orig_gain
task_env_weather_112463,dct_native_y,,0.89118,0.39117,0.89143,0.39839,2.3902,0.0961,0.54219,0.55659,0.39772,0.50983,0.82143,0.87278,0.36296
task_env_weather_112463,ours_g025,,0.78517,0.32701,0.79919,0.35973,2.1429,0.2281,0.60525,0.57326,0.45299,0.48958,0.82143,0.87278,0.3832
task_env_weather_246440,dct_native,,0.47603,0.25462,0.67477,0.32658,1.0228,0.4259,0.9339,0.88179,0.91843,0.80446,0.86434,0.78191,-0.02255
task_env_weather_246440,dct_native_y,,0.53947,0.29811,0.71556,0.35356,1.0847,0.264,0.91789,0.86211,0.89726,0.78876,0.86434,0.78191,-0.00685
task_env_weather_246440,ours_g025,,0.62075,0.36736,0.75021,0.39413,1.1372,0.0883,0.87935,0.82867,0.84241,0.75036,0.86434,0.78191,0.03156
task_env_weather_63722,dct_native,,0.56569,0.35567,0.65519,0.37893,3.0744,0.0828,0.76354,0.78123,0.66483,0.75903,0.92601,0.96693,0.2079
task_env_weather_63722,dct_native_y,,0.67975,0.46226,0.75335,0.48065,3.535,0.1084,0.61312,0.62129,0.5326,0.60119,0.92601,0.96693,0.36574
task_env_weather_63722,ours_g025,,0.48863,0.29247,0.56896,0.30562,2.6697,0.0449,0.86043,0.81654,0.76878,0.78931,0.92601,0.96693,0.17762
task_obj_add_40931,dct_native,,0.58264,0.36778,0.62683,0.37508,3.0217,0.0591,0.84008,0.71086,0.78665,0.62471,0.93293,0.92045,0.29574
task_obj_add_40931,dct_native_y,,0.62792,0.40829,0.69351,0.41592,3.3432,0.0461,0.7857,0.69262,0.72667,0.58591,0.93293,0.92045,0.33454
task_obj_add_40931,ours_g025,,0.55245,0.36479,0.53039,0.33901,2.5568,0.0914,0.85726,0.71481,0.81438,0.639,0.93293,0.92045,0.28145
task_obj_remove_380621,dct_native,,0.72592,0.3849,0.71312,0.35275,3.3321,0.3887,0.73259,0.70779,0.87026,0.8173,0.8982,0.91087,0.09357
task_obj_remove_380621,dct_native_y,,0.72858,0.38417,0.71354,0.35442,3.3341,0.3174,0.73103,0.71262,0.87234,0.82298,0.8982,0.91087,0.08789
task_obj_remove_380621,ours_g025,,0.47585,0.28108,0.45034,0.2597,2.1042,0.1128,0.84882,0.79843,0.9437,0.90983,0.8982,0.91087,0.00104
task_obj_swap_joint_mask_276754,dct_native,,0.69669,0.41555,0.65512,0.362,0.8991,1.7729,0.85183,0.86105,0.84888,0.79772,0.72763,0.75644,-0.04128
task_obj_swap_joint_mask_276754,dct_native_y,,0.66448,0.39318,0.63348,0.3591,0.8694,1.3249,0.86268,0.91535,0.84229,0.81081,0.72763,0.75644,-0.05437
task_obj_swap_joint_mask_276754,ours_g025,,0.66413,0.43571,0.63528,0.35434,0.8719,1.165,0.78032,0.82101,0.82417,0.77285,0.72763,0.75644,-0.01641
task_obj_swap_joint_mask_533428,dct_native,,0.63249,0.27946,0.78533,0.40738,1.425,0.7621,0.6723,0.62652,0.6273,0.55818,0.86654,0.84586,0.28768
task_obj_swap_joint_mask_533428,dct_native_y,,0.64985,0.28296,0.76232,0.38837,1.3833,1.0983,0.64956,0.6135,0.64025,0.58133,0.86654,0.84586,0.26454
task_obj_swap_joint_mask_533428,ours_g025,,0.62654,0.26642,0.75141,0.39517,1.3635,0.9947,0.65846,0.63361,0.63897,0.57161,0.86654,0.84586,0.27425
task_obj_swap_rand_mask_417469,dct_native,,0.74864,0.45572,0.82259,0.45973,3.9937,0.1011,0.36007,0.48676,0.37203,0.47191,0.97411,0.9677,0.49579
task_obj_swap_rand_mask_417469,dct_native_y,,0.76193,0.39393,0.82862,0.40725,4.0229,0.2369,0.42316,0.51198,0.43377,0.495,0.97411,0.9677,0.4727
task_obj_swap_rand_mask_417469,ours_g025,,0.65597,0.40799,0.75954,0.41555,3.6876,0.0431,0.66173,0.54833,0.65335,0.52273,0.97411,0.9677,0.44497
