image,condition,reward_mode,fidelity_mode,update_rule,dists_lambda,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
man_00,G_L_clip_native,clip,ball,sign,,45.3,117.2,0.1545,0.9191,0.0708,28.6283,0.5947,4.5108,0.6136,0.1984,0.2819,0.2876,-0.0058,0.1079,0.1145,-0.0066
man_00,G_L_clip_ours,clip,soft,adam,8.0,45.9,119.6,0.1113,0.9482,0.0165,31.4623,0.788,4.7445,0.5953,0.1825,0.2819,0.2923,-0.0104,0.1079,0.1134,-0.0055
man_00,G_Z_clip_native,clip,ball,sign,,0.0,171.0,0.1526,0.9148,0.0743,28.0177,0.5512,4.644,0.6073,0.1594,0.2819,0.282,-0.0001,0.1079,0.1154,-0.0074
man_00,G_Z_clip_ours,clip,soft,adam,8.0,0.0,175.7,0.1068,0.9474,0.0156,31.3939,0.7746,4.6227,0.5482,0.1557,0.2819,0.2676,0.0142,0.1079,0.1123,-0.0043
man_00,G_L_latent_native,latent,ball,sign,,47.2,86.9,0.3433,0.8396,0.1729,21.9989,0.7987,5.4817,0.7135,0.3681,0.2819,0.275,0.0069,0.1079,0.119,-0.0111
man_00,G_L_latent_ours,latent,soft,adam,8.0,47.2,89.9,0.2152,0.9217,0.0473,28.4576,0.9699,5.3261,0.6512,0.2759,0.2819,0.2674,0.0145,0.1079,0.0985,0.0094
man_00,G_Z_latent_native,latent,ball,sign,,0.0,148.3,0.3843,0.8284,0.1832,21.3885,0.6647,5.6167,0.718,0.3598,0.2819,0.2876,-0.0058,0.1079,0.1251,-0.0171
man_00,G_Z_latent_ours,latent,soft,adam,8.0,0.0,152.1,0.2294,0.9114,0.0529,27.7732,0.9612,5.0272,0.6572,0.2347,0.2819,0.287,-0.0051,0.1079,0.104,0.004
man_00,G_L_targeted_native,targeted,ball,sign,,46.0,117.2,0.1256,0.9176,0.0851,20.6714,0.9791,4.5153,0.5485,0.3096,0.2819,0.3046,-0.0227,0.1079,0.1264,-0.0185
man_00,G_L_targeted_ours,targeted,soft,adam,8.0,46.0,121.5,0.1056,0.9439,0.0158,22.8232,0.9804,4.5762,0.5704,0.2645,0.2819,0.297,-0.0152,0.1079,0.1267,-0.0187
man_00,G_Z_targeted_native,targeted,ball,sign,,0.0,222.7,0.1158,0.9196,0.0819,21.0758,0.9631,4.4135,0.5513,0.3165,0.2819,0.2996,-0.0177,0.1079,0.1286,-0.0207
man_00,G_Z_targeted_ours,targeted,soft,adam,8.0,0.0,235.2,0.1006,0.9455,0.0203,23.6454,0.9616,4.4812,0.5456,0.2873,0.2819,0.2982,-0.0164,0.1079,0.1249,-0.0169
