image,mode,theta,qd,dists,lpips,psnr,ssim,rms,linf,off_support_frac,degenerate_frac
task_attr_mod_color_184837,priced,0.8,0.85,0.368052,0.730733,9.4624,0.511845,0.33642,1.0,0.679143,0.036947
task_attr_mod_color_184837,priced,1.2,0.85,0.401472,0.756348,8.6643,0.356581,0.368796,1.0,0.545566,0.036947
task_attr_mod_color_184837,priced,1.8,0.85,0.40869,0.762854,8.3513,0.215514,0.382328,1.0,0.309605,0.036947
task_attr_mod_color_184837,priced,2.5,0.85,0.371483,0.731686,8.9701,0.066541,0.356038,1.0,0.079762,0.036947
task_attr_mod_color_32648,full,0.05,0.85,0.005125,0.018712,39.0907,0.999621,0.011103,0.365238,0.596736,0.369466
task_attr_mod_color_32648,full,0.1,0.85,0.021238,0.042385,33.6115,0.998076,0.020865,0.703885,0.591405,0.369466
task_attr_mod_color_32648,full,0.2,0.85,0.072564,0.106359,28.3825,0.991113,0.038095,1.0,0.593476,0.369466
task_attr_mod_color_32648,full,0.4,0.85,0.165228,0.259832,24.0105,0.96475,0.063019,1.0,0.576963,0.369466
task_attr_mod_color_32648,full,0.8,0.85,0.250024,0.396717,20.9217,0.900011,0.089932,1.0,0.510649,0.369466
task_attr_mod_color_32648,full,1.2,0.85,0.300004,0.457388,19.7471,0.844245,0.102955,1.0,0.410395,0.369466
task_attr_mod_color_32648,full,1.8,0.85,0.332875,0.468336,19.326,0.805203,0.108069,1.0,0.23312,0.369466
task_attr_mod_color_32648,full,2.5,0.85,0.343889,0.417968,20.3494,0.791287,0.096057,1.0,0.059994,0.369466
task_attr_mod_color_32648,support,0.05,0.85,0.003111,0.006413,44.08,0.999682,0.006251,0.19384,0.0,0.369466
task_attr_mod_color_32648,support,0.1,0.85,0.014401,0.017945,38.4495,0.998569,0.011954,0.412797,0.0,0.369466
task_attr_mod_color_32648,support,0.2,0.85,0.04664,0.047375,32.9852,0.993847,0.022425,0.736611,0.0,0.369466
task_attr_mod_color_32648,support,0.4,0.85,0.114672,0.109397,27.9843,0.978612,0.039883,1.0,0.0,0.369466
task_attr_mod_color_32648,support,0.8,0.85,0.205334,0.196209,24.1053,0.939709,0.062335,1.0,0.0,0.369466
task_attr_mod_color_32648,support,1.2,0.85,0.263252,0.255166,22.5506,0.899299,0.074554,1.0,0.0,0.369466
task_attr_mod_color_32648,support,1.8,0.85,0.323496,0.288494,21.6927,0.848892,0.082293,1.0,0.0,0.369466
task_attr_mod_color_32648,support,2.5,0.85,0.336796,0.300945,21.9123,0.804497,0.080239,1.0,0.0,0.369466
task_attr_mod_color_32648,lowfreq,0.05,0.85,0.003689,0.008938,44.3751,0.999665,0.006042,0.163528,0.30279,0.369466
task_attr_mod_color_32648,lowfreq,0.1,0.85,0.01569,0.025462,38.6458,0.998406,0.011687,0.340313,0.309721,0.369466
task_attr_mod_color_32648,lowfreq,0.2,0.85,0.054658,0.077717,32.9805,0.992375,0.022437,0.643549,0.310844,0.369466
task_attr_mod_color_32648,lowfreq,0.4,0.85,0.138759,0.2194,27.6418,0.967003,0.041487,0.997044,0.306985,0.369466
task_attr_mod_color_32648,lowfreq,0.8,0.85,0.245925,0.368317,23.4944,0.900583,0.066878,1.0,0.271748,0.369466
task_attr_mod_color_32648,lowfreq,1.2,0.85,0.314667,0.432361,21.8952,0.843769,0.080397,1.0,0.217753,0.369466
task_attr_mod_color_32648,lowfreq,1.8,0.85,0.358528,0.445422,21.1429,0.798697,0.087671,1.0,0.123705,0.369466
task_attr_mod_color_32648,lowfreq,2.5,0.85,0.351296,0.398954,21.7087,0.783197,0.082142,1.0,0.031908,0.369466
task_attr_mod_color_32648,priced,0.05,0.85,0.00616,0.025864,36.8369,0.999455,0.014393,0.445486,0.85546,0.369466
task_attr_mod_color_32648,priced,0.1,0.85,0.028167,0.060001,31.3157,0.997201,0.027178,0.893623,0.85145,0.369466
task_attr_mod_color_32648,priced,0.2,0.85,0.08874,0.162534,26.3922,0.987139,0.047906,1.0,0.847233,0.369466
task_attr_mod_color_32648,priced,0.4,0.85,0.183567,0.332997,22.5379,0.954076,0.074662,1.0,0.823586,0.369466
task_attr_mod_color_32648,priced,0.8,0.85,0.260686,0.454032,19.7818,0.880539,0.102544,1.0,0.727587,0.369466
task_attr_mod_color_32648,priced,1.2,0.85,0.30818,0.517632,18.7337,0.821192,0.115695,1.0,0.583984,0.369466
task_attr_mod_color_32648,priced,1.8,0.85,0.330804,0.528452,18.4132,0.789104,0.120044,1.0,0.332301,0.369466
task_attr_mod_color_32648,priced,2.5,0.85,0.342136,0.455536,19.5784,0.785387,0.104974,1.0,0.085463,0.369466
task_attr_mod_color_6205,full,0.05,0.85,0.008722,0.099636,33.9949,0.996599,0.019964,0.270123,0.63942,0.179036
task_attr_mod_color_6205,full,0.1,0.85,0.049028,0.220267,28.0559,0.982463,0.039555,0.484485,0.654015,0.179036
task_attr_mod_color_6205,full,0.2,0.85,0.134571,0.358449,22.5774,0.936838,0.074324,0.922527,0.653942,0.179036
task_attr_mod_color_6205,full,0.4,0.85,0.240472,0.506295,17.7684,0.829444,0.129294,1.0,0.634563,0.179036
task_attr_mod_color_6205,full,0.8,0.85,0.331365,0.60785,14.2169,0.649957,0.194605,1.0,0.559443,0.179036
task_attr_mod_color_6205,full,1.2,0.85,0.39177,0.650591,12.9082,0.536181,0.226252,1.0,0.449274,0.179036
task_attr_mod_color_6205,full,1.8,0.85,0.408928,0.659021,12.4335,0.443149,0.238961,1.0,0.255147,0.179036
task_attr_mod_color_6205,full,2.5,0.85,0.373334,0.613803,13.5637,0.374329,0.209804,1.0,0.065992,0.179036
task_attr_mod_color_6205,support,0.05,0.85,0.004386,0.021784,39.0859,0.99636,0.011109,0.208676,0.0,0.179036
task_attr_mod_color_6205,support,0.1,0.85,0.023313,0.06482,33.4352,0.987515,0.021293,0.342064,0.0,0.179036
task_attr_mod_color_6205,support,0.2,0.85,0.086917,0.150001,27.8656,0.96087,0.040432,0.637962,0.0,0.179036
task_attr_mod_color_6205,support,0.4,0.85,0.185977,0.275593,22.5166,0.891952,0.074846,0.995384,0.0,0.179036
task_attr_mod_color_6205,support,0.8,0.85,0.285684,0.406386,18.1102,0.749463,0.124305,1.0,0.0,0.179036
task_attr_mod_color_6205,support,1.2,0.85,0.344625,0.463158,16.2578,0.628314,0.153854,1.0,0.0,0.179036
task_attr_mod_color_6205,support,1.8,0.85,0.377888,0.491296,15.2201,0.491607,0.173378,1.0,0.0,0.179036
task_attr_mod_color_6205,support,2.5,0.85,0.36159,0.474743,15.4653,0.375942,0.168553,1.0,0.0,0.179036
task_attr_mod_color_6205,lowfreq,0.05,0.85,0.007574,0.054689,38.0248,0.995411,0.012553,0.192852,0.387608,0.179036
task_attr_mod_color_6205,lowfreq,0.1,0.85,0.042583,0.139938,31.9549,0.979223,0.02525,0.358716,0.40222,0.179036
task_attr_mod_color_6205,lowfreq,0.2,0.85,0.122792,0.265433,26.2879,0.933672,0.048485,0.675167,0.400675,0.179036
task_attr_mod_color_6205,lowfreq,0.4,0.85,0.224788,0.425093,20.9672,0.829218,0.089462,0.984744,0.387732,0.179036
task_attr_mod_color_6205,lowfreq,0.8,0.85,0.335217,0.556219,16.6019,0.650529,0.147878,1.0,0.342272,0.179036
task_attr_mod_color_6205,lowfreq,1.2,0.85,0.409464,0.606052,14.8515,0.532461,0.180894,1.0,0.274739,0.179036
task_attr_mod_color_6205,lowfreq,1.8,0.85,0.431947,0.618955,14.0743,0.430393,0.197826,1.0,0.155932,0.179036
task_attr_mod_color_6205,lowfreq,2.5,0.85,0.388441,0.566536,14.8669,0.359475,0.180575,1.0,0.040247,0.179036
task_attr_mod_color_6205,priced,0.05,0.85,0.009641,0.137668,31.5054,0.995874,0.026591,0.395996,0.903872,0.179036
task_attr_mod_color_6205,priced,0.1,0.85,0.053849,0.262634,25.7894,0.979389,0.051349,0.770029,0.899636,0.179036
task_attr_mod_color_6205,priced,0.2,0.85,0.148212,0.411074,20.512,0.926643,0.094276,0.968632,0.887392,0.179036
task_attr_mod_color_6205,priced,0.4,0.85,0.253729,0.550108,16.134,0.804396,0.156063,1.0,0.862917,0.179036
task_attr_mod_color_6205,priced,0.8,0.85,0.337997,0.637211,13.0644,0.619958,0.222218,1.0,0.762979,0.179036
task_attr_mod_color_6205,priced,1.2,0.85,0.393782,0.679923,11.9481,0.512386,0.252693,1.0,0.612576,0.179036
task_attr_mod_color_6205,priced,1.8,0.85,0.407439,0.689626,11.5855,0.432545,0.263468,1.0,0.348093,0.179036
task_attr_mod_color_6205,priced,2.5,0.85,0.375782,0.638567,12.7585,0.378199,0.230183,1.0,0.089848,0.179036
task_env_weather_112463,full,0.05,0.85,0.003034,0.161895,34.0786,0.998349,0.019773,0.336996,0.701391,0.043457
task_env_weather_112463,full,0.1,0.85,0.025178,0.330016,27.7459,0.990526,0.040993,0.640588,0.718548,0.043457
task_env_weather_112463,full,0.2,0.85,0.088188,0.478723,22.3329,0.9614,0.076446,0.976448,0.711173,0.043457
task_env_weather_112463,full,0.4,0.85,0.182188,0.643421,17.5382,0.865399,0.132767,1.0,0.690613,0.043457
task_env_weather_112463,full,0.8,0.85,0.289705,0.768536,13.8716,0.6539,0.202497,1.0,0.609549,0.043457
task_env_weather_112463,full,1.2,0.85,0.35026,0.805618,12.4919,0.503813,0.237358,1.0,0.489664,0.043457
task_env_weather_112463,full,1.8,0.85,0.379347,0.815218,12.0675,0.376437,0.249243,1.0,0.278102,0.043457
task_env_weather_112463,full,2.5,0.85,0.37161,0.7733,13.5284,0.283268,0.21066,1.0,0.071932,0.043457
task_env_weather_112463,support,0.05,0.85,0.002059,0.016079,41.8033,0.998502,0.008125,0.177992,0.0,0.043457
task_env_weather_112463,support,0.1,0.85,0.013128,0.056533,36.1476,0.994161,0.015582,0.344873,0.0,0.043457
task_env_weather_112463,support,0.2,0.85,0.053691,0.151011,30.4784,0.978547,0.029928,0.640565,0.0,0.043457
task_env_weather_112463,support,0.4,0.85,0.14164,0.277544,25.0791,0.927818,0.055724,0.985467,0.0,0.043457
task_env_weather_112463,support,0.8,0.85,0.23851,0.427167,20.429,0.78792,0.095181,1.0,0.0,0.043457
task_env_weather_112463,support,1.2,0.85,0.321695,0.512474,18.3002,0.640533,0.121616,1.0,0.0,0.043457
task_env_weather_112463,support,1.8,0.85,0.367759,0.566332,16.8687,0.448978,0.143405,1.0,0.0,0.043457
task_env_weather_112463,support,2.5,0.85,0.367577,0.579938,16.5533,0.282906,0.148709,1.0,0.0,0.043457
task_env_weather_112463,lowfreq,0.05,0.85,0.003726,0.096627,38.5849,0.997811,0.011769,0.206683,0.463234,0.043457
task_env_weather_112463,lowfreq,0.1,0.85,0.023272,0.224637,32.5087,0.989708,0.02369,0.34602,0.473003,0.043457
task_env_weather_112463,lowfreq,0.2,0.85,0.081621,0.34685,26.8153,0.960209,0.045628,0.699604,0.469177,0.043457
task_env_weather_112463,lowfreq,0.4,0.85,0.168478,0.509259,21.3813,0.864282,0.085297,0.985467,0.455202,0.043457
task_env_weather_112463,lowfreq,0.8,0.85,0.29128,0.645267,16.9101,0.656322,0.142723,1.0,0.401102,0.043457
task_env_weather_112463,lowfreq,1.2,0.85,0.366203,0.701644,15.0953,0.503531,0.175887,1.0,0.322263,0.043457
task_env_weather_112463,lowfreq,1.8,0.85,0.394707,0.719317,14.3346,0.363802,0.191985,1.0,0.182714,0.043457
task_env_weather_112463,lowfreq,2.5,0.85,0.38427,0.67994,15.3073,0.26697,0.171646,1.0,0.047261,0.043457
task_env_weather_112463,priced,0.05,0.85,0.004763,0.235956,31.1718,0.997801,0.027632,0.401608,0.953109,0.043457
task_env_weather_112463,priced,0.1,0.85,0.029724,0.386925,25.4298,0.988945,0.053519,0.839288,0.948764,0.043457
task_env_weather_112463,priced,0.2,0.85,0.096798,0.546563,20.1851,0.953505,0.097891,1.0,0.936682,0.043457
task_env_weather_112463,priced,0.4,0.85,0.198269,0.706511,15.7619,0.838692,0.162893,1.0,0.908439,0.043457
task_env_weather_112463,priced,0.8,0.85,0.304913,0.800907,12.5166,0.61406,0.236684,1.0,0.802952,0.043457
task_env_weather_112463,priced,1.2,0.85,0.364651,0.8322,11.3296,0.469939,0.271342,1.0,0.645229,0.043457
task_env_weather_112463,priced,1.8,0.85,0.383457,0.840462,11.0091,0.360463,0.281542,1.0,0.366554,0.043457
task_env_weather_112463,priced,2.5,0.85,0.369706,0.801198,12.5074,0.285042,0.236935,1.0,0.094605,0.043457
task_obj_remove_380621,full,0.05,0.85,0.006088,0.064264,34.3955,0.998855,0.019064,0.312924,0.399949,0.089355
task_obj_remove_380621,full,0.1,0.85,0.027814,0.206049,28.4239,0.993366,0.037914,0.537433,0.432258,0.089355
task_obj_remove_380621,full,0.2,0.85,0.096439,0.389524,22.869,0.968556,0.071871,1.0,0.437527,0.089355
task_obj_remove_380621,full,0.4,0.85,0.19986,0.574931,17.8871,0.882595,0.127539,1.0,0.42444,0.089355
task_obj_remove_380621,full,0.8,0.85,0.312298,0.696739,14.1408,0.683558,0.196317,1.0,0.373342,0.089355
task_obj_remove_380621,full,1.2,0.85,0.365377,0.72913,12.7193,0.524394,0.231226,1.0,0.299565,0.089355
task_obj_remove_380621,full,1.8,0.85,0.364216,0.737666,12.2012,0.370354,0.245437,1.0,0.170174,0.089355
task_obj_remove_380621,full,2.5,0.85,0.330411,0.696919,13.3336,0.237759,0.215438,1.0,0.04408,0.089355
task_obj_remove_380621,support,0.05,0.85,0.004165,0.020774,36.7355,0.998703,0.014562,0.245313,0.0,0.089355
task_obj_remove_380621,support,0.1,0.85,0.017083,0.066979,31.2854,0.994381,0.027273,0.502359,0.0,0.089355
task_obj_remove_380621,support,0.2,0.85,0.061719,0.158899,25.8864,0.978342,0.050779,0.96521,0.0,0.089355
task_obj_remove_380621,support,0.4,0.85,0.15352,0.300825,20.8464,0.922261,0.090715,1.0,0.0,0.089355
task_obj_remove_380621,support,0.8,0.85,0.261237,0.458592,16.9302,0.769976,0.142394,1.0,0.0,0.089355
task_obj_remove_380621,support,1.2,0.85,0.307762,0.532082,15.3447,0.618484,0.17091,1.0,0.0,0.089355
task_obj_remove_380621,support,1.8,0.85,0.328983,0.570007,14.4884,0.425806,0.188617,1.0,0.0,0.089355
task_obj_remove_380621,support,2.5,0.85,0.324538,0.562899,14.7954,0.244558,0.182065,1.0,0.0,0.089355
task_obj_remove_380621,lowfreq,0.05,0.85,0.004123,0.037055,39.2331,0.998668,0.010923,0.15332,0.206296,0.089355
task_obj_remove_380621,lowfreq,0.1,0.85,0.025694,0.129407,33.2913,0.992773,0.021649,0.324941,0.225726,0.089355
task_obj_remove_380621,lowfreq,0.2,0.85,0.084464,0.271753,27.5697,0.969318,0.041832,0.675855,0.230549,0.089355
task_obj_remove_380621,lowfreq,0.4,0.85,0.186803,0.447699,22.0759,0.892316,0.078741,1.0,0.221831,0.089355
task_obj_remove_380621,lowfreq,0.8,0.85,0.315411,0.605272,17.3211,0.697309,0.136127,1.0,0.195078,0.089355
task_obj_remove_380621,lowfreq,1.2,0.85,0.382435,0.659559,15.3228,0.528941,0.171341,1.0,0.15625,0.089355
task_obj_remove_380621,lowfreq,1.8,0.85,0.392314,0.675446,14.3398,0.356376,0.191872,1.0,0.088715,0.089355
task_obj_remove_380621,lowfreq,2.5,0.85,0.347086,0.617981,14.801,0.217571,0.181949,1.0,0.02294,0.089355
task_obj_remove_380621,priced,0.05,0.85,0.008648,0.115236,31.743,0.998443,0.025873,0.419124,0.613912,0.089355
task_obj_remove_380621,priced,0.1,0.85,0.036251,0.281423,26.02,0.991487,0.050003,0.606029,0.628619,0.089355
task_obj_remove_380621,priced,0.2,0.85,0.112423,0.473485,20.6245,0.95993,0.093062,1.0,0.625006,0.089355
task_obj_remove_380621,priced,0.4,0.85,0.212124,0.644439,16.0639,0.857646,0.157327,1.0,0.60505,0.089355
task_obj_remove_380621,priced,0.8,0.85,0.314757,0.724753,12.7942,0.645605,0.229241,1.0,0.534111,0.089355
task_obj_remove_380621,priced,1.2,0.85,0.364277,0.747722,11.588,0.494289,0.26339,1.0,0.428818,0.089355
