image,instruction,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,pixel_lpips,edit_steps,s_t,s_i,edit_seed,seconds
task_env_weather_39740,change the setting to a misty scene,0.18731,0.25658,0.06927,-0.01427,0.03777,0.05204,0.38435,100,7.5,1.5,20260812,21.2
task_env_weather_52051,change the setting to a snowy scene,0.17026,0.18939,0.01913,-0.01859,-0.00516,0.01343,0.3516,100,7.5,1.5,20260812,21.2
task_env_weather_59863,change the setting to a snowy scene,0.2062,0.24709,0.04088,-0.0042,0.06581,0.07001,0.36671,100,7.5,1.5,20260812,21.3
task_env_weather_61151,change the setting to a summer day,0.2169,0.21927,0.00238,0.02404,0.03703,0.01298,0.2366,100,7.5,1.5,20260812,21.2
task_env_weather_70149,change the setting to a foggy scene,0.21401,0.23925,0.02524,0.03465,0.04681,0.01217,0.36724,100,7.5,1.5,20260812,21.3
task_env_weather_85610,change the setting to a cloudy day,0.19593,0.19925,0.00332,-0.00499,0.01446,0.01945,0.33758,100,7.5,1.5,20260812,21.2
task_env_weather_86691,transform the setting to spring with blooming flowers,0.2218,0.26211,0.04031,-0.00289,0.03989,0.04278,0.31354,100,7.5,1.5,20260812,21.2
task_obj_add_161232,Add mountain,0.17193,0.17775,0.00583,-0.00858,-0.01848,-0.00991,0.27349,100,7.5,1.5,20260812,21.2
task_obj_add_290491,Add woman,0.19759,0.20011,0.00253,-0.03157,0.02639,0.05796,0.27312,100,7.5,1.5,20260812,21.2
task_obj_add_345721,Add sunset,0.20764,0.22848,0.02083,0.02029,0.04094,0.02065,0.29252,100,7.5,1.5,20260812,21.2
task_obj_add_44802,Add clouds,0.18556,0.25413,0.06857,-0.01423,0.07647,0.09069,0.41528,100,7.5,1.5,20260812,21.2
task_obj_add_458919,Add the person with a hat,0.18884,0.18724,-0.0016,-0.07704,-0.07102,0.00602,0.24753,100,7.5,1.5,20260812,21.2
task_obj_add_531333,Add grey hat,0.2,0.24692,0.04692,0.03383,0.10832,0.07448,0.3863,100,7.5,1.5,20260812,21.2
task_obj_add_583252,Add person in red attire,0.19054,0.23256,0.04201,0.02247,0.06724,0.04477,0.40462,100,7.5,1.5,20260812,21.2
task_obj_add_685213,Add yellow tag,0.19841,0.2428,0.04439,-0.01534,0.03288,0.04822,0.41317,100,7.5,1.5,20260812,21.2
task_obj_add_767982,Add grape,0.22252,0.24121,0.01869,0.01154,0.0646,0.05306,0.28669,100,7.5,1.5,20260812,21.2
task_obj_remove_157386,Remove flowers,0.23965,0.23788,-0.00177,0.029,0.02478,-0.00421,0.34363,100,7.5,1.5,20260812,21.2
task_obj_remove_228800,Remove bear,0.26223,0.26119,-0.00105,0.07844,0.07991,0.00147,0.27661,100,7.5,1.5,20260812,21.2
task_obj_remove_271889,Remove flower vase,0.20272,0.24493,0.0422,0.01,0.04887,0.03886,0.42165,100,7.5,1.5,20260812,21.2
task_obj_remove_303082,Remove red rock,0.24709,0.24838,0.00129,0.06718,0.05955,-0.00762,0.31279,100,7.5,1.5,20260812,21.2
task_obj_remove_483219,Remove the lamp,0.1976,0.18609,-0.01151,-0.02382,-0.01748,0.00634,0.22083,100,7.5,1.5,20260812,21.2
task_obj_remove_571780,Remove the house,0.22102,0.20591,-0.01511,0.01723,0.01847,0.00124,0.22689,100,7.5,1.5,20260812,21.2
task_obj_remove_606694,Remove facial expression,0.24489,0.24635,0.00146,0.03237,0.02199,-0.01038,0.28244,100,7.5,1.5,20260812,21.2
task_obj_remove_704852,Remove truck,0.2288,0.18631,-0.04249,0.07353,0.02157,-0.05196,0.23421,100,7.5,1.5,20260812,21.2
task_obj_remove_737102,Remove right person,0.18546,0.19607,0.01061,-0.02578,-0.00989,0.01589,0.22202,100,7.5,1.5,20260812,21.2
task_obj_remove_869495,Remove child,0.23817,0.2476,0.00943,0.05483,0.05486,3e-05,0.2388,100,7.5,1.5,20260812,21.2
task_obj_remove_899279,Remove moth's body,0.26369,0.26058,-0.00312,0.08907,0.08604,-0.00304,0.31639,100,7.5,1.5,20260812,21.2
task_obj_swap_joint_mask_310537,Replace the desert buttes with layered mountain range,0.28534,0.28917,0.00383,0.11205,0.11408,0.00203,0.40187,100,7.5,1.5,20260812,21.2
task_obj_swap_joint_mask_698465,Replace the snowball with grey furry centre,0.28819,0.2591,-0.02909,0.07475,0.08426,0.00952,0.33354,100,7.5,1.5,20260812,21.2
task_obj_swap_rand_mask_11376,Replace the glass dome with house,0.25328,0.28166,0.02837,0.07269,0.10327,0.03059,0.33506,100,7.5,1.5,20260812,21.2
task_obj_swap_rand_mask_116052,Replace the mountain path with ocean,0.24291,0.24335,0.00044,0.04446,0.04643,0.00197,0.25428,100,7.5,1.5,20260812,21.2
task_obj_swap_rand_mask_401099,Replace the pizza box with clipboard,0.23404,0.2603,0.02626,0.05336,0.03454,-0.01882,0.39388,100,7.5,1.5,20260812,21.2
task_obj_swap_rand_mask_660100,Replace the hot dog with taco,0.26777,0.25632,-0.01145,0.10754,0.09815,-0.0094,0.22732,100,7.5,1.5,20260812,21.2
task_obj_swap_rand_mask_79926,Replace the Hawaiian shirt with blue dress,0.2581,0.25911,0.00101,0.04927,0.07875,0.02948,0.23258,100,7.5,1.5,20260812,21.2
