image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,purify,strength,noise_split,proxy_gap,edit_psnr,edit_linf,edit_ssim,edit_lpips,edit_dists,edit_acutance_ratio,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b,defimg_psnr,defimg_linf,defimg_ssim,defimg_lpips,defimg_dists,defimg_acutance_ratio,ctrl_lpips,ctrl_psnr,net_lpips
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,quantize,32,heldout,0.0,21.213558197021484,0.8557456731796265,0.822574257850647,0.19546625018119812,0.09193944931030273,1.5378447771072388,3.607388867230174,4.399300709139158,0.21795710921287537,0.04843774065375328,0.2254636287689209,0.06090075522661209,31.915300369262695,0.31865912675857544,0.9654258489608765,0.060338765382766724,0.037298738956451416,1.009634256362915,0.0374007448554039,30.940231323242188,0.15806550532579422
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,quantize,16,heldout,0.0,21.13482666015625,0.8728047013282776,0.8169878721237183,0.21526359021663666,0.10000205039978027,1.5180083513259888,3.607388867230174,4.477898917601122,0.21795710921287537,0.04843774065375328,0.22608274221420288,0.07230183482170105,30.324609756469727,0.32941174507141113,0.9536921381950378,0.09203249961137772,0.04646456241607666,1.0180399417877197,0.08988402783870697,27.233318328857422,0.1253795623779297
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,quantize,8,heldout,0.0,20.05193519592285,0.8894184827804565,0.7580387592315674,0.2599349021911621,0.12372517585754395,1.5950132608413696,3.607388867230174,4.692359100789612,0.21795710921287537,0.04843774065375328,0.24999922513961792,0.1093682050704956,26.383485794067383,0.3002800941467285,0.9021164774894714,0.18177902698516846,0.0814751386642456,1.0573598146438599,0.17508262395858765,22.727487564086914,0.08485227823257446
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,identity,0.0,train,0.0,18.28046989440918,0.9055375456809998,0.5787557363510132,0.50368332862854,0.24492454528808594,1.5194822549819946,3.557836939749452,3.1571334067942476,0.2536417245864868,0.007090182509273291,0.2742322087287903,0.062077853828668594,35.647552490234375,0.1758580058813095,0.9843741655349731,0.03617079555988312,0.04629009962081909,1.0047906637191772,0.0,80.0,0.50368332862854
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,blur,0.0,heldout,0.0,26.129417419433594,0.7196169495582581,0.9238970279693604,0.12465278059244156,0.06662970781326294,1.0519529581069946,3.67183504966514,3.769994868289965,0.30161184072494507,0.058260492980480194,0.3118809759616852,0.07286923378705978,35.647552490234375,0.1758580058813095,0.9843741655349731,0.03617079555988312,0.04629009962081909,1.0047906637191772,0.0,80.0,0.12465278059244156
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,blur,0.5,heldout,0.0,26.34721565246582,0.6950324177742004,0.9166352152824402,0.14508011937141418,0.07423907518386841,0.7685365080833435,3.67183504966514,2.9811458007718055,0.30161184072494507,0.058260492980480194,0.29784905910491943,0.058052465319633484,32.14023971557617,0.29589760303497314,0.9817997217178345,0.06190624088048935,0.05889391899108887,0.7587419748306274,0.07565651834011078,29.914710998535156,0.0694236010313034
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,blur,1.0,heldout,0.0,23.917760848999023,0.6471041440963745,0.8390104174613953,0.31874018907546997,0.1352384090423584,0.38551273941993713,3.67183504966514,5.146860363312259,0.30161184072494507,0.058260492980480194,0.2725096344947815,0.04908311367034912,24.74107551574707,0.6009243130683899,0.9319204092025757,0.2298581749200821,0.1194988489151001,0.3795204758644104,0.2957572340965271,24.391075134277344,0.02298295497894287
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,blur,1.5,heldout,0.0,22.255020141601562,0.6156055331230164,0.759680449962616,0.4242340922355652,0.18907803297042847,0.23660729825496674,3.67183504966514,6.834835178983522,0.30161184072494507,0.058260492980480194,0.2606349289417267,0.03148747980594635,22.382047653198242,0.7060491442680359,0.8545228242874146,0.33382222056388855,0.17436528205871582,0.21592430770397186,0.4127838611602783,22.445650100708008,0.011450231075286865
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,blur,2.0,heldout,0.0,21.35236930847168,0.6613094210624695,0.6928498148918152,0.4942341446876526,0.2376428246498108,0.16457533836364746,3.67183504966514,8.036038166953052,0.30161184072494507,0.058260492980480194,0.25600072741508484,0.025082599371671677,21.104820251464844,0.7446392774581909,0.7746151685714722,0.41185176372528076,0.2118755578994751,0.13811078667640686,0.48431462049484253,21.47342872619629,0.009919524192810059
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,blur,3.0,heldout,0.0,20.35324478149414,0.6683531999588013,0.6020805835723877,0.578102171421051,0.2880382537841797,0.09864872694015503,3.67183504966514,9.712412830151617,0.30161184072494507,0.058260492980480194,0.25067779421806335,0.026838572695851326,19.679771423339844,0.766122043132782,0.639480710029602,0.5287361145019531,0.2752288579940796,0.0719231441617012,0.5726750493049622,20.420673370361328,0.005427122116088867
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,jpeg,95,heldout,0.0,27.497556686401367,0.6874896287918091,0.9396864771842957,0.1059269905090332,0.05323672294616699,1.0379821062088013,3.67183504966514,4.100205551573816,0.30161184072494507,0.058260492980480194,0.3036912977695465,0.05746922269463539,36.159603118896484,0.14509804546833038,0.986788272857666,0.047343671321868896,0.0468326210975647,1.0070204734802246,0.017910920083522797,37.263221740722656,0.0880160704255104
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,jpeg,85,heldout,0.0,26.489084243774414,0.7073333263397217,0.9267775416374207,0.12237973511219025,0.06299841403961182,1.0404095649719238,3.67183504966514,3.3042607583954933,0.30161184072494507,0.058260492980480194,0.3053835332393646,0.062064360827207565,33.63308334350586,0.13725490868091583,0.9846234321594238,0.08355681598186493,0.0505603551864624,1.0079272985458374,0.05375215411186218,31.128551483154297,0.06862758100032806
car_01,P,16,a wrecked car after an accident,100,10,10,1,389.5,rotate,0,0.0,,,11506.6,2.84,254.66666666666666,16.0,12.666666666666666,16.0,16.0,0.0039113364182412624,0.03617079555988312,0.0,0.03617079555988312,0.50368332862854,35.64771270751953,0.1758580058813095,35.64771270751953,0.1758580058813095,0.9843741655349731,0.03617079555988312,jpeg,75,heldout,0.0,25.975725173950195,0.733364462852478,0.9154753684997559,0.14095045626163483,0.06616294384002686,1.0062344074249268,3.67183504966514,2.7582388174147887,0.30161184072494507,0.058260492980480194,0.2886779308319092,0.05086982995271683,31.990602493286133,0.18039217591285706,0.9818026423454285,0.11740761995315552,0.05589526891708374,1.0044320821762085,0.08182238042354584,29.671588897705078,0.05912807583808899
