image,condition,reward_mode,fidelity_mode,update_rule,dists_lambda,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
butterfly,M3_soft_adam_DDIM_lam0.5,attn,soft,adam,0.5,0.0,182.5,0.1965,0.827,0.0594,23.4447,0.9778,5.3698,0.5744,0.2895,0.31,0.312,-0.002,0.12,0.1165,0.0035
butterfly,M3_soft_adam_DDIM_lam2,attn,soft,adam,2.0,0.0,184.1,0.1995,0.8254,0.0382,23.3484,0.9854,5.2733,0.5836,0.3428,0.31,0.3129,-0.0029,0.12,0.1176,0.0024
butterfly,M3_soft_adam_DDIM_lam8,attn,soft,adam,8.0,0.0,187.8,0.196,0.826,0.0304,23.2936,0.9851,5.2659,0.5998,0.4299,0.31,0.3208,-0.0108,0.12,0.1358,-0.0158
butterfly,M3_soft_adam_DDIM_lam32,attn,soft,adam,32.0,0.0,189.0,0.199,0.8253,0.031,23.2773,0.9846,5.3489,0.5906,0.4196,0.31,0.3249,-0.0149,0.12,0.1233,-0.0033
butterfly,M3_soft_adam_DDIM_lam128,attn,soft,adam,128.0,0.0,189.2,0.2062,0.8219,0.0279,23.1604,0.9837,5.3167,0.6031,0.3856,0.31,0.3168,-0.0068,0.12,0.1088,0.0112
coot,A_targeted_DDIM,targeted,ball,sign,,0.0,166.0,0.2463,0.6518,0.2104,17.298,0.9258,4.4016,0.6089,0.3455,0.3225,0.2955,0.027,0.0941,0.0726,0.0214
coot,A_targeted_BDIA,targeted,ball,sign,,0.0,161.0,0.2401,0.7277,0.1538,19.8598,0.9448,4.3515,0.6445,0.2619,0.3225,0.3384,-0.0158,0.0941,0.1077,-0.0136
coot,B_classifier_DDIM,classifier,ball,sign,,0.0,167.5,0.3091,0.7023,0.1867,20.4488,0.963,4.5966,0.3987,0.1923,0.3225,0.3416,-0.019,0.0941,0.098,-0.0039
coot,B_classifier_BDIA,classifier,ball,sign,,0.0,162.3,0.4054,0.669,0.2262,19.665,0.8213,3.661,0.4418,0.172,0.3225,0.3223,0.0003,0.0941,0.0996,-0.0055
coot,M2_soft_sign_BDIA_lam0.5,attn,soft,sign,0.5,0.0,151.6,0.2543,0.7841,0.0842,22.4108,0.9393,4.133,0.4842,0.1547,0.3225,0.3202,0.0024,0.0941,0.0873,0.0068
coot,M2_soft_sign_BDIA_lam2,attn,soft,sign,2.0,0.0,151.2,0.2846,0.7561,0.0646,21.7302,0.927,4.114,0.4705,0.1742,0.3225,0.3263,-0.0038,0.0941,0.0891,0.005
coot,M2_soft_sign_BDIA_lam8,attn,soft,sign,8.0,0.0,152.0,0.3262,0.7225,0.0754,20.9079,0.8864,4.1707,0.4469,0.1869,0.3225,0.3151,0.0074,0.0941,0.0868,0.0073
coot,M2_soft_sign_BDIA_lam32,attn,soft,sign,32.0,0.0,152.1,0.3355,0.7135,0.0736,20.8036,0.852,4.1647,0.4796,0.1833,0.3225,0.3139,0.0087,0.0941,0.0909,0.0032
coot,M2_soft_sign_BDIA_lam128,attn,soft,sign,128.0,0.0,151.8,0.3404,0.7083,0.069,20.6809,0.8676,3.9984,0.4749,0.1935,0.3225,0.3111,0.0115,0.0941,0.0835,0.0106
coot,M2_soft_sign_DDIM_lam0.5,attn,soft,sign,0.5,0.0,159.0,0.2261,0.7981,0.1034,22.885,0.9441,4.2829,0.5085,0.1589,0.3225,0.3353,-0.0128,0.0941,0.1103,-0.0162
coot,M2_soft_sign_DDIM_lam2,attn,soft,sign,2.0,0.0,158.9,0.2343,0.7806,0.0753,22.3544,0.9641,4.22,0.5224,0.2177,0.3225,0.3297,-0.0072,0.0941,0.095,-0.0009
coot,M2_soft_sign_DDIM_lam8,attn,soft,sign,8.0,0.0,159.4,0.2601,0.7548,0.0705,21.5333,0.9426,4.1402,0.458,0.2326,0.3225,0.3244,-0.0019,0.0941,0.1054,-0.0113
coot,M2_soft_sign_DDIM_lam32,attn,soft,sign,32.0,0.0,159.5,0.2776,0.7206,0.09,20.8174,0.9659,4.3786,0.4238,0.2342,0.3225,0.3262,-0.0036,0.0941,0.1051,-0.011
coot,M2_soft_sign_DDIM_lam128,attn,soft,sign,128.0,0.0,159.6,0.2715,0.7205,0.0629,21.0284,0.9748,4.1882,0.4197,0.237,0.3225,0.3232,-0.0006,0.0941,0.0967,-0.0026
coot,M3_soft_adam_BDIA_lam0.5,attn,soft,adam,0.5,0.0,156.6,0.2041,0.8164,0.0756,23.2835,0.95,4.332,0.5285,0.1785,0.3225,0.3164,0.0062,0.0941,0.0898,0.0042
coot,M3_soft_adam_BDIA_lam2,attn,soft,adam,2.0,0.0,157.0,0.2158,0.8076,0.0583,23.1146,0.9447,4.3942,0.49,0.1736,0.3225,0.3131,0.0095,0.0941,0.0984,-0.0044
coot,M3_soft_adam_BDIA_lam8,attn,soft,adam,8.0,0.0,158.5,0.229,0.8019,0.0435,22.9395,0.9267,4.2737,0.5179,0.1573,0.3225,0.2977,0.0248,0.0941,0.0825,0.0116
coot,M3_soft_adam_BDIA_lam32,attn,soft,adam,32.0,0.0,159.5,0.2361,0.7997,0.0413,22.8414,0.9438,4.2079,0.5466,0.1325,0.3225,0.3224,0.0002,0.0941,0.0952,-0.0011
coot,M3_soft_adam_BDIA_lam128,attn,soft,adam,128.0,0.0,159.5,0.2382,0.7974,0.0418,22.8617,0.9536,4.1532,0.504,0.1416,0.3225,0.3292,-0.0066,0.0941,0.0977,-0.0036
coot,M3_soft_adam_DDIM_lam0.5,attn,soft,adam,0.5,0.0,162.6,0.1889,0.8312,0.1072,23.9635,0.9571,4.2439,0.5102,0.1453,0.3225,0.3276,-0.0051,0.0941,0.0974,-0.0033
coot,M3_soft_adam_DDIM_lam2,attn,soft,adam,2.0,0.0,159.6,0.1851,0.8266,0.0679,23.9268,0.9709,4.2692,0.5007,0.1317,0.3225,0.3299,-0.0073,0.0941,0.1008,-0.0067
coot,M3_soft_adam_DDIM_lam8,attn,soft,adam,8.0,0.0,159.9,0.1938,0.8255,0.0478,23.8571,0.9695,4.1804,0.5236,0.1494,0.3225,0.3311,-0.0085,0.0941,0.0988,-0.0047
coot,M3_soft_adam_DDIM_lam32,attn,soft,adam,32.0,0.0,160.6,0.1902,0.8268,0.0482,23.8016,0.9798,4.1762,0.4786,0.1655,0.3225,0.3258,-0.0033,0.0941,0.1017,-0.0076
coot,M3_soft_adam_DDIM_lam128,attn,soft,adam,128.0,0.0,160.5,0.1911,0.8263,0.0492,23.7504,0.9816,4.2347,0.5034,0.168,0.3225,0.3239,-0.0014,0.0941,0.0864,0.0077
